time,open,high,low,close
1427677200,129.6025,129.7835,129.4765,129.4935
1427691600,129.4935,130.1735,129.301,130.0225
1427706000,130.0225,130.137,129.7155,129.909
1427720400,129.909,130.195,129.767,129.91
1427734800,129.91,130.1995,129.9075,130.0915
1427749200,130.0915,130.265,129.9195,130.195
1427763600,130.195,130.2535,129.629,129.7415
1427778000,129.7415,129.7415,128.8175,128.8255
1427792400,128.8255,129.144,128.657,128.8485
1427806800,128.8485,129.053,128.611,128.682
1427821200,128.682,129.032,128.658,128.933
1427835600,128.933,129.039,128.614,128.737
1427850000,128.737,129.209,128.606,129.177
1427864400,129.177,129.4545,128.7575,129.0735
1427878800,129.0735,129.369,128.909,129.179
1427893200,129.179,129.22,128.402,128.8275
1427907600,128.8275,128.968,128.648,128.8885
1427922000,128.8885,128.9325,128.623,128.647
1427936400,128.647,128.9685,128.6145,128.883
1427950800,128.883,129.599,128.8545,129.4585
1427965200,129.4585,130.144,129.3135,129.983
1427979600,129.983,130.437,129.96,130.243
1427994000,130.243,130.496,130.2125,130.2515
1428008400,130.2515,130.382,130.0175,130.065
1428022800,130.065,130.1835,130.0415,130.162
1428037200,130.162,130.2965,130.0275,130.2
1428051600,130.2,130.966,130.048,130.8585
1428066000,130.8585,130.9755,130.5415,130.5845
1428080400,130.5845,130.677,130.4615,130.564
1428267600,130.564,130.9195,130.564,130.7595
1428282000,130.7595,130.8595,130.6775,130.6885
1428296400,130.6885,130.747,130.5055,130.733
1428310800,130.733,131.091,130.725,131.09
1428325200,131.09,131.297,130.778,130.9985
1428339600,130.9985,131.057,130.4165,130.5595
1428354000,130.5595,130.796,130.519,130.749
1428368400,130.749,130.9765,130.6095,130.6415
1428382800,130.6415,131.0445,130.0755,130.141
1428397200,130.141,130.5025,130.0935,130.4295
1428411600,130.4295,130.797,130.386,130.5245
1428426000,130.5245,130.5665,130.0175,130.075
1428440400,130.075,130.2685,130.0195,130.229
1428454800,130.229,130.291,129.9005,129.9405
1428469200,129.9405,130.3395,129.9205,130.1845
1428483600,130.1845,130.3555,129.947,130.036
1428498000,130.036,130.093,129.4015,129.7585
1428512400,129.7585,129.816,129.415,129.5155
1428526800,129.5155,129.595,129.4475,129.492
1428541200,129.492,129.7665,129.487,129.5565
1428555600,129.5565,129.6555,129.0805,129.1875
1428570000,129.1875,129.273,128.9105,128.9895
1428584400,128.9895,129.063,128.2455,128.4395
1428598800,128.4395,128.579,128.347,128.529
1428613200,128.529,128.6275,128.5015,128.617
1428627600,128.617,128.783,128.5835,128.693
1428642000,128.693,128.724,127.5765,127.5765
1428656400,127.5765,127.742,127.269,127.348
1428670800,127.348,127.8155,127.262,127.347
1428685200,127.347,127.5795,127.205,127.456
1428872400,127.456,127.6325,127.341,127.5165
1428886800,127.5165,127.6415,127.375,127.5805
1428901200,127.5805,127.8305,127.383,127.511
1428915600,127.511,127.6605,126.508,126.7625
1428930000,126.7625,127.4505,126.707,127.235
1428944400,127.235,127.24,126.811,126.9475
1428958800,126.9475,127.0415,126.872,126.927
1428973200,126.927,126.9455,126.4965,126.595
1428987600,126.595,126.6035,126.097,126.344
1429002000,126.344,127.319,126.252,127.215
1429016400,127.215,127.633,127.2075,127.2075
1429030800,127.2075,127.342,127.1,127.213
1429045200,127.213,127.243,127.0535,127.134
1429059600,127.134,127.248,127.1055,127.1165
1429074000,127.1165,127.491,126.401,126.4985
1429088400,126.4985,126.871,126.3465,126.606
1429102800,126.606,127.3305,126.2865,126.4855
1429117200,126.4855,127.386,126.4765,127.289
1429131600,127.289,127.8675,127.135,127.663
1429146000,127.663,127.675,127.351,127.5465
1429160400,127.5465,127.568,126.7955,126.811
1429174800,126.811,128.125,126.749,127.9115
1429189200,127.9115,128.0495,127.5355,127.971
1429203600,127.971,128.5805,127.898,128.0635
1429218000,128.0635,128.353,128.029,128.2345
1429232400,128.2345,128.3395,128.087,128.2165
1429246800,128.2165,128.6755,127.763,128.6365
1429261200,128.6365,128.745,128.094,128.2115
1429275600,128.2115,128.481,127.9855,128.216
1429290000,128.216,128.6125,128.156,128.496
1429477200,128.496,128.811,128.3205,128.5735
1429491600,128.5735,128.674,127.9975,128.0305
1429506000,128.0305,128.229,127.729,127.759
1429520400,127.759,128.0035,127.598,127.838
1429534800,127.838,128.476,127.7555,128.3215
1429549200,128.3215,128.326,127.971,127.973
1429563600,127.973,128.2045,127.973,128.1425
1429578000,128.1425,128.306,128.054,128.1645
1429592400,128.1645,128.2375,127.4565,127.7765
1429606800,127.7765,127.984,127.494,127.9595
1429621200,127.9595,128.7755,127.9325,128.556
1429635600,128.556,128.685,128.3875,128.463
1429650000,128.463,128.571,128.3085,128.3155
1429664400,128.3155,128.4545,128.2825,128.3505
1429678800,128.3505,128.966,128.2325,128.727
1429693200,128.727,128.959,128.183,128.35
1429707600,128.35,128.7025,128.194,128.616
1429722000,128.616,128.7965,128.556,128.6025
1429736400,128.6025,128.694,128.4845,128.5175
1429750800,128.5175,128.537,128.134,128.165
1429765200,128.165,128.7445,127.8755,128.698
1429779600,128.698,129.395,128.649,129.12
1429794000,129.12,129.6075,128.8375,129.569
1429808400,129.569,129.6725,129.3245,129.4325
1429822800,129.4325,129.459,129.183,129.368
1429837200,129.368,129.398,128.9575,129.1185
1429851600,129.1185,130.1175,129.074,130.0635
1429866000,130.0635,130.1035,129.2015,129.346
1429880400,129.346,129.4895,128.84,129.193
1429894800,129.193,129.409,129.1035,129.39
1430082000,129.39,129.39,129.119,129.255
1430096400,129.255,129.3145,129.0155,129.242
1430110800,129.242,129.632,129.0705,129.139
1430125200,129.139,129.455,129.0575,129.438
1430139600,129.438,129.9885,129.365,129.724
1430154000,129.724,129.752,129.481,129.625
1430168400,129.625,129.69,129.471,129.611
1430182800,129.611,129.6485,129.4775,129.4925
1430197200,129.4925,129.825,129.3565,129.8
1430211600,129.8,130.2625,129.732,130.079
1430226000,130.079,130.6305,130.0095,130.467
1430240400,130.467,130.6785,130.3395,130.541
1430254800,130.541,130.543,130.3225,130.426
1430269200,130.426,130.427,130.267,130.3045
1430283600,130.3045,131.2195,130.293,131.1845
1430298000,131.1845,131.6505,131.0805,131.466
1430312400,131.466,132.903,131.341,132.2965
1430326800,132.2965,132.561,131.786,132.441
1430341200,132.441,132.5565,132.1795,132.2575
1430355600,132.2575,132.3595,131.667,131.7675
1430370000,131.7675,133.729,131.31,133.255
1430384400,133.255,133.402,132.5725,133.1895
1430398800,133.1895,134.338,132.9225,134.1815
1430413200,134.1815,134.521,133.8285,133.9715
1430427600,133.9715,134.199,133.903,134.129
1430442000,134.129,134.229,134.0335,134.1
1430456400,134.1,134.984,134.088,134.838
1430470800,134.838,135.1285,134.625,134.9925
1430485200,134.9925,135.2945,134.41,134.44
1430499600,134.44,134.845,134.44,134.592
1430686800,134.592,134.6555,134.2675,134.4375
1430701200,134.4375,134.536,134.2735,134.405
1430715600,134.405,134.729,133.7825,133.8345
1430730000,133.8345,134.3685,133.7245,134.308
1430744400,134.308,134.414,133.824,134.078
1430758800,134.078,134.1075,133.7005,133.919
1430773200,133.919,133.981,133.851,133.9145
1430787600,133.9145,133.9785,133.574,133.6055
1430802000,133.6055,133.844,133.109,133.4945
1430816400,133.4945,134.223,133.316,134.014
1430830800,134.014,134.4965,133.8245,134.2515
1430845200,134.2515,134.444,134.0135,134.0745
1430859600,134.0745,134.16,134.033,134.1345
1430874000,134.1345,134.7945,134.1215,134.728
1430888400,134.728,134.883,134.3555,134.461
1430902800,134.461,134.9525,134.2315,134.893
1430917200,134.893,135.6835,134.8595,135.435
1430931600,135.435,135.695,135.3635,135.5575
1430946000,135.5575,135.597,135.1865,135.285
