signal_i,signal_time,entry_hour,atr,range_atr,body_ratio,upper_wick_ratio,lower_wick_ratio,close_location,bb_z,rsi14,ema20_dist_atr,ema100_dist_atr,h4_down,h4_up,h4_neutral,d1_down,d1_up,d1_neutral,h4_slope_atr,d1_slope_atr,family,lookback,box_bars,trigger_atr,move_6_atr,move_12_atr,move_24_atr,pullback_atr,box_width_atr,stop_anchor,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,mae_r,mfe_r,r_after_cost,sample,year
10917,2015-11-02 08:00:00,9,0.06483099714391875,1.326525948831056,0.7558139534883843,0.04651162790697146,0.1976744186046442,0.8023255813953558,-2.611193866895101,30.815215054246877,-1.5795920123132279,-4.581019158754721,True,False,False,False,True,False,-0.43355751249285784,0.11732520195381103,breakdown,72,0,0.27764496603441663,1.4344989911777644,2.005213643581834,2.9306968636965283,0.0,999.0,15.48,10918,2015-11-02 09:00:00,15.412,15.489724649571588,15.318730420514095,0.07772464957158753,1.198880982796641,10923,2015-11-02 14:00:00,15.318730420514095,TP,5,0.6690284264595558,0.0,0.8783517180482926,IS_2014_2024,2015
10970,2015-11-04 15:00:00,16,0.05354511760434496,1.4753912874698465,0.1265822784810118,0.6962025316455762,0.17721518987341203,0.822784810126588,-2.9619750379978935,32.72305543423849,-2.0260937683339972,-5.483490588634545,True,False,False,True,False,False,-0.8781145942689282,-0.02540865634392118,breakdown,72,0,0.8590885977672532,2.2784523679914397,2.932106735857839,1.6434738392069264,0.0,999.0,15.222,10971,2015-11-04 16:00:00,15.156,15.230031767640652,15.06716187883122,0.07403176764065122,1.3826053794051965,10973,2015-11-04 18:00:00,15.06716187883122,TP,2,0.7429243114519251,0.0,0.8623071311581998,IS_2014_2024,2015
10983,2015-11-05 05:00:00,6,0.04752114380729294,1.4940717817719136,0.7323943661971619,0.08450704225352254,0.18309859154931551,0.8169014084506845,-1.2473202877543015,29.70920983008412,-1.986571829920634,-6.945692496199909,True,False,False,True,False,False,-1.1817036920551185,-0.20224253169973755,breakdown,72,0,0.14730285172398147,1.1363362847278784,2.6724945955637653,5.49229204285155,0.0,999.0,15.095,10984,2015-11-05 06:00:00,15.038,15.102128171571094,14.961046194114688,0.06412817157109352,1.3494660783238963,10992,2015-11-05 14:00:00,14.961046194114688,TP,8,0.4990006609579429,0.0,0.8101557336265964,IS_2014_2024,2015
10999,2015-11-05 21:00:00,23,0.049413202463603825,1.0118753188852534,0.8000000000000071,0.13999999999999146,0.06000000000000142,0.9399999999999986,-1.8919009518729721,33.10597973193725,-1.6062645796123254,-6.55795752354597,True,False,False,True,False,False,-1.3470009036916035,-0.19449855410470981,breakdown,72,0,0.14166254464392686,0.6476002040865536,1.9225631058819672,2.651113335479331,0.0,999.0,14.99,11000,2015-11-05 23:00:00,14.959,14.997411980369542,14.912905623556549,0.038411980369541965,0.7773626977088763,11000,2015-11-05 23:00:00,14.997411980369542,SL,0,1.0413417797047024,0.0,-1.6508386123154333,IS_2014_2024,2015
11038,2015-11-09 14:00:00,15,0.0539532073323138,1.983199985516238,0.682242990654197,0.2710280373831785,0.046728971962624426,0.9532710280373756,-3.540370145791395,18.015832526534666,-3.1327584762024085,-8.179173476857347,True,False,False,True,False,False,-1.5648499632437438,-0.6358740470609582,breakdown,72,0,0.8525906479789374,3.280620536788557,3.3918280126119025,3.669846702170233,0.0,999.0,14.684,11039,2015-11-09 15:00:00,14.581,14.692092981099846,14.447688422680184,0.111092981099846,2.05906166830067,11042,2015-11-09 18:00:00,14.447688422680184,TP,3,0.26104259434658483,0.0,0.9749632807357053,IS_2014_2024,2015
11178,2015-11-17 16:00:00,17,0.058139685333648335,1.9779948814659989,0.6869565217391191,0.1478260869565322,0.16521739130434862,0.8347826086956514,-3.2605432644804013,34.51277838468263,-1.9040426054256272,-3.7274934924036773,True,False,False,True,False,False,-1.3333448723015913,-1.0115582210812823,breakdown,72,0,0.7567980416043586,2.098394569903054,1.9091950595019413,1.6167958161548035,0.0,999.0,14.22,11179,2015-11-17 17:00:00,14.124,14.228720952800048,13.998334856639945,0.10472095280004723,1.8011957271368304,11179,2015-11-17 17:00:00,14.228720952800048,SL,0,1.0981565477118955,0.0,-1.2387296842851976,IS_2014_2024,2015
11259,2015-11-23 05:00:00,6,0.06703419979250815,1.6260356704098675,0.5596330275229353,0.3119266055045936,0.12844036697247108,0.8715596330275289,-1.7254021277943268,28.80827770360942,-2.4665831941172516,-3.9443621819878225,True,False,False,True,False,False,-0.8717404706647579,-0.8747694952202898,breakdown,72,0,0.16409534288541455,3.073058239490228,2.5956899692781565,4.2963144319086455,0.0,999.0,14.048,11260,2015-11-23 06:00:00,13.952,14.058055129968876,13.824733844037349,0.10605512996887612,1.5821048106362123,11262,2015-11-23 08:00:00,14.058055129968876,SL,2,1.0371964093795465,-0.33001703934804055,-1.2357264566771742,IS_2014_2024,2015
11572,2015-12-11 02:00:00,3,0.04353964441342725,0.8498002337518018,0.8108108108107758,0.16216216216216475,0.027027027027059464,0.9729729729729405,-2.1259274798393246,29.266951925528957,-1.871329696934977,-3.4368285224352855,True,False,False,True,False,False,-0.35372589990505854,-1.0483772592874756,breakdown,72,0,0.18374059108144639,1.7455356152739039,2.870946735647916,2.7561088662219815,0.0,999.0,14.073,11573,2015-12-11 03:00:00,14.039,14.079530946662015,13.990362864005581,0.040530946662014955,0.930897512096253,11575,2015-12-11 05:00:00,14.079530946662015,SL,2,1.3569877964766355,-0.4194325916382216,-1.616812634762119,IS_2014_2024,2015
12775,2016-02-26 15:00:00,16,0.07841932433641541,1.6705066143902783,0.6259541984732819,0.29770992366412335,0.0763358778625947,0.9236641221374053,-3.068346359355001,24.403119019045604,-3.4364131241766556,-5.038830656646674,True,False,False,False,True,False,-0.07679621704816013,0.4185929386509144,breakdown,72,0,0.701357738866152,3.2262455987843173,3.9531072554274065,3.9276033376504693,0.0,999.0,14.918,12776,2016-02-26 16:00:00,14.801,14.929762898650461,14.646484521619447,0.12876289865046076,1.6419791899516203,12786,2016-02-29 03:00:00,14.646484521619447,TP,10,0.0,0.0,1.0058446939140036,IS_2014_2024,2016
13326,2016-04-01 13:00:00,14,0.08732233713397264,1.2597005944909123,0.5727272727272559,0.24545454545455206,0.1818181818181921,0.8181818181818079,-3.0989124439202778,17.394716969556782,-4.341498228619052,-4.590365031719326,True,False,False,False,True,False,-0.0013307219368405578,0.24290534034611114,breakdown,72,0,0.2404882953118876,5.439616203483421,5.451068027069696,6.161081089419125,0.0,999.0,15.009,13327,2016-04-01 14:00:00,14.913,15.022098350570097,14.782081979315883,0.10909835057009687,1.249375064282977,13328,2016-04-01 15:00:00,14.782081979315883,TP,1,0.4491360294995153,0.0,0.9708489645410645,IS_2014_2024,2016
