rule,exit,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,test_positive,oos_nonnegative,score
R3_gbp_aud_adx,fixed_2R_max48,GBPJPY/AUDJPY + ADX>=25。,25,60.0,7.105041366258112,0.2842016546503245,2.9398734385599177,2.29483599020244,3,14,78.57142857142857,9.399877356460552,0.6714198111757537,17.96828219773407,0.22825985012742198,2,8,37.5,-1.731372224341139,-0.21642152804264236,0.30762844894680924,1.5616617426416592,3,3,33.33333333333333,-0.5634637658613024,-0.1878212552871008,0.07328626425602765,0.38879951046403644,1,False,False,7.06567214498709
R3_gbp_aud_adx,BE_after_1R_to_2R,GBPJPY/AUDJPY + ADX>=25。,25,40.0,8.58446547038035,0.343378618815214,2.2780280649276654,4.210648216499401,5,14,57.14285714285714,11.815641043934054,0.8439743602810038,9.803944154799682,1.0054709658059806,2,8,12.5,-2.217626370937324,-0.2772032963671655,0.4732227351570402,3.1970990138830184,5,3,33.33333333333333,-1.0135492026163824,-0.33784973420546077,0.13005872547790903,1.16507772685367,2,False,False,6.779220197203308
R7_gbp_only_adx,half_1R_trail1ATR_rest_2R,GBPJPY専用 + ADX>=25。,13,69.23076923076923,5.2677877121223915,0.4052144393940301,2.8217641872151686,1.7374487330652038,2,9,88.88888888888889,7.005236445187595,0.7783596050208439,7.9870095451691085,1.0026086840014539,1,2,0.0,-1.261629754510381,-0.6308148772551905,0.0,0.25695989986948575,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,False,False,6.615072407969317
R7_gbp_only_adx,fixed_1R,GBPJPY専用 + ADX>=25。,13,69.23076923076923,5.218116644295648,0.40139358802274216,2.8045863931481714,1.7374487330652046,2,9,88.88888888888889,6.955565377360853,0.7728405974845391,7.937467716318689,1.0026086840014539,1,2,0.0,-1.261629754510381,-0.6308148772551905,0.0,0.25695989986948575,2,2,50.0,-0.4758189785548235,-0.23790948927741176,0.24153841939736048,0.6273475027921113,1,False,False,6.529119289219137
R7_gbp_only_adx,fixed_2R_max48,GBPJPY専用 + ADX>=25。,13,53.84615384615385,4.515162177791724,0.34732016752244027,3.2757550774242503,1.6478982647995677,4,9,77.77777777777779,6.163060442591291,0.6847844936212546,19.33535302323841,0.228259850127422,1,2,0.0,-1.0398747251366436,-0.5199373625683218,0.0,0.6826308451078344,2,2,0.0,-0.6080235396629248,-0.3040117698314624,0.0,0.3887995104640364,2,False,False,6.390941612443362
R6_macd_turn_rebreak,half_1R_BE_rest_2R,rebreak + MACD slope3>0。売り遅れを避ける仮説。,29,55.172413793103445,6.166650199126956,0.2126431103147226,1.5983477554793006,5.399191625203079,5,15,66.66666666666666,7.119057490333952,0.47460383268893014,3.2165901373302237,1.1734527307274876,2,13,46.15384615384615,0.05101080451073514,0.0039239080392873184,1.0083747874910876,4.395773529485349,5,1,0.0,-1.003418095717731,-1.003418095717731,0.0,0.0,1,True,False,6.015012644124894
R7_gbp_only_adx,fixed_2R_no_progress12,GBPJPY専用 + ADX>=25。,13,69.23076923076923,2.982154513390609,0.22939650103004686,3.6226651620894925,1.0689832188608226,3,9,88.88888888888889,3.8363244187700483,0.4262582687522276,57.344427773426304,0.06808702422530177,1,2,50.0,-0.28093760444864024,-0.14046880222432012,0.4333089576078295,0.49575091793002324,1,2,0.0,-0.5732323009307991,-0.28661615046539957,0.0,0.36098296012189246,2,False,False,5.956251647356088
R1_hv_core,fixed_1_5R,rebreak + ADX>=25 + BB幅7-10ATR + BB位置0-0.25。,11,54.54545454545454,5.86920249060784,0.5335638627825309,3.7310875981855873,1.798298708892001,2,9,66.66666666666666,7.667501199499841,0.8519445777222046,22.8611651064907,0.1005891638318257,1,2,0.0,-1.7982987088920015,-0.8991493544460007,0.0,1.0034834401260293,2,0,0.0,0.0,0.0,,0.0,0,False,True,5.94125679125588
R5_gbp_aud_atr80_rebreak,fixed_2R_max48,GBPJPY/AUDJPY + ATR percentile>=80 + rebreak。,17,58.82352941176471,5.856383565220279,0.3444931508953105,2.987412505207853,2.1149914817534405,4,10,80.0,7.971375046973718,0.7971375046973719,18.86913283966116,0.22825985012742198,2,7,28.57142857142857,-2.1149914817534397,-0.3021416402504914,0.15422003882315566,1.94528100005396,4,0,0.0,0.0,0.0,,0.0,0,False,True,5.65352758366082
R3_gbp_aud_adx,half_1R_BE_rest_2R,GBPJPY/AUDJPY + ADX>=25。,25,56.00000000000001,7.478899750302046,0.2991559900120818,2.1175742596369282,4.2106482164994015,5,14,78.57142857142857,10.710075323855751,0.7650053802754108,9.079772823177715,1.0026086840014539,1,8,25.0,-2.217626370937324,-0.2772032963671655,0.4721776639995895,3.1970990138830184,5,3,33.33333333333333,-1.0135492026163824,-0.33784973420546077,0.13005872547790903,1.16507772685367,2,False,False,5.292087527818607
