symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_hour
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,60194,2023-10-18 04:00:00,long,182.46,181.68,182.76,182.06,5.30492728049834,0.6481481481481471,0.5714285714285888,4,8,2.0,3,182.4,182.06,1.6700696994161857,0.2947181822499233,0.45945945945949684,True,1,0,H4順,182.019283136492,60176-60180-60188,5
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,60432,2023-11-01 06:00:00,long,183.92,183.17,184.26,183.5,4.643876156402836,0.6972477064220078,0.5526315789473586,7,6,0.8571428571428571,2,183.76,183.5,1.10771357859146,0.6816698945178309,0.8846153846152796,True,1,0,H4順,183.45305645700748,60414-60421-60427,7
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,60482,2023-11-03 08:00:00,long,183.53,182.99,183.69,183.24,4.214513194376118,0.642857142857137,0.644444444444443,6,4,0.6666666666666666,6,183.49,183.24,1.5051832837057808,0.24082932539287702,0.6428571428571646,True,1,0,H4順,183.2067814540985,60463-60469-60473,9
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,61013,2023-12-05 16:00:00,short,185.26,186.14,185.04,185.9,4.396547490720338,0.7818181818181983,0.7441860465116333,7,3,0.42857142857142855,4,185.79,185.29,1.998430677600164,0.11990584065601438,0.5625000000000333,True,1,0,H4順,185.95003926386883,60996-61003-61006,17
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,61027,2023-12-06 06:00:00,short,185.26,185.9,185.16,185.75,3.7381209210595374,0.7972972972972922,0.8305084745762819,12,5,0.4166666666666667,1,185.75,185.38,1.8690604605297687,0.6061817709826431,0.5217391304348256,True,1,0,H4順,185.78959208466645,61006-61018-61023,7
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,61794,2024-01-22 15:00:00,long,188.26,187.75,188.35,187.85,2.7121331756467972,0.8333333333333413,0.8199999999999932,5,7,1.4,0,188.14,187.85,1.3108643682292618,0.5424266351293852,0.7586206896551894,True,1,0,H4順,187.80575438511738,61779-61784-61791,16
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,61827,2024-01-24 00:00:00,short,187.83,188.88,187.32,188.26,6.802483115377769,0.6025641025641002,0.4574468085106164,3,15,5.0,1,188.26,187.93,1.4389868128683028,0.436056609960088,0.7272727272727155,True,0,1,H4逆,188.3058656044724,61805-61808-61823,1
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,62494,2024-03-04 01:00:00,long,190.15,189.02,190.36,189.61,6.843409801774969,0.559701492537312,0.7199999999999894,17,7,0.4117647058823529,7,190.08,189.76,1.63424711684189,0.35749155680910444,0.8124999999999889,True,1,0,H4順,189.57083823594337,62460-62477-62484,2
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,62562,2024-03-06 21:00:00,short,190.11,190.64,189.94,190.42,3.544825567285845,0.6857142857142823,0.6458333333332926,5,2,0.4,3,190.42,190.12,1.5192109574081576,0.05064036524689541,0.5714285714285134,True,0,1,H4逆,190.45949418591763,62549-62554-62556,22
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,62897,2024-03-26 23:00:00,short,191.21,191.64,191.1,191.4,3.941479713247897,0.5555555555555848,0.6333333333333018,4,7,1.75,0,191.4,191.29,0.80289401566172,0.5839229204810623,0.6874999999999223,True,0,1,H4逆,191.42740087679178,62883-62887-62894,0
