symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_hour,entry_i,entry_time,entry,rr,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,56505,2023-03-15 05:00:00,long,163.71,162.12,164.04,162.95,5.949998856975615,0.5677083333333388,0.6972477064220339,6,2,0.3333333333333333,12,163.66,163.18,1.4874997142438815,0.1549478869004428,0.545454545454569,True,1,0,H4順,162.8854621724759,56482-56488-56490,6,56506,2023-03-15 06:00:00,163.7,1.5,164.9218067412861,1.5,56508,2023-03-15 08:00:00,162.8854621724759,SL,2,0.8145378275240773,-1.0,-1.024553801338822,IS_2014_2024,2023
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,57067,2023-04-17 18:00:00,long,166.42,165.67,166.59,166.08,4.015860466269556,0.554347826086937,0.6666666666666295,5,3,0.6,1,166.37,166.08,1.265869060019695,0.2182532862102237,0.8571428571425671,True,1,0,H4順,166.03418167499956,57055-57060-57063,19,57068,2023-04-17 19:00:00,166.42,1.5,166.99872748750062,1.4999999999999631,57101,2023-04-19 04:00:00,166.99872748750062,TP,33,0.3858183250004288,1.4999999999999631,1.4481621304535657,IS_2014_2024,2023
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,58292,2023-06-28 05:00:00,long,183.42,182.55,183.73,183.08,5.361776701315373,0.5508474576271094,0.5230769230769029,7,6,0.8571428571428571,3,183.35,183.08,1.226847211317864,0.3180714992305478,0.5238095238095013,True,1,0,H4順,183.03598473917387,58273-58280-58286,6,58293,2023-06-28 06:00:00,183.41,1.5,183.9710228912392,1.5,58293,2023-06-28 06:00:00,183.03598473917387,SL,0,0.3740152608261269,-1.0,-1.0534737538671703,IS_2014_2024,2023
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,59321,2023-08-28 11:00:00,long,184.49,183.77,184.61,184.15,4.6158046225015426,0.5476190476190549,0.7391304347826033,10,7,0.7,1,184.48,184.15,1.8133518159826545,0.0549500550298862,0.6315789473684525,True,1,0,H4順,184.1136033121547,59300-59310-59317,12,59322,2023-08-28 12:00:00,184.49,1.5,185.05459503176797,1.5000000000000377,59343,2023-08-29 09:00:00,185.05459503176797,TP,21,0.37639668784530045,1.5000000000000377,1.4468645696261078,IS_2014_2024,2023
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,62494,2024-03-04 01:00:00,long,190.15,189.02,190.36,189.61,6.843409801774969,0.559701492537312,0.7199999999999894,17,7,0.4117647058823529,7,190.08,189.76,1.63424711684189,0.3574915568091044,0.8124999999999889,True,1,0,H4順,189.57083823594337,62460-62477-62484,2,62495,2024-03-04 02:00:00,190.17,1.5,191.0687426460849,1.4999999999999762,62507,2024-03-04 14:00:00,191.0687426460849,TP,12,0.5991617640566176,1.4999999999999762,1.4666200328529206,IS_2014_2024,2024
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,63928,2024-05-27 05:00:00,long,199.9,199.15,200.05,199.58,6.013797545327725,0.5222222222222177,0.6808510638297743,9,11,1.2222222222222223,1,199.82,199.58,1.603679345420587,0.534559781806989,0.6249999999999778,True,1,0,H4順,199.55006882944707,63904-63913-63924,6,63929,2024-05-27 06:00:00,199.89,1.5,200.39989675582936,1.5,63951,2024-05-28 04:00:00,200.39989675582936,TP,22,0.3399311705529158,1.5,1.44116455996827,IS_2014_2024,2024
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,64429,2024-06-25 06:00:00,long,202.53,201.54,202.65,201.99,5.703531648776621,0.5945945945945842,0.8181818181818103,5,10,2.0,4,202.47,202.14,1.6956445442309307,0.3082990080419874,0.909090909090862,True,1,0,H4順,201.95107674793957,64407-64412-64422,7,64430,2024-06-25 07:00:00,202.52,1.5,203.3733848780907,1.5000000000000249,64493,2024-06-27 22:00:00,203.3733848780907,TP,63,0.5689232520604435,1.5000000000000249,1.4648458734503564,IS_2014_2024,2024
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,65969,2024-09-23 23:00:00,long,191.92,190.12,192.39,191.12,6.10094950015502,0.559471365638763,0.6299212598425152,6,3,0.5,5,191.8,191.24,1.505080052901697,0.3225171541931553,0.7254901960783571,True,1,0,H4順,191.0455853535604,65952-65958-65961,0,65970,2024-09-24 00:00:00,191.74,1.5,192.78162196965943,1.5,65974,2024-09-24 04:00:00,192.78162196965943,TP,4,0.6944146464396113,1.5,1.471198764164141,IS_2014_2024,2024
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,71605,2025-10-24 00:00:00,long,203.479,202.526,203.79,203.104,6.143334444171846,0.5427215189873328,0.5466472303207167,18,10,0.5555555555555556,0,203.421,203.104,1.5406938439892195,0.281893510887739,0.4444444444444849,True,1,0,H4順,203.06284970901433,71574-71592-71602,1,71606,2025-10-24 01:00:00,203.482,1.5,204.1107254364785,1.5,71642,2025-10-27 13:00:00,204.1107254364785,TP,36,0.41915029098566947,1.5,1.4522844181905492,OOS_2025_2026,2025
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,72937,2026-01-14 01:00:00,long,213.868,212.642,214.291,213.453,6.995383946891338,0.5081867798665818,0.4952267303102566,10,14,1.4,0,213.797,213.453,1.459315996198046,0.3011960340990118,0.4752851711027035,True,1,0,H4順,213.4058546249207,72910-72920-72934,2,72938,2026-01-14 02:00:00,213.869,1.5,214.56371806261896,1.5,72946,2026-01-14 10:00:00,213.4058546249207,SL,8,0.4631453750793071,-1.0,-1.0431829854644605,OOS_2025_2026,2026
GBPJPY,H1,gbpjpy_lenient_source,GBPJPY source candidates before personality filters,6,2.0,74120,2026-03-24 07:00:00,long,212.864,211.574,213.301,212.281,5.501340934337168,0.5906195715112891,0.571568627450989,4,11,2.75,3,212.76,212.281,1.525849627995054,0.3312909421952214,0.5714285714286012,True,1,0,H4順,212.21821530730008,74099-74103-74114,8,74121,2026-03-24 08:00:00,212.862,1.5,213.82767703904986,1.5,74193,2026-03-27 08:00:00,212.799,time_exit,72,0.64378469269991,-0.09785880390504194,-0.12892509085900108,OOS_2025_2026,2026
