symbol,timeframe,filter,filter_description,box_bars,box_atr,signal_i,signal_time,direction,close,p0,p1,p2,wave1_atr,retrace,recovery,wave1_bars,adjust_bars,adjust_ratio,setup_age,box_high,box_low,box_width_atr,chase_atr,signal_body_ratio,ema_ok,upper_align,upper_oppose,upper_context,stop,pivots,entry_i,entry_time,entry,target_model,target,planned_rr,exit_i,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,sample,year,month,hour
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,35813,2019-10-04 02:00:00,short,106.76,107.297,106.483,106.926,6.441936490581661,0.5442260442260463,0.3747178329571052,7,8,1.1428571428571428,1,106.926,106.797,1.0208965691462812,0.2928152950263777,0.5256410256409649,True,1,0,H4順,106.95127190391244,35794-35801-35809,35814,2019-10-04 03:00:00,106.761,fixed_1_5R,106.47559214413133,1.5,35823,2019-10-04 12:00:00,106.95127190391244,SL,9,0.1902719039124463,-1.0,-1.0525563669378766,IS_2014_2024,2019,10,3
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,35919,2019-10-10 12:00:00,long,107.622,107.034,107.774,107.354,5.246058038913922,0.5675675675675738,0.6380952380952372,3,8,2.6666666666666665,0,107.55,107.354,1.3894964535501693,0.5104272686511072,0.6035714285714151,True,1,0,H4順,107.32578834109304,35905-35908-35916,35920,2019-10-10 13:00:00,107.622,fixed_1_5R,108.06631748836044,1.5,35931,2019-10-11 00:00:00,108.06631748836044,TP,11,0.2962116589069694,1.5,1.4662403565177304,IS_2014_2024,2019,10,13
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,39302,2020-04-28 23:00:00,short,106.756,107.338,106.559,106.971,7.254305887899804,0.5288831835686881,0.5218446601941753,10,3,0.3,6,106.963,106.807,1.4527236437898774,0.4749288835467339,0.7706422018348289,True,1,0,H4順,106.99247689970724,39280-39290-39293,39303,2020-04-29 00:00:00,106.758,fixed_1_5R,106.40628465043916,1.5,39310,2020-04-29 07:00:00,106.40628465043916,TP,7,0.2344768997072321,1.5,1.4573518755473271,IS_2014_2024,2020,4,0
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,39623,2020-05-18 08:00:00,long,107.288,106.855,107.372,107.015,4.840740867036229,0.6905222437137373,0.7647058823529318,5,3,0.6,9,107.273,107.068,1.919442703563688,0.1404470270900324,0.7094594594594088,True,1,0,H4順,106.99363963330404,39603-39608-39611,39624,2020-05-18 09:00:00,107.292,fixed_1_5R,107.73954055004394,1.5,39650,2020-05-19 11:00:00,107.73954055004394,TP,26,0.2983603666959595,1.5,1.466483484013876,IS_2014_2024,2020,5,9
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,39881,2020-06-02 02:00:00,long,107.69,107.376,107.763,107.512,3.931111718507615,0.6485788113695207,0.7091633466135214,3,12,4.0,0,107.667,107.512,1.5744762696865222,0.2336319625986042,0.3999999999999563,True,1,0,H4順,107.49231091316088,39863-39866-39878,39882,2020-06-02 03:00:00,107.69,fixed_1_5R,107.98653363025868,1.5,39891,2020-06-02 12:00:00,107.98653363025868,TP,9,0.1976890868391194,1.5,1.449415518277299,IS_2014_2024,2020,6,3
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,40629,2020-07-15 06:00:00,short,107.171,107.434,107.158,107.309,3.741160298197014,0.5471014492753562,0.9139072847681752,6,7,1.1666666666666667,2,107.309,107.188,1.6401463626153137,0.230433786483097,0.6846153846153981,True,1,0,H4順,107.32375478076322,40611-40617-40624,40630,2020-07-15 07:00:00,107.17,fixed_1_5R,106.93936782885515,1.5,40630,2020-07-15 07:00:00,106.93936782885515,TP,0,0.1537547807632222,1.5,1.434961371930343,IS_2014_2024,2020,7,7
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,41062,2020-08-10 07:00:00,long,105.99,105.479,106.055,105.711,5.456368841040059,0.5972222222222288,0.8110465116278769,8,7,0.875,7,105.925,105.723,1.9135182393924783,0.615736067131227,0.4999999999999052,True,0,0,H4中立,105.68988705779316,41037-41045-41052,41063,2020-08-10 08:00:00,105.988,fixed_1_5R,106.43516941331023,1.4999999999999762,41093,2020-08-11 14:00:00,106.43516941331023,TP,30,0.2981129422068278,1.4999999999999762,1.4664556663458774,IS_2014_2024,2020,8,8
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,41993,2020-10-02 02:00:00,long,105.627,105.442,105.727,105.506,3.8475732083051186,0.7754385964912115,0.5475113122171634,2,8,4.0,2,105.609,105.506,1.3905264577382133,0.2430046236824285,0.7450980392155934,True,1,0,H4順,105.4911854670687,41978-41980-41988,41994,2020-10-02 03:00:00,105.626,fixed_1_5R,105.82822179939696,1.5,41996,2020-10-02 05:00:00,105.4911854670687,SL,2,0.1348145329313013,-1.0,-1.074175979269881,IS_2014_2024,2020,10,3
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,45314,2021-04-18 21:00:00,short,108.726,108.964,108.702,108.896,3.109830367664505,0.7404580152671842,0.8762886597938114,3,3,1.0,5,108.896,108.744,1.804176396507661,0.2136524680074928,0.5675675675674949,True,1,0,H4順,108.9128497936559,45300-45303-45306,45315,2021-04-18 22:00:00,108.79,fixed_1_5R,108.60572530951616,1.5,45318,2021-04-19 01:00:00,108.60572530951616,TP,3,0.1228497936558881,1.5,1.4185997818767064,IS_2014_2024,2021,4,22
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,45387,2021-04-21 22:00:00,short,108.031,108.28,107.975,108.196,3.2322950676856745,0.724590163934422,0.7466063348415807,5,2,0.4,5,108.196,108.045,1.600251000722996,0.1483676424510978,0.657894736841938,True,1,0,H4順,108.21487203944028,45372-45377-45379,45388,2021-04-21 23:00:00,108.03,fixed_1_5R,107.75269194083958,1.5,45405,2021-04-22 16:00:00,108.21487203944028,SL,17,0.1848720394402789,-1.0,-1.0540914679703164,IS_2014_2024,2021,4,23
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,46241,2021-06-10 12:00:00,long,109.647,109.224,109.678,109.45,5.059384423489117,0.5022026431718011,0.8640350877193314,11,6,0.5454545454545454,3,109.579,109.45,1.4375783934582782,0.7577932616681187,0.5123966942149056,True,1,0,H4順,109.43205315263684,46218-46229-46235,46242,2021-06-10 13:00:00,109.646,fixed_1_5R,109.96692027104476,1.4999999999999667,46243,2021-06-10 14:00:00,109.43205315263684,SL,1,0.2139468473631751,-1.0,-1.0467405812389274,IS_2014_2024,2021,6,13
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,47862,2021-09-14 01:00:00,long,110.079,109.8,110.158,109.898,6.051288306742612,0.7262569832402295,0.6961538461538224,10,7,0.7,8,110.05,109.962,1.48746751674108,0.4901881589260104,0.8461538461539092,True,1,0,H4順,109.8861678088416,47834-47844-47851,47863,2021-09-14 02:00:00,110.078,fixed_1_5R,110.3657482867376,1.499999999999963,47873,2021-09-14 12:00:00,109.8861678088416,SL,10,0.1918321911584115,-1.0,-1.0521288942153253,IS_2014_2024,2021,9,2
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,48377,2021-10-13 12:00:00,long,113.66,113.0,113.786,113.347,6.485948499932676,0.558524173027998,0.7129840546696977,6,14,2.3333333333333335,7,113.611,113.4,1.741138846674024,0.4043403008863246,0.4034482758620265,True,1,0,H4順,113.3227629897922,48347-48353-48367,48378,2021-10-13 13:00:00,113.661,fixed_1_5R,114.16835551531167,1.5,48379,2021-10-13 14:00:00,113.3227629897922,SL,1,0.3382370102077914,-1.0,-1.0295650673882422,IS_2014_2024,2021,10,13
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,48805,2021-11-08 09:00:00,short,113.39,114.029,113.299,113.665,6.357590799723634,0.5013698630137052,0.7513661202185955,5,9,1.8,3,113.665,113.444,1.9246952969026931,0.4702875386097179,0.6000000000000392,True,1,0,H4順,113.68796467397782,48785-48790-48799,48806,2021-11-08 10:00:00,113.39,fixed_1_5R,112.94305298903328,1.5,48822,2021-11-09 02:00:00,112.94305298903328,TP,16,0.2979646739778161,1.5,1.4664389745720816,IS_2014_2024,2021,11,10
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,58736,2023-06-12 01:00:00,long,139.544,138.757,139.723,139.028,5.829540555619471,0.7194616977225835,0.7424460431654727,9,4,0.4444444444444444,10,139.484,139.241,1.46643722051293,0.3620832643242014,0.6714975845411317,True,1,0,H4順,138.99485845168127,58710-58719-58723,58737,2023-06-12 02:00:00,139.545,fixed_1_5R,140.37021232247807,1.5,58807,2023-06-15 00:00:00,140.37021232247807,TP,70,0.5501415483187202,1.5,1.4818228598975087,IS_2014_2024,2023,6,2
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,59030,2023-06-28 07:00:00,long,144.074,143.298,144.174,143.728,4.951034916880303,0.5091324200913191,0.7757847533632404,2,9,4.5,4,144.048,143.728,1.8085972299105648,0.1469485249302956,0.3493975903615228,True,1,0,H4順,143.6926134590159,59012-59014-59023,59031,2023-06-28 08:00:00,144.073,fixed_1_5R,144.64357981147617,1.4999999999999627,59053,2023-06-29 06:00:00,144.64357981147617,TP,22,0.3803865409841194,1.4999999999999627,1.4737109520906455,IS_2014_2024,2023,6,8
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,64951,2024-06-10 18:00:00,long,157.079,156.564,157.193,156.743,3.642800240635053,0.7154213036566032,0.7466666666666667,6,7,1.1666666666666667,5,157.062,156.743,1.847461489288725,0.0984540605576774,0.7383177570094227,True,1,0,H4順,156.70846612724006,64930-64936-64943,64952,2024-06-10 19:00:00,157.077,fixed_1_5R,157.6298008091399,1.5,64993,2024-06-12 12:00:00,156.70846612724006,SL,41,0.3685338727599401,-1.0,-1.0271345478370852,IS_2014_2024,2024,6,19
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,65436,2024-07-08 23:00:00,long,160.859,160.26,161.117,160.474,5.711932586486365,0.7502917152858823,0.5987558320373545,6,6,1.0,6,160.835,160.592,1.6196028220725311,0.1599607725503828,0.5069444444444774,True,1,0,H4順,160.44399264304948,65415-65421-65427,65437,2024-07-09 00:00:00,160.859,fixed_1_5R,161.4815110354258,1.5,65452,2024-07-09 15:00:00,161.4815110354258,TP,15,0.4150073569505252,1.5,1.4759040416211633,IS_2014_2024,2024,7,0
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,66828,2024-09-26 23:00:00,long,145.082,144.109,145.212,144.508,3.831731617279358,0.638259292837708,0.8153409090909102,2,5,2.5,1,144.97,144.508,1.6049501425050348,0.389078822425454,0.7638376383763981,True,1,0,H4順,144.4504281181372,66817-66819-66824,66829,2024-09-27 00:00:00,145.081,fixed_1_5R,146.02685782279417,1.5000000000000224,66834,2024-09-27 05:00:00,146.02685782279417,TP,5,0.6305718818627781,1.5000000000000224,1.4841413797734913,IS_2014_2024,2024,9,0
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,67702,2024-11-18 10:00:00,long,154.999,153.838,155.138,154.296,3.3328625084355723,0.647692307692312,0.8349168646080667,1,5,5.0,1,154.97,154.296,1.7279610236042908,0.0743484713420143,0.811594202898482,True,1,0,H4順,154.217988981141,67692-67693-67698,67703,2024-11-18 11:00:00,154.999,fixed_1_5R,156.1705165282885,1.4999999999999818,67717,2024-11-19 01:00:00,154.217988981141,SL,14,0.7810110188590045,-1.0,-1.0128039166650942,IS_2014_2024,2024,11,11
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,67967,2024-12-03 11:00:00,short,149.73,150.747,149.077,150.234,5.5604734130759,0.6928143712574848,0.4356093344857514,11,13,1.181818181818182,3,150.234,149.765,1.5615940303788605,0.1165368679387039,0.7370892018780056,True,1,0,H4順,150.2940668279817,67937-67948-67961,67968,2024-12-03 12:00:00,149.731,fixed_1_5R,148.88639975802744,1.499999999999975,67969,2024-12-03 13:00:00,148.88639975802744,TP,1,0.5630668279817144,1.499999999999975,1.4822401187513574,IS_2014_2024,2024,12,12
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,70266,2025-04-18 15:00:00,short,142.242,143.087,141.899,142.715,8.814681944306127,0.6868686868686958,0.5796568627451124,6,4,0.6666666666666666,18,142.396,142.252,1.0684462962793708,0.0741976594640004,0.6666666666666666,True,1,0,H4順,142.74195502815658,70235-70241-70245,70267,2025-04-18 16:00:00,142.237,fixed_1_5R,141.4795674577651,1.5,70275,2025-04-21 00:00:00,141.4795674577651,TP,8,0.5049550281565871,1.5,1.480196256216128,OOS_2025_2026,2025,4,16
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,71494,2025-06-30 19:00:00,short,144.035,144.762,143.779,144.509,4.226368889194026,0.7426246185147373,0.6493150684931455,7,6,0.8571428571428571,3,144.509,144.131,1.6251957681742375,0.4127481315998373,0.6666666666666666,True,1,0,H4順,144.55551747283647,71475-71482-71488,71495,2025-06-30 20:00:00,144.032,fixed_1_5R,143.2467237907453,1.500000000000027,71506,2025-07-01 07:00:00,143.2467237907453,TP,11,0.5235174728364598,1.500000000000027,1.4808984407993186,OOS_2025_2026,2025,6,20
USDJPY,H1,base,50%-88.6%戻し + 圧縮ボックス再ブレイク。上位足は問わない。,8,2.0,71585,2025-07-04 14:00:00,long,144.521,143.67,145.212,144.181,8.838491827114712,0.6686121919584802,0.3297769156158898,9,14,1.5555555555555556,5,144.507,144.181,1.868578687185042,0.0802457104925052,0.3860759493669155,True,0,0,H4中立,144.14610716918313,71554-71563-71577,71586,2025-07-04 15:00:00,144.522,fixed_1_5R,145.0858392462253,1.5000000000000375,71601,2025-07-07 06:00:00,145.0858392462253,TP,15,0.3758928308168663,1.5000000000000375,1.4733966727211971,OOS_2025_2026,2025,7,15
