timeframe,family,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D1,V字フィボ,VFIB_100_EXT161,2018,15,60.0,-1.9525086648536711,-0.13016724432357807,0.6350167201733501,4.076149520408645,2,25.266666666666666
H4,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2019,7,28.57142857142857,-1.9673048766581405,-0.28104355380830576,0.6116691045408202,3.031033824354177,4,96.57142857142857
H1,V字フィボ,VFIB_786_EARLY1_RR2,2019,178,28.08988764044944,-1.9703320102887987,-0.011069280956678645,0.9798536266854848,18.904568603376276,13,149.37640449438203
D1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2017,2,0.0,-2.016794874435247,-1.0083974372176234,0.0,1.008526920687581,2,20.0
D1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2017,2,0.0,-2.016794874435247,-1.0083974372176234,0.0,1.008526920687581,2,20.0
H4,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2021,2,0.0,-2.019130124749009,-1.0095650623745045,0.0,1.0081482567338922,2,20.0
H1,V字フィボ,VFIB_618_EARLY3_RR2,2019,303,21.45214521452145,-2.070102968126065,-0.006832022997115726,0.9856582052869887,26.33684165405522,15,81.94719471947195
H1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2024,8,25.0,-2.0941365197102244,-0.26176706496377805,0.6560258361577873,3.0663065573579544,4,73.875
H1,V字フィボ,VFIB_618_EARLY1_RR2,2020,262,27.099236641221374,-2.2794681496884124,-0.008700260113314552,0.9839172380328235,16.04381340234259,10,101.72900763358778
D1,V字フィボ,VFIB_100_EXT161,2021,15,60.0,-2.283858938272096,-0.15225726255147307,0.6224504070291637,2.6458947485217164,2,17.4
D1,V字フィボ,VFIB_786_EXT127,2024,33,66.66666666666666,-2.2863405553309595,-0.0692830471312412,0.772880874959441,6.391297133321503,4,12.363636363636363
H4,V字フィボ,VFIB_618_EARLY3_RR2,2016,153,20.915032679738562,-2.310140378373236,-0.015098956721393698,0.9616992600359737,15.35627234329585,19,29.11111111111111
D1,V字フィボ,VFIB_786_EXT127,2018,26,65.38461538461539,-2.3396109047073854,-0.08998503479643791,0.7228327722626111,3.2606294589549636,3,18.192307692307693
D1,V字フィボ,VFIB_100_EXT161,2015,20,60.0,-2.3657542229848296,-0.11828771114924148,0.6521942864051616,3.8916010462955963,3,22.25
D1,V字フィボ,VFIB_618_BODY60_LONG_ATR4_SPEED060_RR2,2018,4,25.0,-2.3777099375164474,-0.5944274843791119,0.10831903229974844,2.6665478165905423,3,46.25
D1,V字フィボ,VFIB_786_RR3,2020,26,38.46153846153847,-2.4706853449265536,-0.09502635942025206,0.8191503447328773,5.585883360703096,6,35.19230769230769
D1,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,2019,9,33.33333333333333,-2.47850337045754,-0.27538926338417113,0.5899211453198167,5.039427657951454,6,35.55555555555556
D1,V字フィボ,VFIB_100_RR2,2018,13,38.46153846153847,-2.594771119383668,-0.19959777841412832,0.5977817912420499,2.856137658543985,2,44.15384615384615
H1,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2020,29,31.03448275862069,-2.7353455968126794,-0.09432226195905791,0.8671896254602158,6.165671439421741,6,67.82758620689656
H1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2015,52,32.69230769230769,-2.7681397420341938,-0.05323345657758065,0.9236693497124364,16.84477313532158,10,109.5576923076923
D1,V字フィボ,VFIB_786_RR2,2020,26,38.46153846153847,-2.7726610863855603,-0.10664081101482924,0.7970462719281234,5.585883360703096,6,31.26923076923077
H4,V字フィボ,VFIB_786_RR3,2016,69,33.33333333333333,-2.787063968563257,-0.040392231428453,0.9373571509867917,17.77400628708997,9,88.55072463768116
H4,V字フィボ,VFIB_618_BODY60_LONG_RR2,2018,55,36.36363636363637,-2.8183196195591003,-0.05124217490107455,0.9198637983915362,8.450297825544686,8,70.12727272727273
H1,V字フィボ,VFIB_618_BODY50_EARLY1_RR2,2019,244,26.229508196721312,-2.8628946860863547,-0.011733174942976864,0.9800326688709782,22.737428003777374,11,97.25409836065573
D1,V字フィボ,VFIB_618_BODY60_RR2,2018,26,38.46153846153847,-2.898641845189431,-0.11148622481497811,0.7709973691821635,5.094795462393615,4,43.11538461538461
H4,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2015,4,25.0,-2.976460643073993,-0.7441151607684983,0.01698693153457754,2.0206630717658314,3,65.75
H4,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2024,26,30.76923076923077,-3.005429060886681,-0.1155934254187185,0.8356910534232573,7.096798088640524,7,51.5
H1,V字フィボ,VFIB_100_EXT161,2016,228,69.2982456140351,-3.0220775524007033,-0.013254726107020628,0.9563256773512371,16.26550377348763,6,50.90350877192982
H4,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2020,11,18.181818181818183,-3.0404269287362276,-0.27640244806692976,0.6679618268482388,7.107159529245051,7,24.0
H4,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2018,6,16.666666666666664,-3.0649309046436013,-0.5108218174406002,0.3930634097277726,3.0395928431097294,3,69.83333333333333
H1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2019,6,16.666666666666664,-3.1240841176973526,-0.5206806862828921,0.3891631670115522,3.076075591089012,3,98.33333333333333
H4,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2023,9,22.22222222222222,-3.131133865071255,-0.34790376278569496,0.5594548468596712,5.056908993799786,6,36.333333333333336
H1,V字フィボ,VFIB_100_BODY60_LONG_STRICTV_RR2,2023,6,16.666666666666664,-3.162729204996089,-0.5271215341660148,0.3858237586587227,4.144996854125044,5,67.5
D1,エリオット風5波目,ELLIOTT_W5_RR2_LOOSE,2022,6,16.666666666666664,-3.163548863616574,-0.5272581439360956,0.2569971878642911,3.2507297547072147,5,34.0
D1,エリオット風5波目,ELLIOTT_W5_RR3_LOOSE,2022,6,16.666666666666664,-3.163548863616574,-0.5272581439360956,0.2569971878642911,3.2507297547072147,5,34.0
D1,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2022,6,16.666666666666664,-3.1660372650729376,-0.5276728775121563,0.2568470773939256,3.2532181561635785,5,27.333333333333332
D1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2022,6,16.666666666666664,-3.1660372650729376,-0.5276728775121563,0.2568470773939256,3.2532181561635785,5,27.333333333333332
H1,エリオット風5波目,ELLIOTT_W5_RR3_STRICT,2024,21,23.809523809523807,-3.172180011237246,-0.1510561910112974,0.8058004427580615,6.827078477327317,4,139.33333333333334
D1,V字フィボ,VFIB_618_BODY60_LONG_REC1_RR2,2020,11,36.36363636363637,-3.2388415367113343,-0.2944401397010304,0.541086217354846,3.8120893872646118,3,32.45454545454545
D1,V字フィボ,VFIB_618_BODY60_LONG_REC1_SPEED030_RR2,2020,11,36.36363636363637,-3.2388415367113343,-0.2944401397010304,0.541086217354846,3.8120893872646118,3,32.45454545454545
D1,V字フィボ,VFIB_786_BODY60_RR2,2015,19,26.31578947368421,-3.246833332623408,-0.17088596487491622,0.6673291199964111,6.566769863843178,9,42.36842105263158
D1,V字フィボ,VFIB_100_RR2,2021,13,38.46153846153847,-3.334264536697301,-0.2564818874382539,0.5601882314294555,5.472525780592583,3,39.15384615384615
H4,V字フィボ,VFIB_618_EARLY3_RR2,2019,122,22.950819672131146,-3.388158306941273,-0.027771789401157976,0.9266466979439251,10.522540646190247,11,46.950819672131146
H4,エリオット風5波目,ELLIOTT_W5_RR2_STRICT,2021,10,20.0,-3.460310041445577,-0.3460310041445577,0.5340659279115741,7.133401586433903,7,59.8
