direction,lookback,pre_bars,sweep_atr,wick_ratio,close_location,range_atr,premove_atr,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
both,48,12,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,24,57,57.89473684210527,11.969415812888595,0.2099897511033087,1.5167718218619286,4.630533966836661,5,-1.9591087563434777,-3.794742444931712,52,6.967078574735349,5,5.002337238153246,19.841373576469348
both,48,12,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,24,57,57.89473684210527,11.969415812888595,0.2099897511033087,1.5167718218619286,4.630533966836661,5,-1.9591087563434777,-3.794742444931712,52,6.967078574735349,5,5.002337238153246,19.841373576469348
long,24,12,0.05,0.55,0.75,1.2,1.6,0.65,align,1.2,12,70,57.14285714285714,10.656774155656876,0.15223963079509822,1.4049359341950953,2.3852890744262805,3,-1.0575991272759142,-1.8679091513146335,57,8.57124394534877,13,2.085530210308106,19.050596742286558
long,24,12,0.05,0.55,0.75,1.2,1.6,0.5,align,1.2,12,70,57.14285714285714,10.656774155656876,0.15223963079509822,1.4049359341950953,2.3852890744262805,3,-1.0575991272759142,-1.8679091513146335,57,8.57124394534877,13,2.085530210308106,19.050596742286558
long,24,12,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,12,79,56.9620253164557,11.483747229490229,0.14536388898088898,1.3767308971578418,3.8498616138826502,3,-2.0916079265890635,-1.7915034193374424,64,9.287648113760058,15,2.1960991157301732,17.70780605599806
long,24,12,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,12,79,56.9620253164557,11.483747229490229,0.14536388898088898,1.3767308971578418,3.8498616138826502,3,-2.0916079265890635,-1.7915034193374424,64,9.287648113760058,15,2.1960991157301732,17.70780605599806
both,48,6,0.05,0.55,0.75,1.2,0.8,0.5,align,1.2,24,56,57.14285714285714,10.824507051078808,0.1932947687692644,1.4673411231582343,4.630533966836661,5,-1.9591087563434777,-3.794742444931712,51,5.822169812925561,5,5.002337238153246,17.690953606253462
both,48,6,0.05,0.55,0.75,1.2,1.2,0.5,align,1.2,24,56,57.14285714285714,10.824507051078808,0.1932947687692644,1.4673411231582343,4.630533966836661,5,-1.9591087563434777,-3.794742444931712,51,5.822169812925561,5,5.002337238153246,17.690953606253462
both,48,6,0.05,0.55,0.75,1.2,1.2,0.65,align,1.2,24,56,57.14285714285714,10.824507051078808,0.1932947687692644,1.4673411231582343,4.630533966836661,5,-1.9591087563434777,-3.794742444931712,51,5.822169812925561,5,5.002337238153246,17.690953606253462
both,48,6,0.05,0.55,0.75,1.2,0.8,0.65,align,1.2,24,56,57.14285714285714,10.824507051078808,0.1932947687692644,1.4673411231582343,4.630533966836661,5,-1.9591087563434777,-3.794742444931712,51,5.822169812925561,5,5.002337238153246,17.690953606253462
