entry_time,strategy,symbol,side,r,cum_R
2018-03-19 01:00:00,TrendBreakV1,AUDJPY,short,-1.000000000000013,53.54125231341634
2018-03-20 14:00:00,TrendBreakV1,SILVER,short,-1.000000000000005,52.54125231341633
2018-03-22 22:00:00,TrendBreakV1,USDJPY,short,-1.0000000000000082,51.54125231341632
2018-03-22 22:00:00,TrendBreakV1,EURJPY,short,-0.9999999999999948,50.54125231341633
2018-03-23 06:00:00,TrendBreakV1,XAUUSD,long,-1.0000000000000089,49.54125231341632
2018-03-27 07:00:00,SaiBest,GBPJPY,long,-1.0,48.54125231341632
2018-04-05 14:00:00,TrendBreakV1,USDJPY,long,-1.000000000000009,47.541252313416315
2018-04-09 13:00:00,TrendBreakV1,EURJPY,long,-1.0000000000000204,46.541252313416294
2018-04-10 03:00:00,SaiBest,GBPJPY,long,0.3482736435771319,46.889525956993424
2018-04-11 07:00:00,SaiBest,XAUUSD,long,0.3187034935048493,47.20822945049827
2018-04-11 14:00:00,TrendBreakV1,SILVER,long,-0.999999999999987,46.20822945049829
2018-04-13 02:00:00,SaiBest,AUDJPY,long,-1.0,45.20822945049829
2018-04-17 08:00:00,SaiBest,EURJPY,long,-1.0,44.20822945049829
2018-04-24 13:00:00,TrendBreakV1,EURJPY,long,-1.000000000000008,43.20822945049828
2018-05-03 14:00:00,TrendBreakV1,AUDJPY,short,-1.000000000000015,42.208229450498266
2018-05-15 12:00:00,TrendBreakV1,XAUUSD,short,2.9999999999999867,45.20822945049825
2018-05-22 07:00:00,TrendBreakV1,CHFJPY,long,-1.0000000000000242,44.20822945049823
2018-05-23 07:00:00,TrendBreakV1,EURJPY,short,3.0000000000000027,47.20822945049823
2018-06-01 10:00:00,SaiBest,CHFJPY,long,0.8882139542731524,48.096443404771385
2018-06-04 01:00:00,SaiBest,AUDJPY,long,1.3945788482716557,49.49102225304304
2018-06-15 14:00:00,TrendBreakV1,XAUUSD,short,2.9999999999999853,52.49102225304303
2018-06-19 05:00:00,TrendBreakV1,AUDJPY,short,-1.000000000000012,51.49102225304301
2018-06-22 06:00:00,SaiBest,CHFJPY,long,-1.0,50.49102225304301
2018-06-25 20:00:00,SaiBest,CHFJPY,long,-1.0,49.49102225304301
2018-06-25 20:00:00,SaiBest,EURJPY,long,-1.0,48.49102225304301
2018-07-13 11:00:00,TrendBreakV1,XAUUSD,short,-0.999999999999994,47.49102225304302
2018-07-15 23:00:00,SaiBest,EURJPY,long,0.6156552330694686,48.10667748611249
2018-07-16 01:00:00,SaiBest,CHFJPY,long,1.3165777880825138,49.423255274195
2018-07-16 01:00:00,SaiBest,AUDJPY,long,-1.0,48.423255274195
2018-08-01 07:00:00,SaiBest,EURJPY,long,-1.0,47.423255274195
2018-08-03 13:00:00,TrendBreakV1,EURJPY,short,-0.9999999999999796,46.42325527419502
2018-08-10 00:00:00,TrendBreakV1,AUDJPY,short,2.999999999999994,49.423255274195014
2018-08-13 07:00:00,TrendBreakV1,XAUUSD,short,2.999999999999981,52.42325527419499
2018-08-24 08:00:00,TrendBreakV1,CHFJPY,long,-0.99999999999998,51.423255274195014
2018-08-26 23:00:00,TrendBreakV1,EURJPY,long,-0.9999999999999658,50.42325527419505
2018-08-29 13:00:00,TrendBreakV1,GBPJPY,long,-1.0000000000000178,49.42325527419503
2018-09-11 01:00:00,SaiBest,GBPJPY,long,-1.0,48.42325527419503
2018-09-13 01:00:00,SaiBest,EURJPY,long,2.6419981498612795,51.06525342405631
2018-09-13 12:00:00,TrendBreakV1,CHFJPY,long,2.9999999999999876,54.065253424056294
2018-09-13 13:00:00,SaiBest,XAUUSD,long,-1.0,53.065253424056294
2018-09-13 14:00:00,TrendBreakV1,USDJPY,long,3.000000000000025,56.06525342405632
2018-09-14 07:00:00,SaiBest,XAUUSD,long,-1.0,55.06525342405632
2018-09-17 10:00:00,SaiBest,XAUUSD,long,1.3455293125263406,56.41078273658266
2018-09-20 08:00:00,SaiBest,GBPJPY,long,-1.0,55.41078273658266
2018-09-20 08:00:00,SaiBest,EURJPY,long,3.76398152898923,59.17476426557189
2018-09-26 02:00:00,SaiBest,AUDJPY,long,-1.0,58.17476426557189
2018-09-27 12:00:00,TrendBreakV1,XAUUSD,short,-1.000000000000015,57.17476426557187
2018-10-08 08:00:00,TrendBreakV1,EURJPY,short,2.999999999999977,60.17476426557185
2018-10-10 19:00:00,TrendBreakV1,AUDJPY,short,-1.000000000000011,59.17476426557184
2018-10-11 14:00:00,TrendBreakV1,XAUUSD,long,2.999999999999995,62.17476426557183
2018-10-14 22:00:00,TrendBreakV1,GBPJPY,short,-1.0000000000000149,61.17476426557182
2018-10-26 08:00:00,SaiBest,XAUUSD,long,-1.0,60.17476426557182
2018-10-26 14:00:00,TrendBreakV1,USDJPY,short,-1.000000000000019,59.174764265571795
2018-11-05 20:00:00,SaiBest,AUDJPY,long,2.8476123213994047,62.0223765869712
2018-11-06 06:00:00,TrendBreakV1,USDJPY,long,-0.9999999999999654,61.022376586971234
2018-11-06 09:00:00,SaiBest,XAUUSD,long,-1.0,60.022376586971234
2018-11-06 18:00:00,TrendBreakV1,GBPJPY,long,-1.000000000000018,59.02237658697121
2018-11-15 19:00:00,SaiBest,AUDJPY,long,-1.0,58.02237658697121
2018-11-21 11:00:00,SaiBest,CHFJPY,long,-1.0,57.02237658697121
2018-11-28 06:00:00,SaiBest,AUDJPY,long,1.464134078212322,58.48651066518354
2018-11-30 09:00:00,SaiBest,CHFJPY,long,-1.0,57.48651066518354
