symbol_mode,trigger_mode,bb_lo,bb_hi,recovery_max,macd_min,bb_width_max,close_location_min,body_ratio_min,adx_max,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_loss_streak,research_trades,research_win_rate,research_total_r,research_avg_r,research_pf,research_max_dd_r,research_max_loss_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_loss_streak,oos_positive,research_positive,oos_retention_avg_r,robust_score,thin_sample,candidate_pass
all7,all,0.75,0.95,16,0.02,4.0,0.6,0.45,none,20,80.0,25.51886805093055,1.2759434025465275,9.349889900043774,2.0300694474115506,2,16,75.0,20.80062795983496,1.3000392474896851,7.806060244120457,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9073264711442924,1.8571946959281176,False,True
all7,all,0.75,0.95,16,0.02,4.0,0.6,none,none,20,80.0,25.51886805093055,1.2759434025465275,9.349889900043774,2.0300694474115506,2,16,75.0,20.80062795983496,1.3000392474896851,7.806060244120457,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9073264711442924,1.8571946959281176,False,True
all7,all,0.75,0.95,16,0.02,4.0,none,0.45,none,20,80.0,25.51886805093055,1.2759434025465275,9.349889900043774,2.0300694474115506,2,16,75.0,20.80062795983496,1.3000392474896851,7.806060244120457,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9073264711442924,1.8571946959281176,False,True
all7,all,0.75,0.95,16,0.02,4.0,none,none,none,20,80.0,25.51886805093055,1.2759434025465275,9.349889900043774,2.0300694474115506,2,16,75.0,20.80062795983496,1.3000392474896851,7.806060244120457,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9073264711442924,1.8571946959281176,False,True
all7,all,0.75,0.95,20,0.02,4.0,none,none,none,20,80.0,25.51886805093055,1.2759434025465275,9.349889900043774,2.0300694474115506,2,16,75.0,20.80062795983496,1.3000392474896851,7.806060244120457,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9073264711442924,1.8571946959281176,False,True
all7,all,0.75,0.95,20,0.02,4.0,none,0.45,none,20,80.0,25.51886805093055,1.2759434025465275,9.349889900043774,2.0300694474115506,2,16,75.0,20.80062795983496,1.3000392474896851,7.806060244120457,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9073264711442924,1.8571946959281176,False,True
all7,all,0.75,0.95,20,0.02,4.0,0.6,none,none,20,80.0,25.51886805093055,1.2759434025465275,9.349889900043774,2.0300694474115506,2,16,75.0,20.80062795983496,1.3000392474896851,7.806060244120457,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9073264711442924,1.8571946959281176,False,True
all7,all,0.75,0.95,20,0.02,4.0,0.6,0.45,none,20,80.0,25.51886805093055,1.2759434025465275,9.349889900043774,2.0300694474115506,2,16,75.0,20.80062795983496,1.3000392474896851,7.806060244120457,2.0300694474115506,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9073264711442924,1.8571946959281176,False,True
all7,weak_rebreak_guard,0.75,1.0,20,0.02,4.0,0.6,0.45,none,20,80.0,25.52469557388655,1.2762347786943276,9.345701965968429,2.029065903389963,2,16,75.0,20.80645548279096,1.3004034676744352,7.802998920199184,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9070723449264196,1.8570659336611424,False,True
all7,weak_rebreak_guard,0.75,1.0,20,0.02,4.0,none,0.45,none,20,80.0,25.52469557388655,1.2762347786943276,9.345701965968429,2.029065903389963,2,16,75.0,20.80645548279096,1.3004034676744352,7.802998920199184,2.029065903389963,2,4,100.0,4.7182400910955895,1.1795600227738974,inf,0.0,0,True,True,0.9070723449264196,1.8570659336611424,False,True
