symbol,timeframe,strategy,family,signal_time,direction,trigger_type,v_start_i,v_extreme_i,candidate_i,v_start,v_extreme,v_move_atr,v_move_bars,v_drop_speed_atr_per_bar,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,year
GBPJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2015-07-28 00:00:00,long,stagnation,764,781,786,195.8,184.97,7.376406094781193,17,0.43390624086948193,5,0.29411764705882354,17,0.727608494921513,0.618,0.8,192.85,2015-07-29 00:00:00,192.85,184.60295133629972,209.34409732740053,2015-08-24 00:00:00,184.60295133629972,SL,22,8.24704866370027,-1.0,-1.0024251099775867,2015
SILVER,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-01-17 00:00:00,long,stagnation+rebreak,912,923,939,17.225,15.619,5.429003080298522,11,0.493545734572593,16,1.4545454545454546,22,0.9483188044831868,0.618,0.8,17.142,2017-01-18 00:00:00,17.138,15.545045354172478,20.335909291655042,2017-03-29 00:00:00,18.204,max_hold,60,1.5929546458275237,0.6691967048730523,0.6472249556511415,2017
XAUUSD,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-01-17 00:00:00,long,stagnation,910,920,935,1188.062,1122.839,5.231061668611549,10,0.523106166861155,15,1.5,26,1.4145776796528864,0.618,0.8,1215.102,2017-01-18 00:00:00,1215.052,1119.7218985332286,1405.8622029335431,2017-03-29 00:00:00,1252.582,max_hold,60,95.33010146677134,0.39368467485668013,0.39001322172052527,2017
EURJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-06-26 00:00:00,long,stagnation,1064,1075,1077,125.29,122.39,4.099932377928021,11,0.3727211252661838,2,0.18181818181818182,9,0.9275862068965491,0.618,0.8,125.08,2017-06-27 00:00:00,125.08,122.2131678151808,130.8136643696384,2017-08-02 00:00:00,130.8136643696384,TP,31,2.866832184819202,1.9999999999999951,1.9956397866376014,2017
GBPJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-06-27 00:00:00,long,stagnation+rebreak,1373,1381,1387,143.92,138.65,4.221855057913591,8,0.5277318822391989,6,0.75,13,0.9601518026565502,0.618,0.8,143.71,2017-06-28 00:00:00,143.73,138.33793338901333,154.45413322197336,2017-09-06 00:00:00,142.35,max_hold,60,5.39206661098666,-0.2559315564069929,-0.25964070939839523,2017
XAUUSD,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2017-07-26 00:00:00,long,rebreak,1080,1094,1101,1258.811,1204.832,5.145758652260275,14,0.3675541894471625,7,0.5,14,1.0260656922136415,0.618,0.8,1260.218,2017-07-27 00:00:00,1260.222,1202.2095004014088,1376.2349991971826,2017-10-05 00:00:00,1269.052,max_hold,60,58.01249959859115,0.1522085767911708,0.146175394245652,2017
AUDJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-01-11 00:00:00,long,stagnation+rebreak,1559,1565,1566,78.738,70.406,8.056933790149433,6,1.3428222983582387,1,0.16666666666666666,8,0.9461113778204515,0.618,0.8,78.289,2019-01-13 00:00:00,78.261,70.14746492272945,94.5720701545411,2019-03-24 00:00:00,77.951,max_hold,60,8.11353507727054,-0.038207759878729555,-0.039748395357709174,2019
GBPJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-01-23 00:00:00,long,stagnation+rebreak,1849,1865,1874,143.9,132.24,8.110117298304177,16,0.506882331144011,9,0.5625,18,0.9451114922813023,0.618,0.8,143.26,2019-01-24 00:00:00,143.25,131.88057239953739,166.0188552009252,2019-04-04 00:00:00,146.1,max_hold,60,11.369427600462615,0.2506722501917361,0.24891314668162023,2019
CHFJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-03-19 00:00:00,long,stagnation,1614,1620,1625,112.164,109.884,4.687932622338854,6,0.7813221037231423,5,0.8333333333333334,9,0.7350877192982461,0.618,0.8,111.56,2019-03-20 00:00:00,111.561,109.76241122176461,115.15517755647079,2019-04-23 00:00:00,109.76241122176461,SL,29,1.7985887782353984,-1.0,-1.0111198291916579,2019
USDJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-04-04 00:00:00,long,stagnation,1627,1635,1641,111.901,109.708,4.5270003592648544,8,0.5658750449081068,6,0.75,9,0.8873689010487915,0.618,0.8,111.654,2019-04-05 00:00:00,111.652,109.5868933164368,115.78821336712639,2019-05-09 00:00:00,109.5868933164368,SL,29,2.065106683563201,-1.0,-1.0048423648422544,2019
EURJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-06-11 00:00:00,long,stagnation,1675,1686,1690,123.72,120.77,4.928043218669651,11,0.4480039289699683,4,0.36363636363636365,7,0.7355932203389829,0.618,0.8,122.94,2019-06-12 00:00:00,122.88,120.62034627999891,127.57930744000217,2019-07-23 00:00:00,120.62034627999891,SL,35,2.259653720001083,-1.0,-1.0055318210437936,2019
AUDJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2019-09-09 00:00:00,long,stagnation,1755,1765,1774,72.93,69.956,4.65667838987871,10,0.465667838987871,9,0.9,13,1.2505043712172124,0.618,0.8,73.675,2019-09-10 00:00:00,73.675,69.79633683717218,81.43232632565564,2019-11-19 00:00:00,74.028,max_hold,60,3.87866316282782,0.0910107387986346,0.0877879789261647,2019
EURJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2020-01-13 00:00:00,long,stagnation,1866,1870,1875,122.43,120.15,4.159330443367202,4,1.0398326108418006,5,1.25,8,1.0175438596491193,0.618,0.8,122.47,2020-01-14 00:00:00,122.47,120.0129587122829,127.3840825754342,2020-01-26 00:00:00,120.0129587122829,SL,10,2.4570412877171037,-1.0,-1.005087419597903,2020
USDJPY,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2020-02-19 00:00:00,long,stagnation+rebreak,1891,1903,1907,110.29,108.308,4.371675857797833,12,0.3643063214831528,4,0.3333333333333333,16,1.457618567103934,0.618,0.8,111.197,2020-02-20 00:00:00,111.198,108.19465673848711,117.20168652302578,2020-02-28 00:00:00,108.19465673848711,SL,7,3.0033432615128817,-1.0,-1.0033296227334845,2020
XAUUSD,D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,V候補後トリガー,2020-04-06 00:00:00,long,stagnation+rebreak,1922,1929,1936,1703.318,1451.148,6.104333994766182,7,0.872047713538026,7,1.0,18,0.832184637347821,0.618,0.8,1661.0,2020-04-07 00:00:00,1661.0,1440.8205015285773,2101.3589969428454,2020-06-17 00:00:00,1727.515,max_hold,60,220.17949847142268,0.30209442959846305,0.30050481747549074,2020
