timeframe,strategy,symbol,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D1,VCTX_618_800_REBREAK_ONLY_RR2,EURJPY,3,66.66666666666666,0.880205331758597,0.2934017772528657,1.8779326448271396,1.0025886802875463,1,42.0
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,EURJPY,16,37.5,0.7709523042021293,0.048184519012633084,1.0849170603049625,2.0467666065686485,3,86.25
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,CHFJPY,3,66.66666666666666,0.7042625556231299,0.23475418520770996,1.6965174010939477,0.0,1,49.666666666666664
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,EURJPY,19,36.84210526315789,0.6839054799771589,0.03599502526195573,1.0661340489918532,2.0467666065686485,3,92.21052631578948
D1,VCTX_618_800_STAG_ONLY_RR2,USDJPY,10,60.0,0.5748528540842923,0.05748528540842923,1.1431571517775316,2.645137646805112,2,42.0
D1,VCTX_618_800_REBREAK_ONLY_RR2,USDJPY,7,57.14285714285714,0.5352156678174751,0.07645938111678216,1.1776732105132854,2.008130483033628,2,33.285714285714285
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,CHFJPY,2,50.0,0.5075779595920922,0.2537889797960461,1.5019958514688379,0.0,1,44.5
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,CHFJPY,2,50.0,0.5075779595920922,0.2537889797960461,1.5019958514688379,0.0,1,44.5
D1,VCTX_618_800_STAG_ONLY_RR2,CHFJPY,2,50.0,0.5075779595920922,0.2537889797960461,1.5019958514688379,0.0,1,44.5
D1,VCTX_618_800_REBREAK_ONLY_RR2,GBPJPY,4,50.0,0.439091049902611,0.10977276247565275,1.6876035835199408,0.3789409682229478,1,60.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,XAUUSD,1,100.0,0.30050481747549074,0.30050481747549074,inf,0.0,0,60.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,GBPJPY,1,100.0,0.24223629297465174,0.24223629297465174,inf,0.0,0,60.0
H4,VCTX_618_800_REBREAK_ONLY_RR2,SILVER,33,39.39393939393939,-0.2228829907304406,-0.0067540300221345636,0.9889016311103711,6.293460588932955,4,84.87878787878788
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,CHFJPY,4,50.0,-0.3027649432849675,-0.07569123582124188,0.8499787705935005,1.0111198291916579,2,42.25
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,CHFJPY,4,50.0,-0.3027649432849675,-0.07569123582124188,0.8499787705935005,1.0111198291916579,2,42.25
D1,VCTX_618_800_STAG_ONLY_RR2,SILVER,2,50.0,-0.366215745830894,-0.183107872915447,0.6386411703266432,1.0134407014820355,1,43.5
H4,VCTX_618_786_STAG_OR_REBREAK_RR2,EURJPY,48,37.5,-0.7243232579294316,-0.015090067873529825,0.9738941522967963,10.421850847703558,5,96.875
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,GBPJPY,4,50.0,-0.77091637971971,-0.1927290949299275,0.38916309444076125,0.25964070939839523,2,50.5
D1,VCTX_618_800_REBREAK_ONLY_RR2,CHFJPY,2,50.0,-0.8103429028770597,-0.40517145143852984,0.19531204087703605,0.0,1,40.0
D1,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,EURJPY,3,66.66666666666666,-0.8324569773584142,-0.2774856591194714,0.1717566441221118,0.0,1,43.333333333333336
D1,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,EURJPY,3,66.66666666666666,-0.8324569773584142,-0.2774856591194714,0.1717566441221118,0.0,1,43.333333333333336
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,EURJPY,42,35.714285714285715,-0.9691199583731048,-0.023074284723169164,0.9608097731679643,10.161274886063492,9,100.19047619047619
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,SILVER,4,25.0,-1.0317659750072299,-0.25794149375180747,0.385484485849694,1.6789909306583715,3,51.75
D1,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,SILVER,4,25.0,-1.0317659750072299,-0.25794149375180747,0.385484485849694,1.6789909306583715,3,51.75
D1,VCTX_618_800_REBREAK_ONLY_RR2,SILVER,4,25.0,-1.0317659750072299,-0.25794149375180747,0.385484485849694,1.6789909306583715,3,51.75
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,SILVER,4,25.0,-1.0317659750072299,-0.25794149375180747,0.385484485849694,1.6789909306583715,3,51.75
