timeframe,strategy,year,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2023,22,50.0,6.3407120104476515,0.28821418229307505,1.571229381558223,6.069357696478285,6,103.27272727272727
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2023,12,66.66666666666666,6.209504849302378,0.5174587374418648,2.543855771545322,3.0166264836323373,3,124.83333333333333
D1,VCTX_618_786_STAG_OR_REBREAK_RR2,2023,7,85.71428571428571,5.813114487063395,0.8304449267233421,6.7360183763711206,1.0134407014820352,1,48.0
D1,VCTX_618_800_STAG_OR_REBREAK_RR2,2023,7,85.71428571428571,5.813114487063395,0.8304449267233421,6.7360183763711206,1.0134407014820352,1,48.0
H4,VCTX_618_800_REC1_STAG_OR_REBREAK_RR2,2024,25,48.0,5.625927575697767,0.22503710302791066,1.450875226959082,5.873354968917727,4,98.56
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2019,16,50.0,5.324450814765568,0.332778175922848,1.6495148974608336,4.138118609244593,4,88.875
H4,VCTX_618_800_BIGDROP_STAG_OR_REBREAK_RR2,2020,23,56.52173913043478,5.283552072937262,0.22971965534509833,1.5229450259001103,7.082227030662456,7,106.78260869565217
H4,VCTX_618_800_REBREAK_ONLY_RR2,2020,26,46.15384615384615,4.828422986711645,0.18570857641198632,1.37798353818144,8.09190772635282,8,92.07692307692308
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2016,11,54.54545454545454,4.771357831139111,0.4337598028308283,1.9432114227141075,5.058630245814289,5,91.63636363636364
H4,VCTX_618_800_FAST_STAG_OR_REBREAK_RR2,2020,15,46.666666666666664,4.590042173851424,0.30600281159009496,1.6776204372384664,3.2903966398223563,4,89.13333333333334
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2019,11,54.54545454545454,4.499395242561738,0.4090359311419762,1.8772444674380764,3.114550214218718,3,96.36363636363636
H4,VCTX_618_800_STAG_ONLY_RR2,2023,17,47.05882352941176,4.42163470826043,0.2600961593094371,1.539737917945741,2.4913092866382414,2,106.29411764705883
H4,VCTX_618_800_FAST_BIGDROP_STAG_OR_REBREAK_RR2,2020,11,54.54545454545454,4.312834072308167,0.3920758247552879,1.854484217744348,3.034709959991644,3,82.36363636363636
