support_age_bucket,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
03_120-239bars,either,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,12,16.666666666666664,-6.401196503975109,-0.5334330419979257,0.38273849368491725,10.3703153987179,10,9,22.22222222222222,-3.2771000953034397,-0.3641222328114933,0.5477503371337482,7.24621899004623,7,1,0.0,-1.0396514474657725,-1.0396514474657725,0.0,0.0,1,2,0.0,-2.0844449612058966,-1.0422224806029483,0.0,1.0422224806029483,2,0.8229420126063284,41.66666666666667,16.666666666666664,16.666666666666664,25.0,0.0,-17.992350764920296
03_120-239bars,either,NO_XAU_ADX30_RISK_LE1_5_BBW3_8,XAUUSD除外 + ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,12,16.666666666666664,-6.401196503975109,-0.5334330419979257,0.38273849368491725,10.3703153987179,10,9,22.22222222222222,-3.2771000953034397,-0.3641222328114933,0.5477503371337482,7.24621899004623,7,1,0.0,-1.0396514474657725,-1.0396514474657725,0.0,0.0,1,2,0.0,-2.0844449612058966,-1.0422224806029483,0.0,1.0422224806029483,2,0.8229420126063284,41.66666666666667,16.666666666666664,16.666666666666664,25.0,0.0,-17.992350764920296
02_60-119bars,rebreak,ADX30_RISK_LE2_BBW3_8,ADX>=30 + risk<=2ATR + BB幅3-8ATR,16,12.5,-10.489644340165668,-0.6556027712603543,0.27336899905613854,14.435998913533952,14,10,20.0,-4.4367886220985895,-0.44367886220985897,0.470748796883518,8.383143195466872,8,1,0.0,-1.0162846344920085,-1.0162846344920085,0.0,0.0,1,5,0.0,-5.036571083575071,-1.0073142167150142,0.0,4.029256866860057,5,0.6695893806723326,25.0,18.75,12.5,12.5,6.25,-20.667227715924845
00_<=24bars,rebreak,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,39,20.51282051282051,-15.83681947347877,-0.4060722941917633,0.5009052588659829,20.582711634955178,20,30,16.666666666666664,-15.68303693341241,-0.5227678977804137,0.3876282681121833,17.512440104571755,17,7,42.857142857142854,1.8832048012688511,0.2690292573241216,1.4611425917227348,2.0431166925808153,3,2,0.0,-2.0369873413352098,-1.0184936706676049,0.0,1.0222225404342857,2,1.02194484350892,43.58974358974359,20.51282051282051,20.51282051282051,23.076923076923077,0.0,-20.846035538596013
03_120-239bars,stagnation,ALL,全候補,90,33.33333333333333,-12.955827650898978,-0.14395364056554422,0.7879360533173487,34.54825458205764,30,63,34.92063492063492,-9.757717800456538,-0.15488440953105614,0.7679493562491916,30.333025629705013,27,23,34.78260869565217,0.515099317309051,0.02239562249169787,1.0335989672672115,6.131927385653654,6,4,0.0,-3.713209167751494,-0.9283022919378735,0.0,2.6709866871485457,4,1.0053296796438531,41.11111111111111,30.0,25.555555555555554,8.88888888888889,3.3333333333333335,-21.762650624587355
00_<=24bars,rebreak,ADX30_RISK_LE1_5_BBW3_8,ADX>=30 + risk<=1.5ATR + BB幅3-8ATR,17,11.76470588235294,-12.542189577060718,-0.7377758574741599,0.22637661193185396,11.51278823570911,9,15,13.333333333333334,-10.487719154449682,-0.6991812769633121,0.2592266407725871,9.458317813098077,7,2,0.0,-2.0544704226110344,-1.0272352113055172,0.0,1.0149548502900911,2,0,0.0,0.0,0.0,,0.0,0,0.7765266244514867,29.411764705882355,23.52941176470588,11.76470588235294,17.647058823529413,11.76470588235294,-22.610477961086023
04_>=240bars,stagnation,ALL,全候補,33,24.242424242424242,-9.55794042408638,-0.2896345583056479,0.6017691779488968,14.22193774908485,10,26,30.76923076923077,-3.0045259058092926,-0.1155586886849728,0.8277970987184531,9.401041491185591,7,7,0.0,-6.553414518277089,-0.9362020740395841,0.0,5.421155076580041,7,0,0.0,0.0,0.0,,0.0,0,0.9112974959245469,36.36363636363637,24.242424242424242,21.21212121212121,12.121212121212121,3.0303030303030303,-23.534291338563797
00_<=24bars,stagnation,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,35,14.285714285714285,-20.520622517864172,-0.5863035005104049,0.32580179044401203,25.45979949417913,17,20,5.0,-17.33974038061241,-0.8669870190306206,0.10269632687913526,16.325796934076763,17,12,8.333333333333332,-9.134002560102358,-0.7611668800085298,0.17806502959992843,8.10863185947351,9,3,100.0,5.953120422850596,1.984373474283532,inf,0.0,0,0.6139453094882724,22.857142857142858,20.0,14.285714285714285,8.571428571428571,5.714285714285714,-41.86578767512939
03_120-239bars,rebreak,ALL,全候補,164,29.268292682926827,-27.870075611351844,-0.16993948543507223,0.7639767297348579,37.223181213026585,22,101,27.722772277227726,-22.077828862584933,-0.21859236497608844,0.7025982780420502,29.432828897136808,19,60,31.666666666666664,-5.769376225447717,-0.09615627042412861,0.8620598333958803,17.292176019895116,14,3,33.33333333333333,-0.02287052331920192,-0.007623507773067306,0.9886834270690458,1.0133114165997377,2,1.1677846316353362,48.78048780487805,33.53658536585366,27.439024390243905,20.121951219512198,6.097560975609756,-47.01490359715118
00_<=24bars,either,GBP_ADX25_RISK_LE2_5_BBW3_8,GBPJPY + ADX>=25 + risk<=2.5ATR + BB幅3-8ATR,79,16.455696202531644,-41.55410064199732,-0.5260012739493332,0.383175233734094,51.36464775961757,29,62,8.064516129032258,-48.29428236094051,-0.7789400380796856,0.17050871512952123,47.283932667083924,28,12,41.66666666666667,2.8240486374278335,0.23533738645231947,1.3972384744049293,3.053560254731041,4,5,60.0,3.916133081515386,0.7832266163030772,2.9225122326722115,2.0369873413352098,2,0.7980324146184996,37.9746835443038,16.455696202531644,16.455696202531644,21.518987341772153,0.0,-52.727234079051556
