symbol,max_entries,basket_id,leg_no,signal_time,entry_time,exit_time,direction,entry,exit_price,basket_sl,basket_tp,sl_dist,pnl_r_clean,pnl_r_after_cost,bars_held,exit_reason,basket_key
XAUUSD,1,30,1,2018-06-15 14:00:00,2018-06-15 15:00:00,2018-06-26 07:00:00,short,1280.479,1260.943744400169,1286.9907518666105,1260.943744400169,6.511751866610394,2.9999999999999853,2.946251023200855,153,TP,XAUUSD#1#30
XAUUSD,1,31,1,2018-07-13 11:00:00,2018-07-13 12:00:00,2018-07-13 12:00:00,short,1237.902,1241.9384930230171,1241.9384930230171,1225.7925209309487,4.036493023017126,-0.9999999999999939,-1.0867089322350667,0,SL,XAUUSD#1#31
XAUUSD,1,32,1,2018-08-13 07:00:00,2018-08-13 08:00:00,2018-08-15 02:00:00,short,1204.468,1190.7249939630124,1209.0490020123293,1190.7249939630124,4.581002012329265,2.999999999999981,2.9235975013636235,40,TP,XAUUSD#1#32
XAUUSD,1,33,1,2018-09-27 12:00:00,2018-09-27 13:00:00,2018-09-28 15:00:00,short,1187.028,1191.8400742800775,1191.8400742800775,1172.5917771597678,4.812074280077395,-1.000000000000015,-1.0727337068443132,25,SL,XAUUSD#1#33
XAUUSD,1,34,1,2018-10-11 14:00:00,2018-10-11 15:00:00,2018-10-23 11:00:00,long,1215.888,1237.1028560840002,1208.8163813053332,1237.1028560840002,7.071618694666779,2.999999999999995,2.9505063811961283,180,TP,XAUUSD#1#34
XAUUSD,1,35,1,2018-12-04 04:00:00,2018-12-04 05:00:00,2018-12-07 19:00:00,long,1236.965,1249.0590341028617,1232.933655299046,1249.0590341028617,4.031344700953893,3.0000000000000226,2.913180334116001,83,TP,XAUUSD#1#35
XAUUSD,1,36,1,2019-02-18 13:00:00,2019-02-18 14:00:00,2019-02-19 05:00:00,long,1326.838,1323.3575546972093,1323.3575546972093,1337.2793359083723,3.480445302790819,-0.9999999999999695,-1.1005618446925112,10,SL,XAUUSD#1#36
XAUUSD,1,37,1,2019-03-01 16:00:00,2019-03-01 17:00:00,2019-03-04 14:00:00,short,1301.328,1284.194860913549,1307.0390463621502,1284.194860913549,5.7110463621503165,2.9999999999999933,2.9387152584997764,20,TP,XAUUSD#1#37
XAUUSD,1,38,1,2019-04-16 12:00:00,2019-04-16 13:00:00,2019-04-23 13:00:00,short,1279.075,1266.7917847828744,1283.1694050723752,1266.7917847828744,4.094405072375229,2.9999999999999893,2.9145174955058515,92,TP,XAUUSD#1#38
XAUUSD,1,39,1,2019-05-13 13:00:00,2019-05-13 14:00:00,2019-05-16 12:00:00,long,1297.348,1292.1794707342267,1292.1794707342267,1312.8535877973197,5.168529265773295,-0.999999999999993,-1.0677175231100746,67,SL,XAUUSD#1#39
