rule,label,exit_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,symbols,periods,score
base_core4,core4のみ,fixed_1_5R,11,72.72727272727273,8.554614074398796,0.7776921885817086,3.7123361611224612,1.0756784981731755,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",20.584113026197617
base_no_AUD_USD_age30_119,AUDJPY/USDJPYを除外 + support age 30-119,mid6_exit,7,57.14285714285714,6.154334522470375,0.8791906460671964,4.759171259782937,1.068436341161433,2,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",20.171867507753205
base_all_strict,全通貨のPrimary L120 + 厳選フィルタ,half_1R_BE_rest_2R,13,84.61538461538461,7.590745605171172,0.5839035080900902,4.665009349933249,1.0635659197790948,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",19.708634958968492
base_all,全通貨のPrimary L120,mid6_exit,18,44.44444444444444,9.378437622700867,0.5210243123722704,2.5339029985942503,2.526427964854225,3,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",17.126344247687022
base_no_AUD_USD,AUDJPY/USDJPYを除外,fixed_1_5R,15,66.66666666666666,8.708232271350298,0.5805488180900198,2.560986040288046,2.4247087438185613,2,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",16.754334881447676
base_no_AUD_USD,AUDJPY/USDJPYを除外,mid6_exit,15,46.666666666666664,8.466964329648311,0.5644642886432207,2.6756335114829555,2.526427964854225,3,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",16.474986534135134
base_no_AUD_USD,AUDJPY/USDJPYを除外,half_1R_BE_rest_2R,15,80.0,6.708232271350308,0.4472154847566872,3.126920140236813,1.0756784981731755,1,"CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",15.615793561220483
base_all_quality,全通貨のPrimary L120 + 品質フィルタ,half_1R_BE_rest_2R,15,80.0,6.8572633504817055,0.4571508900321137,3.2050674845047844,1.6296200677891317,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",15.518375643264486
base_all,全通貨のPrimary L120,fixed_1_5R,18,61.111111111111114,8.109673963145697,0.4505374423969832,2.060113942378179,2.4247087438185613,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",14.664377420833983
base_all_age30_119,全通貨のPrimary L120 + support age 30-119,fixed_1_5R,9,66.66666666666666,5.549883458967367,0.6166537176630408,2.732498378411005,1.1322594416970482,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",14.57605321453056
base_all_age30_119,全通貨のPrimary L120 + support age 30-119,mid6_exit,9,44.44444444444444,5.09322663118857,0.5659140701320634,2.8875968026782357,1.068436341161433,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",13.997185323333284
base_all_age30_119,全通貨のPrimary L120 + support age 30-119,half_1R_BE_rest_2R,9,77.77777777777779,4.049883458967383,0.44998705099637587,2.9553890375596064,1.0635659197790948,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","test_2021_2024,train_2015_2020",12.132010687454525
base_core4,core4のみ,half_1R_BE_rest_2R,11,72.72727272727273,4.5546140743988115,0.4140558249453465,2.4440913811553093,1.0756784981731755,1,"CHFJPY,EURJPY,GBPJPY,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",11.772654947156006
base_all,全通貨のPrimary L120,half_1R_BE_rest_2R,18,72.22222222222221,5.109673963145708,0.2838707757303171,1.9779084224248018,1.8010086457056729,2,"AUDJPY,CHFJPY,EURJPY,GBPJPY,SILVER,XAUUSD","oos_2025_2026,test_2021_2024,train_2015_2020",10.70669588606091
