symbol,timeframe,strategy,family,signal_time,direction,v_start_i,v_extreme_i,v_start,v_extreme,v_move_atr,v_move_bars,v_recovery_bars,v_recovery_to_drop_bars,v_drop_speed_atr_per_bar,v_recovery_speed_atr_per_bar,fib_ratio,trigger_level,entry_time,entry,stop,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,ladder,stage,note,trigger_type,candidate_i,candidate_recovery_bars,candidate_recovery_to_drop_bars,signal_recovery_bars,signal_fib_ratio,candidate_fib_min,candidate_fib_max
SILVER,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2022-09-30 04:00:00,long,13942,13953,19.023,17.953,4.2562216915055835,11,11.0,1.0,0.38692924468232576,0.42851509808276333,1.1074766355140204,19.023,2022-09-30 08:00:00,19.14,17.89015083015204,21.633698339695922,2022-11-10 08:00:00,21.083,max_hold,180,1.249849169847959,1.5545875829451956,1.5265842039420654,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
CHFJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2023-02-13 04:00:00,long,14644,14651,143.14,141.057,3.9345734099377285,7,6.0,0.8571428571428571,0.5620819157053898,0.689447573032784,1.0513682189150397,143.14,2023-02-13 08:00:00,143.247,140.92464765941722,147.8917046811656,2023-03-20 08:00:00,140.92464765941722,SL,155,2.322352340582796,-1.0,-1.0086119576476336,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2023-02-27 12:00:00,long,16108,16122,163.71,161.22,5.348515142537807,14,11.0,0.7857142857142857,0.38203679589555767,0.5194249828094376,1.0682730923694725,163.71,2023-02-27 16:00:00,164.2,161.10361255724058,169.43277488551882,2023-03-13 08:00:00,161.10361255724058,SL,60,3.096387442759408,-1.0,-1.0064591400041845,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
USDJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2023-05-12 12:00:00,long,15048,15056,135.469,133.743,3.811492032828318,8,6.0,0.75,0.47643650410353977,0.6937681036965382,1.092120509849358,135.469,2023-05-12 16:00:00,135.628,133.62978974105587,139.6244205178882,2023-05-25 00:00:00,139.6244205178882,TP,52,1.9982102589441126,2.0,1.9949955216398123,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
CHFJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2023-08-21 16:00:00,long,15480,15490,166.418,164.422,4.493864276841957,10,7.0,0.7,0.44938642768419573,0.6619218924807238,1.0310621242484885,166.418,2023-08-21 20:00:00,166.471,164.31095970833576,170.81808058332845,2023-09-01 12:00:00,164.31095970833576,SL,53,2.160040291664245,-1.0,-1.009259086544433,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
SILVER,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2023-09-22 04:00:00,long,15517,15522,23.585,22.799,3.979693625226544,5,4.0,0.8,0.7959387250453088,1.2037813732794016,1.209923664122136,23.585,2023-09-22 08:00:00,23.744,22.749624339835,25.750751320329996,2023-09-27 00:00:00,22.749624339835,SL,17,0.994375660164998,-1.0,-1.0351979653184518,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
XAUUSD,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2023-11-15 00:00:00,long,15738,15750,1965.498,1931.515,4.543274105053503,12,9.0,0.75,0.3786061754211253,0.5229310024953607,1.0359003030927236,1965.498,2023-11-15 04:00:00,1966.705,1929.6450379850405,2040.8639240299192,2023-11-28 16:00:00,2040.8639240299192,TP,58,37.05996201495941,2.0010523486231504,1.9916081943129311,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I0_STRICT_100_BODY60_REC1_SPEED1,V字フィボ,2024-09-17 16:00:00,long,18571,18581,186.7,183.75,3.643317186799259,10,9.0,0.9,0.3643317186799259,0.48989236749052273,1.2101694915254262,186.7,2024-09-17 20:00:00,187.32,183.5475745832199,194.86485083356018,2024-09-26 20:00:00,194.86485083356018,TP,42,3.772425416780095,2.0,1.9946983709973376,Immediate V,I0 厳格,完全回復100%、実体60%、回復本数<=下落本数、回復速度>=下落速度,,,,,,,,
GBPJPY,H4,I1_100_BODY60_REC1_SPEED08,V字フィボ,2015-02-24 04:00:00,long,3355,3367,184.17,181.64,4.350006355463623,12,11.0,0.9166666666666666,0.36250052962196855,0.4110857605055489,1.0395256916996136,184.17,2015-02-24 08:00:00,184.26,181.49459791358566,189.8208041728287,2015-03-06 20:00:00,181.49459791358566,SL,52,2.7654020864143263,-1.0,-1.007232221346124,Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,,,,,,,,
GBPJPY,H4,I1_100_BODY60_REC1_SPEED08,V字フィボ,2015-03-10 00:00:00,long,3423,3431,183.67,181.47,4.235325857575459,8,8.0,1.0,0.5294157321969324,0.5438543430750311,1.0272727272727284,183.67,2015-03-10 04:00:00,183.73,181.3401398620802,188.50972027583956,2015-03-11 12:00:00,181.3401398620802,SL,8,2.389860137919783,-1.0,-1.0083686905700642,Immediate V,I1 回復角度だけ緩和,完全回復100%、回復速度>=下落速度x0.8,,,,,,,,
