pre_break_regime,trigger_mode,filter,filter_notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,avg_mfe_r,hit_1r_rate,hit_1_5r_rate,hit_2r_rate,giveback_1r_to_loss_rate,giveback_1_5r_to_loss_rate,score
range_support_break,either,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,3,0.0,-3.141507715735133,-1.0471692385783777,0.0,2.1069386895253617,3,0,0.0,0.0,0.0,,0.0,0,3,0.0,-3.141507715735133,-1.0471692385783777,0.0,2.1069386895253617,3,0,0.0,0.0,0.0,,0.0,0,0.53893970995726,0.0,0.0,0.0,0.0,0.0,-16.626728601312145
mixed_or_wide_range,either,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,5,0.0,-5.28177722766976,-1.056355445533952,0.0,4.224700256942991,5,4,0.0,-4.228307882907079,-1.0570769707267698,0.0,3.1712309121803095,4,1,0.0,-1.053469344762681,-1.053469344762681,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,0.562486516407015,0.0,0.0,0.0,0.0,0.0,-16.827537287756535
mixed_or_wide_range,stagnation,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,5,0.0,-5.28177722766976,-1.056355445533952,0.0,4.224700256942991,5,4,0.0,-4.228307882907079,-1.0570769707267698,0.0,3.1712309121803095,4,1,0.0,-1.053469344762681,-1.053469344762681,0.0,0.0,1,0,0.0,0.0,0.0,,0.0,0,0.562486516407015,0.0,0.0,0.0,0.0,0.0,-16.827537287756535
trend_continuation_break,stagnation,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,4,0.0,-4.404765728749855,-1.1011914321874638,0.0,3.347688758023086,4,2,0.0,-2.1141539414535395,-1.0570769707267698,0.0,1.0570769707267698,2,2,0.0,-2.2906117872963163,-1.1453058936481582,0.0,1.0534693447626813,2,0,0.0,0.0,0.0,,0.0,0,0.8399493603111566,25.0,25.0,0.0,25.0,25.0,-17.39518779176106
trend_continuation_break,either,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,115,26.956521739130434,-24.579319996110947,-0.2137332173574865,0.7136246410191892,35.64885160330013,31,74,21.62162162162162,-27.83860541567577,-0.376197370482105,0.5313722230613072,34.15230737764601,31,33,42.42424242424242,8.363193656348283,0.2534301107984328,1.432470959700589,8.097455791247413,8,8,12.5,-5.103908236783464,-0.637988529597933,0.27975559128373567,6.074258066906023,7,1.122242313513679,48.69565217391305,37.391304347826086,26.956521739130434,21.73913043478261,10.434782608695652,-24.5970087377288
trend_continuation_break,rebreak,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,10,0.0,-10.203398089127283,-1.0203398089127282,0.0,9.188431816606801,10,7,0.0,-7.104763907643368,-1.014966272520481,0.0,6.089797635122887,7,3,0.0,-3.0986341814839147,-1.0328780604946382,0.0,2.0657561209892767,3,0,0.0,0.0,0.0,,0.0,0,0.6637768864430568,0.0,0.0,0.0,0.0,0.0,-25.30022629671059
range_support_break,either,ALL,全候補,166,34.33734939759036,-9.174996488780195,-0.05527106318542286,0.918020655275133,22.68888414810099,8,99,37.37373737373738,0.5754980611222542,0.005813111728507618,1.0089615459678556,14.916203059763866,8,53,30.18867924528302,-7.616307931446225,-0.14370392323483444,0.7974459027800801,12.548789700835805,8,14,28.57142857142857,-2.134186618456225,-0.1524419013183018,0.7886614698121845,7.077703444810984,7,1.1915601463706285,51.204819277108435,38.55421686746988,30.72289156626506,17.46987951807229,7.228915662650602,-26.28985064100747
range_support_break,rebreak,ALL,全候補,152,33.55263157894737,-18.82638755369658,-0.12385781285326698,0.8177259078490177,26.574776368714573,12,97,36.08247422680412,-9.4806543391912,-0.09773870452774434,0.8516119609153718,19.20685661577452,12,42,33.33333333333333,-2.260183035754659,-0.05381388180368235,0.9202025486930956,8.45857832615133,7,13,15.384615384615385,-7.085550178750724,-0.5450423214423634,0.3600004570351521,6.0808697945615435,6,1.1712850846468732,50.0,35.526315789473685,26.973684210526315,17.763157894736842,5.921052631578947,-30.860006632344863
trend_continuation_break,either,ADX30_RISK_LE2_BBW3_10,ADX>=30 + risk<=2H1ATR + BB幅3-10H1ATR,13,0.0,-13.55108684715037,-1.0423912959346437,0.0,12.494009876423599,13,8,0.0,-8.161840878370137,-1.0202301097962672,0.0,7.104763907643368,8,5,0.0,-5.389245968780231,-1.0778491937560462,0.0,4.356367908285593,5,0,0.0,0.0,0.0,,0.0,0,0.7275529947928857,7.6923076923076925,7.6923076923076925,0.0,7.6923076923076925,7.6923076923076925,-32.311249662531125
mixed_or_wide_range,stagnation,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,59,30.508474576271187,-9.86081192547192,-0.1671324055164732,0.7815146319157695,35.188566853941744,20,39,38.46153846153847,2.0932108604934765,0.05367207334598657,1.076219719067675,23.234544067976344,20,20,15.0,-11.954022785965398,-0.5977011392982698,0.3234750589493131,15.861800402997652,15,0,0.0,0.0,0.0,,0.0,0,1.2162572850690498,44.06779661016949,30.508474576271187,30.508474576271187,13.559322033898304,0.0,-34.88979597226596
range_support_break,stagnation,ALL,全候補,150,33.33333333333333,-13.908242556896576,-0.09272161704597717,0.8636438910074188,26.499804883161147,12,91,37.362637362637365,0.13502091470932198,0.0014837463154870546,1.0023081969445387,12.45654141155525,8,44,27.27272727272727,-10.907360287565016,-0.247894551990114,0.6633841915615541,17.21924373531194,12,15,26.666666666666668,-3.1359031840408766,-0.20906021226939178,0.7174898414208808,8.079420010395637,8,1.0836516797302271,45.33333333333333,34.0,28.666666666666668,12.0,4.666666666666667,-36.12926869994137
mixed_or_wide_range,stagnation,ADX25_RISK_LE4_BBW3_14,ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,192,33.85416666666667,-10.569796921782604,-0.0550510256342844,0.9210210980838379,38.49012873763142,18,135,38.51851851851852,9.522135406195282,0.07053433634218728,1.107665384691772,26.891179306039458,16,46,23.91304347826087,-14.91511557399942,-0.32424164291303087,0.5889426613498072,24.76788299272173,18,11,18.181818181818183,-5.176816753978469,-0.4706197049071335,0.43136543290030305,9.103943118306477,9,1.161238855441953,46.35416666666667,38.54166666666667,32.29166666666667,12.5,6.25,-40.38965079944306
trend_continuation_break,stagnation,ADX30_RISK_LE3_BBW3_12,ADX>=30 + risk<=3H1ATR + BB幅3-12H1ATR,73,32.87671232876712,-5.938472560278981,-0.08134893918190385,0.8836122803502426,40.67950325775803,35,48,47.91666666666667,17.287612132540787,0.3601585860945997,1.6691301243280254,17.453418564938257,17,24,4.166666666666666,-22.19481139103654,-0.9247838079598559,0.0811871609828871,21.170795553953337,18,1,0.0,-1.0312733017832274,-1.0312733017832274,0.0,0.0,1,1.232377812865492,52.054794520547944,39.726027397260275,32.87671232876712,19.17808219178082,6.8493150684931505,-45.183905520339714
trend_continuation_break,stagnation,GBP_ADX25_RISK_LE4_BBW3_14,GBPJPY + ADX>=25 + risk<=4H1ATR + BB幅3-14H1ATR,49,8.16326530612245,-38.037170625332244,-0.7762687882720867,0.17154832179061158,37.02281418161451,33,39,10.256410256410255,-27.883741850793953,-0.7149677397639476,0.22025629140187072,26.869385407076223,23,3,0.0,-3.0708551042962826,-1.023618368098761,0.0,2.043948331920963,3,7,0.0,-7.082573670242,-1.011796238606,0.0,6.070475807109674,7,0.9641014844489467,34.69387755102041,24.489795918367346,8.16326530612245,26.53061224489796,16.3265306122449,-56.91142712718915
