case,notes,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_losing_streak,oos_trades,oos_win_rate,oos_total_r,oos_avg_r,oos_pf,oos_max_dd_r,oos_max_losing_streak,score
L240_REBREAK_PB075__MACD_TURN_ADX25,MACD slope3>0 + ADX>=25,51,25.49019607843137,-13.779578391217752,-0.27018781159250493,0.6477102617880042,18.2761270454714,12,34,23.52941176470588,-11.21918723444972,-0.3299760951308741,0.5811403762552173,13.138945626884333,7,14,35.714285714285715,0.4640434957787658,0.03314596398419756,1.0498712911458725,4.124726105578064,5,3,0.0,-3.024434652546798,-1.008144884182266,0.0,2.0128101264682963,3,-19.355773705091973
L360_EITHER_PB100__STAG_ADX25,stagnation系 + ADX>=25,32,15.625,-18.461969838479906,-0.5769365574524971,0.3487142691999081,19.39288782085377,10,28,14.285714285714285,-17.179261951706497,-0.6135450697038035,0.31538670462820745,16.139309479994875,10,4,25.0,-1.2827078867734079,-0.32067697169335196,0.6057547252927701,2.121318899161845,3,0,0.0,0.0,0.0,,0.0,0,-27.270222141916037
L240_EITHER_PB075__STAG_ADX25,stagnation系 + ADX>=25,40,17.5,-20.585354300476553,-0.5146338575119138,0.4017072662882076,19.55893478573786,9,32,15.625,-18.251063024040413,-0.5703457195012629,0.35153155298164385,17.224643509301718,9,6,33.33333333333333,-0.2829167051394359,-0.04715278418990598,0.9328080994541391,2.0292568655181373,2,2,0.0,-2.0513745712967055,-1.0256872856483528,0.0,1.0091520906937572,2,-29.07092507589153
L240_EITHER_PB100__MACD_TURN_ADX25,MACD slope3>0 + ADX>=25,65,24.615384615384617,-19.27663421669907,-0.2965636033338318,0.6194456911683913,18.253751145142378,9,46,26.08695652173913,-11.808436039218655,-0.25670513128736205,0.6661575522999799,13.072761624376273,9,14,28.57142857142857,-2.3923889536369054,-0.17088492525977897,0.7656129636274686,4.124726105578064,5,5,0.0,-5.075809223843503,-1.0151618447687007,0.0,4.064184697765001,5,-29.29202775894079
L360_EITHER_PB075__REBREAK_ADX25,rebreak系 + ADX>=25,117,27.350427350427353,-26.008154711454722,-0.22229192061072411,0.695536325885491,31.6730862476874,20,84,25.0,-23.890210790491665,-0.28440727131537696,0.623934671488788,28.87983263440043,20,27,40.74074074074074,3.931985433478112,0.14562909012881897,1.2481348544377109,6.485214751927137,6,6,0.0,-6.049929354441176,-1.0083215590735293,0.0,5.036883150981306,6,-29.444371400327533
L120_REBREAK_PB075__STAG_ADX25,stagnation系 + ADX>=25,29,13.793103448275861,-21.117392555318094,-0.7281859501833826,0.18020113434005738,21.54585111255641,11,26,11.538461538461538,-21.083779266197055,-0.8109145871614252,0.11184280957672628,20.53078020556053,10,3,33.33333333333333,-0.033613289121039,-0.011204429707013,0.9833634113828754,1.0053727004417634,1,0,0.0,0.0,0.0,,0.0,0,-29.51500388371561
L120_EITHER_PB075__ADX25_RISK_LE3,ADX>=25 + risk<=3ATR,202,30.198019801980198,-28.828190422945696,-0.1427138139749787,0.8012769162068956,32.68096421004451,13,133,29.32330827067669,-23.11332705451008,-0.17378441394368482,0.7614232778244027,23.132246164967313,8,55,38.18181818181819,5.41794196620198,0.09850803574912691,1.1545517531845289,10.441739863930804,10,14,7.142857142857142,-11.132805334637597,-0.7952003810455427,0.15218950679799248,13.131242682065963,13,-29.78381067982185
L360_EITHER_PB100__MACD_TURN_ADX25,MACD slope3>0 + ADX>=25,53,22.641509433962266,-18.78371222992576,-0.3544096647155804,0.5555666462619598,18.615962643126196,9,40,25.0,-11.364592549092485,-0.2841148137273121,0.6326659079560518,11.58481017819899,9,9,22.22222222222222,-3.3776436908461243,-0.3752937434273471,0.5363502086358182,3.310304302566376,4,4,0.0,-4.041475989987148,-1.010368997496787,0.0,3.028429786527279,4,-30.72065010429244
L360_REBREAK_PB075__MACD_TURN_ADX25,MACD slope3>0 + ADX>=25,46,19.565217391304348,-20.708600504415838,-0.4501869674873008,0.45902991663181353,22.647664083853194,12,32,18.75,-15.152270322483886,-0.47350844757762145,0.4359353689715503,17.091333901921242,8,10,30.0,-1.5148541919448018,-0.15148541919448016,0.7946340787628465,3.1215002878756772,4,4,0.0,-4.041475989987148,-1.010368997496787,0.0,3.028429786527279,4,-31.43470273410103
L240_STAG_ONLY__ADX25_RISK_LE3,ADX>=25 + risk<=3ATR,53,20.754716981132077,-23.64117909567027,-0.4460599829371749,0.46080997468695556,23.582628614454087,11,40,17.5,-22.09994923914956,-0.552498730978739,0.3566463707904531,22.04139875793337,11,11,36.36363636363637,0.5101447147759899,0.046376792252362714,1.0685385040755195,3.3587594275747934,3,2,0.0,-2.0513745712967055,-1.0256872856483528,0.0,1.0091520906937572,2,-31.54110911711873
L360_STAG_ONLY__MACD_TURN_ADX25,MACD slope3>0 + ADX>=25,37,18.91891891891892,-20.286268859406523,-0.5482775367407168,0.33095946827193334,20.217750550160737,15,28,17.857142857142858,-17.194573674168794,-0.6140919169345997,0.26083410093945686,16.15462120245717,15,8,25.0,-2.089885300582715,-0.26123566257283937,0.6549917852948239,6.057494318993561,6,1,0.0,-1.0018098846550112,-1.0018098846550112,0.0,0.0,1,-31.88596266325243
L360_EITHER_PB100__REBREAK_ADX25,rebreak系 + ADX>=25,111,27.027027027027028,-27.337372584589314,-0.24628263589720104,0.6560485970416723,29.268355812618637,14,82,25.609756097560975,-23.537892561995285,-0.2870474702682352,0.6065728437977009,25.46575468627229,14,23,39.130434782608695,2.2504493318471432,0.09784562312378883,1.1654428741148117,5.414255690616636,5,6,0.0,-6.049929354441176,-1.0083215590735293,0.0,5.036883150981306,6,-32.85415212241759
L360_REBREAK_PB075__ADX25,ADX>=25,125,28.799999999999997,-28.8370301439294,-0.2306962411514352,0.6780885403427468,34.054224967388784,20,92,27.173913043478258,-26.719086222966332,-0.29042485024963405,0.6052408899016873,27.312595077697058,20,27,40.74074074074074,3.931985433478112,0.14562909012881897,1.2481348544377109,6.485214751927137,6,6,0.0,-6.049929354441176,-1.0083215590735293,0.0,5.036883150981306,6,-32.928000900973856
L360_REBREAK_PB075__REBREAK_ADX25,rebreak系 + ADX>=25,125,28.799999999999997,-28.8370301439294,-0.2306962411514352,0.6780885403427468,34.054224967388784,20,92,27.173913043478258,-26.719086222966332,-0.29042485024963405,0.6052408899016873,27.312595077697058,20,27,40.74074074074074,3.931985433478112,0.14562909012881897,1.2481348544377109,6.485214751927137,6,6,0.0,-6.049929354441176,-1.0083215590735293,0.0,5.036883150981306,6,-32.928000900973856
