timeframe,symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason,year,month
D1,XAGUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2017-04-12 00:00:00,2017-04-13 00:00:00,18.505,18.202714285714286,2017-04-18 00:00:00,18.202714285714286,initial_stop,0.3022857142857127,-1.0,0.4565217391304427,-1.452268431001898,5.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-04
D1,GBPJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2017-04-28 00:00:00,2017-04-30 00:00:00,144.15,142.42642857142857,2017-05-16 00:00:00,145.49,one_swing_break,1.7235714285714323,0.7774554496477417,2.2685453791960146,-0.22627434728554477,16.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-04
D1,XAGUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2017-05-01 00:00:00,2017-05-02 00:00:00,16.899,17.39842857142857,2017-05-12 00:00:00,16.449,one_swing_break,0.4994285714285702,0.9010297482837536,1.6939359267734597,-0.1982265446224265,10.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-05
D1,CHFJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2017-05-02 00:00:00,2017-05-03 00:00:00,113.003,111.74057142857143,2017-05-29 00:00:00,113.538,one_swing_break,1.262428571428572,0.42378635283466953,1.711780015842481,-0.3976462600429972,26.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-05
D1,AUDJPY,KeyLevelStagnation,抵抗線付近の高値停滞,高安値停滞,long,買い,2017-05-15 00:00:00,2017-05-16 00:00:00,84.319,83.36666071428571,2017-05-17 00:00:00,83.36666071428571,initial_stop,0.952339285714288,-1.0,0.20895914196245832,-2.214546886426285,1.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2017,2017-05
D1,EURJPY,KeyLevelStagnation,抵抗線付近の高値停滞,高安値停滞,long,買い,2017-05-15 00:00:00,2017-05-16 00:00:00,124.76,123.10696428571428,2017-05-18 00:00:00,123.10696428571428,initial_stop,1.6530357142857213,-1.0,0.6291455115047997,-1.3127363076590643,2.0,0.82,KeyLevelStagnation with short-mid alignment and momentum,2017,2017-05
D1,GBPJPY,SimpleStagnation,安値停滞,高安値停滞,short,売り,2017-05-30 00:00:00,2017-05-31 00:00:00,141.93,143.32214285714284,2017-06-01 00:00:00,143.32214285714284,initial_stop,1.3921428571428294,-1.0,0.29451000513083975,-1.2426885582350098,1.0,0.65,SimpleStagnation with short-mid alignment and momentum,2017,2017-05
D1,XAUUSD,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2017-06-06 00:00:00,2017-06-07 00:00:00,1293.661,1274.038,2017-06-08 00:00:00,1274.038,initial_stop,19.623000000000047,-1.0,0.02909850685419718,-1.1389695765173562,1.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-06
D1,GBPJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,short,売り,2017-06-08 00:00:00,2017-06-09 00:00:00,139.75,141.885,2017-06-16 00:00:00,141.885,initial_stop,2.134999999999991,-1.0,0.5152224824355968,-1.1896955503512894,7.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-06
D1,AUDJPY,SecondRangeBreakout,レンジ抜け2回目以降のブレイクアウト,レンジ抜け2回目以降,long,買い,2017-06-28 00:00:00,2017-06-29 00:00:00,85.795,84.76478571428572,2017-07-21 00:00:00,87.927,post_bonus_counter_move,1.0302142857142798,2.069472370519326,3.426471607848596,-0.12618733966580786,22.0,0.85,"range first breakout failed, second breakout triggered",2017,2017-06
D1,EURJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2017-07-03 00:00:00,2017-07-04 00:00:00,128.93,127.22803571428572,2017-07-12 00:00:00,129.4,one_swing_break,1.7019642857142827,0.2761515056132618,1.0634770748085227,-0.5523030112265319,8.0,0.76,WideStagnation with short-mid alignment and momentum,2017,2017-07
