timeframe,symbol,variant,signal_time,period,year,max_hold,signal_kind,shelf_high,shelf_low,shelf_range_atr,sharp_drop_atr,signal_range_atr,body_ratio,close_location,lower_wick_ratio,d1_ema50_prev,stop,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,mfe_r,mae_r,hold_mode
H1,XAUUSD,CAP_PINE,2019-11-22 15:00:00,DEV_2015_2021,2019,480,capitulation,,,,4.052976056790025,2.008255940693154,0.16171729170201424,0.5667741388087395,0.5667741388087395,1483.8388606287872,1460.5614032655662,2019-11-22 16:00:00,1464.665,1472.8721934688674,2019-11-24 23:00:00,1460.5614032655662,stop,7,4.103596734433722,-1.0,-1.0852910319045848,0.738376647630825,1.2379384059289014,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2019-11-26 14:00:00,DEV_2015_2021,2019,480,capitulation,,,,4.480561515436377,2.726079405404204,0.08135072908675241,0.7548733691480917,0.7548733691480917,1480.9828919805823,1449.4025302429668,2019-11-26 15:00:00,1454.918,1465.948939514066,2019-11-29 17:00:00,1465.948939514066,target,69,5.515469757033088,2.0,1.9365421232608824,2.1049884255453595,0.4320574864835606,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2020-03-12 14:00:00,DEV_2015_2021,2020,480,capitulation,,,,7.747097440453941,1.9787261513072856,0.4340547703180192,0.5659452296819808,0.5659452296819808,1601.9539777970604,1571.5145738635886,2020-03-12 15:00:00,1587.128,1618.3548522728227,2020-03-12 15:00:00,1571.5145738635886,stop,1,15.613426136411363,-1.0,-1.0224166045903222,0.0,1.7049428976975525,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2020-03-13 16:00:00,DEV_2015_2021,2020,480,capitulation,,,,5.671849907366361,1.856187965034579,0.33905529619856634,0.5366369936497817,0.5366369936497817,1600.960410040313,1499.753130966039,2020-03-13 17:00:00,1522.905,1569.208738067922,2020-03-15 22:00:00,1569.208738067922,target,5,23.15186903396102,2.0,1.984882430032464,2.2633161894245153,0.5924791635560254,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2020-09-08 11:00:00,DEV_2015_2021,2020,480,capitulation,,,,4.559260057632711,1.8946697538165107,0.036499522030075504,0.6908838098548651,0.6908838098548651,1918.104551408934,1906.1996615168923,2020-09-08 12:00:00,1915.688,1934.6646769662157,2020-09-08 16:00:00,1934.6646769662157,target,5,9.488338483107782,2.0,1.9631126144347353,2.460915579853125,0.9759348295263386,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2020-10-14 01:00:00,DEV_2015_2021,2020,480,capitulation,,,,7.919000755240231,1.913251995720689,0.14738171572913972,0.761974157194208,0.761974157194208,1911.284646356746,1881.0500386432338,2020-10-14 02:00:00,1890.238,1908.6139227135325,2020-10-14 12:00:00,1908.6139227135325,target,11,9.187961356766209,2.0,1.961906674787831,2.0588898086809038,0.03591656377147642,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2020-10-22 14:00:00,DEV_2015_2021,2020,480,capitulation,,,,7.363736755297245,1.8781598734189993,0.2610993657505367,0.5052854122621637,0.5052854122621637,1910.0068887985644,1892.9487887723133,2020-10-22 15:00:00,1898.995,1911.0874224553731,2020-10-23 08:00:00,1911.0874224553731,target,17,6.046211227686626,2.0,1.9421125086736257,2.1716078889000126,0.28894127813464976,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2020-11-04 01:00:00,DEV_2015_2021,2020,480,capitulation,,,,5.049754355201493,3.588442584387708,0.06246787648756256,0.815759300992367,0.7532914245048045,1903.8531275420303,1878.87288458327,2020-11-04 02:00:00,1901.268,1946.0582308334601,2020-11-05 15:00:00,1946.0582308334601,target,37,22.39511541673005,2.0,1.984371592041956,2.100458029560285,0.8221882163752887,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2020-12-14 10:00:00,DEV_2015_2021,2020,480,capitulation,,,,6.147767720938626,2.25718074900495,0.4245851487902023,0.5587280986372508,0.5587280986372508,1861.4794911480462,1817.073257398554,2020-12-14 11:00:00,1824.315,1838.7984852028922,2020-12-14 14:00:00,1838.7984852028922,target,4,7.241742601446049,2.0,1.951669091368941,2.016503596397347,0.3205029683790027,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2021-01-14 02:00:00,DEV_2015_2021,2021,480,capitulation,,,,5.216686148446734,3.153556200898033,0.4540291262135974,0.5430582524271819,0.5430582524271819,1873.9938785013321,1826.8849230316766,2021-01-14 03:00:00,1839.665,1865.2251539366466,2021-01-15 15:00:00,1826.8849230316766,stop,36,12.780076968323328,-1.0,-1.0273863765349494,1.3870808480996002,1.1674421082893909,hold480_H1_equiv_30d
H1,XAUUSD,CAP_PINE,2021-01-20 13:00:00,DEV_2015_2021,2021,480,capitulation,,,,4.6209673768784025,3.1739903209075457,0.33956876456876284,0.9615384615384569,0.6219696969696941,1866.4718769524197,1830.9203890729782,2021-01-20 14:00:00,1848.738,1884.3732218540438,2021-02-02 13:00:00,1830.9203890729782,stop,207,17.81761092702186,-1.0,-1.0196434865164405,1.5032318367318123,1.0678760512804804,hold480_H1_equiv_30d
