symbol,back_inside_bars,signal_time,entry_time,exit_time,direction,level_kind,break_level,entry,sl,tp,exit_price,pnl_r_clean,pnl_r_after_cost,bars_held,exit_reason
USDJPY,3,2015-03-26 06:00:00,2015-03-26 07:00:00,2015-03-26 12:00:00,short,3m,118.679,118.603,118.94769664898442,117.56891005304672,118.94769664898442,-0.9999999999999943,-1.0290110160033519,5,SL
USDJPY,3,2015-05-19 14:00:00,2015-05-19 15:00:00,2015-05-20 18:00:00,long,3m,120.505,120.677,120.41588838175579,121.46033485473266,121.46033485473266,3.0000000000000124,2.9617022020420607,27,TP
USDJPY,3,2015-12-09 13:00:00,2015-12-09 14:00:00,2015-12-09 18:00:00,short,3m,122.223,122.093,122.38621499438587,121.21335501684241,121.21335501684241,2.999999999999984,2.9658953321233095,4,TP
USDJPY,3,2016-01-20 08:00:00,2016-01-20 09:00:00,2016-01-20 09:00:00,short,long,116.182,116.093,116.62856034817688,114.4863189554694,116.62856034817688,-1.0000000000000129,-1.018672032076384,0,SL
USDJPY,3,2016-03-17 11:00:00,2016-03-17 12:00:00,2016-03-17 12:00:00,short,3m,111.042,110.764,111.37621735986453,108.92734792040639,111.37621735986453,-0.9999999999999953,-1.0163340680215287,0,SL
USDJPY,3,2016-04-05 06:00:00,2016-04-05 07:00:00,2016-04-05 07:00:00,short,3m,110.666,110.417,110.7925832735009,109.29025017949732,110.7925832735009,-0.9999999999999981,-1.0266252538532348,0,SL
USDJPY,3,2016-04-29 01:00:00,2016-04-29 02:00:00,2016-05-09 10:00:00,short,3m,107.628,107.38,108.02164014039741,105.45507957880777,108.02164014039741,-1.0000000000000069,-1.0155850598651788,152,SL
USDJPY,3,2016-08-16 02:00:00,2016-08-16 03:00:00,2016-08-16 12:00:00,short,3m,100.679,100.615,100.95301035762344,99.60096892712967,99.60096892712967,3.000000000000017,2.970415107778663,9,TP
USDJPY,3,2016-08-30 13:00:00,2016-08-30 14:00:00,2016-09-01 12:00:00,long,3m,102.655,102.72,102.37421573274955,103.75735280175135,103.75735280175135,2.999999999999987,2.971080234275805,46,TP
USDJPY,3,2016-10-05 14:00:00,2016-10-05 15:00:00,2016-10-07 13:00:00,long,3m,103.357,103.551,103.16165229493437,104.71904311519691,103.16165229493437,-0.9999999999999841,-1.0256839834160545,46,SL
USDJPY,3,2016-10-25 12:00:00,2016-10-25 13:00:00,2016-10-25 15:00:00,long,3m,104.635,104.758,104.51706345498447,105.4808096350466,104.631,-0.5271097416616786,-0.568614445729491,2,early_back_inside
USDJPY,3,2016-11-03 03:00:00,2016-11-03 04:00:00,2016-11-03 06:00:00,short,3m,102.808,102.607,103.0477803741989,101.28465887740332,102.83,-0.5059208917940009,-0.5286079273004378,2,early_back_inside
USDJPY,3,2017-04-11 14:00:00,2017-04-11 15:00:00,2017-04-14 14:00:00,short,3m,110.109,109.734,110.11890020959399,108.57929937121801,108.57929937121801,2.999999999999992,2.974019239920544,71,TP
USDJPY,3,2017-06-06 00:00:00,2017-06-06 01:00:00,2017-06-06 11:00:00,short,3m,110.237,110.168,110.42544441862248,109.3956667441326,109.3956667441326,2.9999999999999813,2.961156664209294,10,TP
USDJPY,3,2018-01-10 07:00:00,2018-01-10 08:00:00,2018-01-15 00:00:00,short,3m,112.03,111.945,112.29811719165112,110.88564842504664,110.88564842504664,2.9999999999999925,2.971680789730924,64,TP
USDJPY,3,2018-02-14 02:00:00,2018-02-14 03:00:00,2018-02-15 20:00:00,short,long,107.318,107.214,107.58864043988835,106.09007868033493,106.09007868033493,3.0000000000000098,2.973307740074811,41,TP
USDJPY,3,2018-03-02 10:00:00,2018-03-02 11:00:00,2018-03-05 16:00:00,short,3m,105.55,105.538,105.9518958981677,104.29631230549687,105.9518958981677,-1.0000000000000024,-1.0241606646605133,29,SL
USDJPY,3,2018-03-22 22:00:00,2018-03-22 23:00:00,2018-03-26 19:00:00,short,3m,105.25,104.848,105.3347280732594,103.38781578022181,105.3347280732594,-1.0000000000000082,-1.0205453528353718,44,SL
USDJPY,3,2018-04-05 14:00:00,2018-04-05 15:00:00,2018-04-05 23:00:00,long,3m,107.291,107.456,107.15104622039965,108.37086133880105,107.15104622039965,-1.0000000000000093,-1.0327918545987493,8,SL
USDJPY,3,2018-05-15 11:00:00,2018-05-15 12:00:00,2018-05-17 12:00:00,long,3m,110.036,110.101,109.87308003889598,110.78475988331205,110.78475988331205,2.9999999999999964,2.956124948637439,48,TP
USDJPY,3,2018-05-29 08:00:00,2018-05-29 09:00:00,2018-05-29 09:00:00,short,3m,108.648,108.601,108.93350994916833,107.60347015249502,108.93350994916833,-0.9999999999999984,-1.0300742880777023,0,SL
USDJPY,3,2018-09-13 14:00:00,2018-09-13 15:00:00,2018-09-21 02:00:00,long,3m,111.826,111.849,111.5877831276136,112.6326506171592,112.6326506171592,3.000000000000025,2.961717633671104,131,TP
USDJPY,3,2018-10-15 08:00:00,2018-10-15 09:00:00,2018-10-15 10:00:00,short,3m,111.663,111.656,111.9476694675189,110.78099159744329,111.726,-0.23999769532083728,-0.27428308036664334,1,early_back_inside
USDJPY,3,2018-10-26 14:00:00,2018-10-26 15:00:00,2018-10-26 16:00:00,short,3m,111.625,111.396,111.76268372052034,110.29594883843899,111.643,-0.6736050339226938,-0.7008764927859359,1,early_back_inside
USDJPY,3,2018-11-06 06:00:00,2018-11-06 07:00:00,2018-11-06 08:00:00,long,3m,113.392,113.417,113.25662469491496,113.89812591525514,113.335,-0.5113006641298296,-0.5736544036577949,1,early_back_inside
USDJPY,3,2019-02-25 17:00:00,2019-02-25 18:00:00,2019-02-25 19:00:00,long,3m,111.128,111.191,110.99229705169736,111.78710884490792,111.098,-0.4680353300966468,-0.5183617096768837,1,early_back_inside
USDJPY,3,2019-05-05 21:00:00,2019-05-05 22:00:00,2019-05-06 05:00:00,short,3m,110.843,110.619,110.84813685000401,109.93158944998797,110.84813685000401,-0.9999999999999963,-1.0436420418619485,7,SL
USDJPY,3,2019-05-31 04:00:00,2019-05-31 05:00:00,2019-06-03 01:00:00,short,3m,109.019,109.016,109.3001272712331,108.16361818630074,108.16361818630074,2.999999999999992,2.964804504838293,20,TP
USDJPY,3,2019-06-20 00:00:00,2019-06-20 01:00:00,2019-06-25 04:00:00,short,3m,107.815,107.642,107.92834605485099,106.78296183544701,106.78296183544701,2.999999999999993,2.965077220968885,75,TP
USDJPY,3,2019-09-05 14:00:00,2019-09-05 15:00:00,2019-09-05 16:00:00,long,3m,106.973,107.046,106.73734961627513,107.97195115117465,106.966,-0.25919293873718663,-0.29159205607930044,1,early_back_inside
USDJPY,3,2020-01-02 15:00:00,2020-01-02 16:00:00,2020-01-02 17:00:00,short,3m,108.427,108.272,108.48595019113746,107.63014942658762,108.432,-0.7478376118729388,-0.794577462614956,1,early_back_inside
USDJPY,3,2020-01-13 09:00:00,2020-01-13 10:00:00,2020-01-17 00:00:00,long,3m,109.707,109.848,109.70838979397175,110.26683061808474,110.26683061808474,2.9999999999999627,2.9283719988352948,86,TP
USDJPY,3,2020-02-28 15:00:00,2020-02-28 16:00:00,2020-02-28 16:00:00,short,3m,108.308,107.928,108.46911335523119,106.30465993430641,108.46911335523119,-0.9999999999999891,-1.0184804161703096,0,SL
