symbol,denial_name,denial_family,d1_signal_time,context_start,fail_bars,denial_level,atr,body_ratio,close_location,rsi14
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2017-08-24,2017-08-25,1,30.0,1.0159638391145434,0.789999999999992,0.789999999999992,33.90451927197712
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-03-05,2018-03-06,2,145.98,1.340361308471291,0.7403846153846172,0.9807692307692345,37.88524355361056
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2018-03-05,2018-03-06,2,145.98,1.340361308471291,0.7403846153846172,0.9807692307692345,37.88524355361056
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2018-03-05,2018-03-06,4,30.0,1.340361308471291,0.7403846153846172,0.9807692307692345,37.88524355361056
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-06-01,2018-06-02,3,145.24,1.2486803696943027,0.9385474860335276,0.9497206703910593,42.73963117774237
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2018-06-01,2018-06-02,3,145.24,1.2486803696943027,0.9385474860335276,0.9497206703910593,42.73963117774237
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-10-19,2018-10-20,1,146.49,1.205883401517214,0.8250000000000154,0.8250000000000154,48.24033731601058
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-12-05,2018-12-06,1,143.98,1.1216158682155943,0.5853658536585405,0.6747967479674724,42.83789509445549
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2018-12-12,2018-12-13,2,143.07,1.2115611648906195,0.8206521739130525,0.83695652173914,42.36862407097941
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2018-12-12,2018-12-13,2,142.76,1.2115611648906195,0.8206521739130525,0.83695652173914,42.36862407097941
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-04-30,2019-05-01,4,144.37,0.8084521479652412,0.6466165413533876,0.9624060150375858,50.26134605935573
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-05-19,2019-05-20,1,140.17,0.9104513400081724,0.6111111111111638,1.0,27.26184502537366
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2019-05-19,2019-05-20,1,140.17,0.9104513400081724,0.6111111111111638,1.0,27.26184502537366
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2019-06-16,2019-06-17,1,30.0,0.7618768886183572,0.6666666666667368,0.8148148148148655,31.038645800205174
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-06-21,2019-06-22,4,136.49,0.8408295568918039,0.48314606741569804,0.9213483146067186,36.42113167350983
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2019-06-21,2019-06-22,4,136.49,0.8408295568918039,0.48314606741569804,0.9213483146067186,36.42113167350983
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-07-18,2019-07-19,1,133.94,0.7814706227538212,0.6568627450980482,1.0,39.851497723366776
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2019-07-18,2019-07-19,1,133.94,0.7814706227538212,0.6568627450980482,1.0,39.851497723366776
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2019-07-18,2019-07-19,1,30.0,0.7814706227538212,0.6568627450980482,1.0,39.851497723366776
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-08-06,2019-08-07,1,129.05,1.045678661404671,0.6294117647058826,0.6352941176470537,25.937877162308354
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2019-08-06,2019-08-07,1,129.05,1.045678661404671,0.6294117647058826,0.6352941176470537,25.937877162308354
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-08-12,2019-08-13,1,126.94,1.0600242406975624,0.6395348837209274,0.6860465116279114,22.914262663169808
GBPJPY,DONCHIAN55_FALSE_BREAK_6_Q,Donchian55下抜け否定,2019-08-12,2019-08-13,1,126.94,1.0600242406975624,0.6395348837209274,0.6860465116279114,22.914262663169808
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2019-10-10,2019-10-11,2,131.25,1.2459513052928013,0.9403794037940382,0.9485094850948516,61.80536775760414
GBPJPY,DONCHIAN20_FALSE_BREAK_6_Q,Donchian20下抜け否定,2020-02-04,2020-02-05,1,141.23,1.0678275158265116,0.7724867724867707,0.8888888888888855,49.46697575680366
GBPJPY,RSI_70_30_REJECT_6_Q,RSI30割れ否定,2020-03-04,2020-03-05,1,30.0,1.2918235645594278,0.9435483870967788,0.9758064516129019,35.26702646104769
