context_name,v_strategy,strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
D20_D55_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,D20_D55_OR_RSI_10D__RS100_BODY45_CLOSE60_RR15,34,44.11764705882353,-0.5714884030583693,-0.016808482442893215,0.9667804054159553,7.671908999298484,6,100.05882352941177
D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,D20_OR_RSI_10D__RS100_BODY45_CLOSE60_RR15,34,44.11764705882353,-0.5714884030583693,-0.016808482442893215,0.9667804054159553,7.671908999298484,6,100.05882352941177
D20Q_5D,RS120_RECLAIM_RR15,D20Q_5D__RS120_RECLAIM_RR15,16,43.75,-0.9323248696492774,-0.05827030435307984,0.8909168963853392,4.065925977681064,4,94.625
RSIQ_15D,RS120_BODY45_CLOSE60_RR15,RSIQ_15D__RS120_BODY45_CLOSE60_RR15,14,42.857142857142854,-1.0136296335599035,-0.07240211668285025,0.8742979236485277,5.090879557426959,4,108.64285714285714
D20Q_10D,RS100_BODY45_CLOSE60_RR15,D20Q_10D__RS100_BODY45_CLOSE60_RR15,31,41.935483870967744,-1.060784351320644,-0.034218850042601424,0.9345037642728828,6.664667996604736,5,93.35483870967742
D20_OR_RSI_5D,RS120_RECLAIM_RR15,D20_OR_RSI_5D__RS120_RECLAIM_RR15,19,47.368421052631575,-1.5125232848219072,-0.07960648867483722,0.8416896224661814,4.065925977681064,4,107.21052631578948
RSIQ_10D,RS120_BODY45_CLOSE60_RR15,RSIQ_10D__RS120_BODY45_CLOSE60_RR15,10,40.0,-1.9645480960092327,-0.19645480960092326,0.675519481530279,4.562757873403768,4,106.9
D20Q_20D,RS120_BODY45_CLOSE60_RR15,D20Q_20D__RS120_BODY45_CLOSE60_RR15,33,42.42424242424242,-2.180067591286369,-0.06606265428140512,0.8830388374657293,4.597801175635765,4,91.39393939393939
D20Q_10D,RS120_BODY45_CLOSE60_RR15,D20Q_10D__RS120_BODY45_CLOSE60_RR15,18,38.88888888888889,-2.947576411506196,-0.16375424508367756,0.7209772343505333,4.3933589134344135,4,97.44444444444444
D20_D55_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,D20_D55_OR_RSI_15D__RS120_BODY45_CLOSE60_RR15,29,41.37931034482759,-3.049417730046268,-0.10515233551883682,0.8162910094788884,6.564311751213772,5,100.65517241379311
D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,D20_OR_RSI_15D__RS120_BODY45_CLOSE60_RR15,29,41.37931034482759,-3.049417730046268,-0.10515233551883682,0.8162910094788884,6.564311751213772,5,100.65517241379311
RSIQ_15D,RS120_RECLAIM_RR15,RSIQ_15D__RS120_RECLAIM_RR15,18,38.88888888888889,-3.617548507053664,-0.2009749170585369,0.6739070037844741,6.101684618481261,5,100.61111111111111
D20_D55_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,D20_D55_OR_RSI_10D__RS120_BODY45_CLOSE60_RR15,20,40.0,-3.9537197572950955,-0.19768598786475478,0.658312850631873,5.400599916128161,5,104.85
D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,D20_OR_RSI_10D__RS120_BODY45_CLOSE60_RR15,20,40.0,-3.9537197572950955,-0.19768598786475478,0.658312850631873,5.400599916128161,5,104.85
RSIQ_10D,RS120_RECLAIM_RR15,RSIQ_10D__RS120_RECLAIM_RR15,14,35.714285714285715,-4.5684669695029925,-0.32631906925021376,0.4971032831884085,5.573562934458071,4,97.07142857142857
D20Q_15D,RS120_RECLAIM_RR15,D20Q_15D__RS120_RECLAIM_RR15,33,39.39393939393939,-4.671422860055884,-0.14155826848654193,0.7630055876160232,6.075366130012661,4,86.51515151515152
D20Q_10D,RS120_RECLAIM_RR15,D20Q_10D__RS120_RECLAIM_RR15,25,32.0,-7.586127869860148,-0.3034451147944059,0.5455342624561549,6.58254178588908,5,84.0
D20Q_20D,RS120_RECLAIM_RR15,D20Q_20D__RS120_RECLAIM_RR15,41,36.58536585365854,-7.8248360878153616,-0.19084966067842346,0.6964051408449018,8.324579090295801,6,82.70731707317073
D20_D55_OR_RSI_15D,RS120_RECLAIM_RR15,D20_D55_OR_RSI_15D__RS120_RECLAIM_RR15,38,36.84210526315789,-8.270841882170021,-0.21765373374131636,0.6515555762726176,10.100730082743068,7,91.44736842105263
D20_OR_RSI_15D,RS120_RECLAIM_RR15,D20_OR_RSI_15D__RS120_RECLAIM_RR15,38,36.84210526315789,-8.270841882170021,-0.21765373374131636,0.6515555762726176,10.100730082743068,7,91.44736842105263
D20_D55_OR_RSI_10D,RS120_RECLAIM_RR15,D20_D55_OR_RSI_10D__RS120_RECLAIM_RR15,29,34.48275862068966,-9.17514390941885,-0.31638427273858105,0.5095726599447333,9.60218649693997,5,91.48275862068965
D20_OR_RSI_10D,RS120_RECLAIM_RR15,D20_OR_RSI_10D__RS120_RECLAIM_RR15,29,34.48275862068966,-9.17514390941885,-0.31638427273858105,0.5095726599447333,9.60218649693997,5,91.48275862068965
