context_name,v_strategy,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_5D,RS120_UPREG_BODY45_CLOSE60_RR15,45,51.11111111111111,9.940800392870406,0.22090667539712014,1.470538837487615,4.064194791710705,4,70.42222222222222
BASELINE_NO_D1_CONTEXT,RS120_UPREG_BODY45_CLOSE60_RR15,45,51.11111111111111,9.940800392870406,0.22090667539712014,1.470538837487615,4.064194791710705,4,70.42222222222222
AVOID_D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,44,50.0,8.458818010728749,0.19224586388019882,1.4003905355691704,4.064194791710705,4,70.31818181818181
AVOID_D20_D55_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,42,50.0,7.979003485703563,0.18997627346913246,1.396938280238622,4.064194791710705,4,70.21428571428571
AVOID_D20_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,42,50.0,7.979003485703563,0.18997627346913246,1.396938280238622,4.064194791710705,4,70.21428571428571
AVOID_D20_OR_RSI_30D,RS120_UPREG_BODY45_CLOSE60_RR15,39,48.717948717948715,6.026713544486297,0.15453111652528967,1.315667918816111,4.064194791710705,4,71.51282051282051
D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,13,53.84615384615385,3.6710778560627535,0.2823906043125195,1.9148955308880096,1.467262432970617,2,131.3846153846154
D20Q_5D,RS100_BODY45_CLOSE60_RR15,10,50.0,3.1314449146673646,0.31314449146673645,2.0419658038746524,1.467262432970617,2,120.0
D20Q_20D,RS120_UPREG_BODY45_CLOSE60_RR15,3,66.66666666666666,1.9617969071668442,0.6539323023889481,2.9138588412897697,1.0250478587254472,1,73.33333333333333
RSIQ_5D,RS100_BODY45_CLOSE60_RR15,5,60.0,1.5312770967581775,0.30625541935163547,2.3637056887449632,1.122879452213353,2,173.6
D20Q_15D,RS120_UPREG_BODY45_CLOSE60_RR15,1,100.0,1.4819823821416602,1.4819823821416602,inf,0.0,0,75.0
D20_D55_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,1,100.0,1.4819823821416602,1.4819823821416602,inf,0.0,0,75.0
D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,1,100.0,1.4819823821416602,1.4819823821416602,inf,0.0,0,75.0
D20Q_15D,RS100_BODY45_CLOSE60_RR15,26,42.30769230769231,0.46541453517706,0.01790055904527154,1.0354060015161954,4.618606170835644,4,96.88461538461539
D20Q_5D,RS120_BODY45_CLOSE60_RR15,4,50.0,0.17120956573946655,0.04280239143486664,1.1166863963066485,1.467262432970617,2,148.5
RSIQ_5D,RS120_BODY45_CLOSE60_RR15,2,50.0,0.10004160218864455,0.050020801094322276,1.0993224083621447,0.0,1,171.5
RSIQ_15D,RS100_BODY45_CLOSE60_RR15,14,42.857142857142854,-0.04955213955106208,-0.0035394385393615773,0.9930852841191022,4.182748834995112,5,118.64285714285714
D20Q_20D,RS100_BODY45_CLOSE60_RR15,34,41.17647058823529,-0.2115732302010842,-0.0062227420647377706,0.9883697974009461,5.980476889593914,4,92.76470588235294
D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,5,40.0,-0.8360314369542816,-0.16720628739085633,0.6621417352246187,1.467262432970617,2,151.4
RSIQ_10D,RS100_BODY45_CLOSE60_RR15,10,40.0,-1.0110410946092245,-0.10110410946092245,0.8039432798344099,3.6651976435807545,3,124.5
D20_D55_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,30,40.0,-1.055692499116102,-0.035189749970536734,0.9346790463349693,6.627911496486232,6,103.13333333333334
D20_OR_RSI_15D,RS100_BODY45_CLOSE60_RR15,30,40.0,-1.055692499116102,-0.035189749970536734,0.9346790463349693,6.627911496486232,6,103.13333333333334
D20_D55_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,23,39.130434782608695,-1.4904510224981455,-0.06480221836948459,0.8772645124608602,4.669614360430225,4,105.3913043478261
D20_OR_RSI_10D,RS100_BODY45_CLOSE60_RR15,23,39.130434782608695,-1.4904510224981455,-0.06480221836948459,0.8772645124608602,4.669614360430225,4,105.3913043478261
RSIQ_5D,RS120_RECLAIM_RR15,5,40.0,-1.4930722102508138,-0.29861444205016274,0.5066343932560299,2.019058743055729,2,119.0
D20Q_10D,RS100_BODY45_CLOSE60_RR15,21,38.095238095238095,-1.9786493138555734,-0.09422139589788445,0.822325340000738,3.6623733577364774,3,99.80952380952381
D20Q_5D,RS120_RECLAIM_RR15,9,33.33333333333333,-2.376005907279376,-0.26400065636437514,0.5683448163766275,3.486321176026346,4,89.88888888888889
D20Q_15D,RS120_BODY45_CLOSE60_RR15,14,35.714285714285715,-2.423557137612499,-0.17311122411517849,0.7153690339801592,3.47807951053647,4,101.35714285714286
RSIQ_10D,RS120_BODY45_CLOSE60_RR15,7,28.57142857142857,-2.442276589178757,-0.3488966555969653,0.515540709710673,3.0295811021392023,3,102.85714285714286
D20Q_20D,RS120_BODY45_CLOSE60_RR15,19,36.84210526315789,-2.5533531039495285,-0.1343870054710278,0.7790060257343079,5.5053745420218725,6,98.42105263157895
D20_OR_RSI_5D,RS120_RECLAIM_RR15,11,36.36363636363637,-2.9573019793568536,-0.2688456344869867,0.5458443269151816,3.914436303800815,4,104.72727272727273
RSIQ_15D,RS120_BODY45_CLOSE60_RR15,10,30.0,-2.9725417683568267,-0.29725417683568267,0.5783956092824678,4.555542038236108,4,110.3
D20Q_10D,RS120_BODY45_CLOSE60_RR15,10,30.0,-3.3758668524088993,-0.3375866852408899,0.48111657816948245,3.3870781543146427,3,102.9
D20_D55_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,11,27.27272727272727,-4.383107855102648,-0.3984643504638771,0.4166172577619783,4.3943191570083915,3,108.36363636363636
D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,11,27.27272727272727,-4.383107855102648,-0.3984643504638771,0.4166172577619783,4.3943191570083915,3,108.36363636363636
RSIQ_10D,RS120_RECLAIM_RR15,11,27.27272727272727,-5.046195462672518,-0.45874504206113803,0.37478265087838897,4.4633227689027155,3,91.81818181818181
