context_name,v_strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars
AVOID_D20_OR_RSI_10D,RS120_RECLAIM_RR15,OOS_2025_2026,17,64.70588235294117,10.043788268809053,0.5908110746358266,2.842697953712862,2.007588111145445,2,89.11764705882354
AVOID_D20_OR_RSI_15D,RS120_RECLAIM_RR15,OOS_2025_2026,17,64.70588235294117,10.043788268809053,0.5908110746358266,2.842697953712862,2.007588111145445,2,89.11764705882354
AVOID_D20_OR_RSI_10D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,15,66.66666666666666,9.558854007714919,0.6372569338476612,3.1515447408085233,2.007588111145445,2,84.93333333333334
AVOID_D20_OR_RSI_15D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,15,66.66666666666666,9.558854007714919,0.6372569338476612,3.1515447408085233,2.007588111145445,2,84.93333333333334
BASELINE_NO_D1_CONTEXT,RS120_RECLAIM_RR15,OOS_2025_2026,19,63.1578947368421,9.464974972644358,0.4981565775075978,2.466222556053607,2.007588111145445,2,92.26315789473684
AVOID_D20_OR_RSI_5D,RS120_RECLAIM_RR15,OOS_2025_2026,18,61.111111111111114,9.039030042028088,0.5021683356682272,2.400239279107679,2.007588111145445,2,87.38888888888889
AVOID_D20_OR_RSI_10D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,43,51.162790697674424,8.830531632247826,0.20536120074994946,1.425993527925089,5.074142290900922,5,70.46511627906976
AVOID_D20_OR_RSI_5D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,43,51.162790697674424,8.830531632247826,0.20536120074994946,1.425993527925089,5.074142290900922,5,70.46511627906976
BASELINE_NO_D1_CONTEXT,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,43,51.162790697674424,8.830531632247826,0.20536120074994946,1.425993527925089,5.074142290900922,5,70.46511627906976
AVOID_D20_OR_RSI_5D,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,16,62.5,8.554095780933954,0.5346309863083721,2.570266267140035,2.007588111145445,2,83.25
BASELINE_NO_D1_CONTEXT,RS120_BODY45_CLOSE60_RR15,OOS_2025_2026,16,62.5,8.554095780933954,0.5346309863083721,2.570266267140035,2.007588111145445,2,83.25
AVOID_D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,41,48.78048780487805,5.867365608478767,0.14310647825557968,1.2830474856184808,5.074142290900922,5,70.39024390243902
D20Q_15D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,39,51.28205128205128,5.531746824627892,0.14183966216994595,1.3214597315052607,5.86918418586771,4,96.3076923076923
AVOID_D20_D55_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,39,48.717948717948715,5.387551083453585,0.13814233547316884,1.2734212553861504,5.074142290900922,5,70.28205128205128
AVOID_D20_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,Research_2015_2024,39,48.717948717948715,5.387551083453585,0.13814233547316884,1.2734212553861504,5.074142290900922,5,70.28205128205128
D20_OR_RSI_5D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,21,57.14285714285714,5.115856550597701,0.2436122166951286,1.7251308337609725,3.038218284037567,3,123.47619047619048
D20Q_20D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,47,48.93617021276596,4.841348407582022,0.10300741292727707,1.2174103371439358,5.979379232689066,4,90.95744680851064
D20Q_5D,RS100_BODY45_CLOSE60_RR15,Research_2015_2024,17,52.94117647058824,4.575125952297463,0.2691250560174978,1.7564892888884134,2.0468672346253354,2,112.05882352941177
AVOID_D20_D55_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,11,54.54545454545454,4.50475365410308,0.4095230594639164,2.0127308754910587,2.012926701322238,2,64.27272727272727
AVOID_D20_OR_RSI_10D,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,11,54.54545454545454,4.50475365410308,0.4095230594639164,2.0127308754910587,2.012926701322238,2,64.27272727272727
AVOID_D20_OR_RSI_15D,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,11,54.54545454545454,4.50475365410308,0.4095230594639164,2.0127308754910587,2.012926701322238,2,64.27272727272727
AVOID_D20_OR_RSI_20D,RS120_UPREG_BODY45_CLOSE60_RR15,OOS_2025_2026,11,54.54545454545454,4.50475365410308,0.4095230594639164,2.0127308754910587,2.012926701322238,2,64.27272727272727
