scope,filter_id,filter_desc,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
XAUUSD_H4,BREAK_EXT_LE_1_2ATR,Bから1.2ATR以上伸びた飛び乗りを除外,2.0,48,54,62.96296296296296,19.65133840738848,0.36391367421089776,0.21268968926729814,2.300720230792466,4.358880709272887,5,1.0353223419987216,0.5822136935747936,38.148148148148145,22.22222222222222,22.22222222222222,6,2.2607754459513565
ALL_H4,RANGE_LE_2ATR,エントリー足の高安が2.0ATR以内,1.0,48,445,52.58426966292134,19.557242216590424,0.04394885891368635,0.09975444859325602,1.122301491488235,24.70236350245197,7,0.6661879282847201,0.6370745087769222,31.0,34.157303370786515,28.764044943820227,37,14.801168938583318
XAUUSD_H4,NO_D1_RESIST_1ATR,D1過去60日高値が1ATR未満にある場所を除外,1.5,120,68,57.35294117647059,19.37777691601362,0.2849673075884356,0.3033240969827813,1.7604532745829675,7.1034374721468865,7,1.0370209072535053,0.6874949695607112,64.91176470588235,38.23529411764706,32.35294117647059,6,1.9820263709939827
ALL_H4,D1_CLOSE_GT_EMA20,D1終値がEMA20より上,2.0,120,238,44.537815126050425,19.166306916759247,0.0805307013309212,-0.33765689573288127,1.1673258455127316,24.74680525691276,12,0.9904377024897849,0.7781685216027273,73.75210084033614,21.008403361344538,42.016806722689076,26,7.212175950545205
ALL_H4,A_ROOM_GE_1R,Aが上に残る場合、Aまで1R以上,1.0,120,347,52.73775216138329,19.000881861945096,0.05475758461655647,0.2766950827962672,1.1313001908558642,27.30624501342478,9,0.7608301707174864,0.704525440010768,50.68587896253602,44.95677233429395,37.46397694524496,35,13.265277167809955
ALL_H4,RANGE_LE_2ATR,エントリー足の高安が2.0ATR以内,1.5,48,445,48.764044943820224,18.796166756493285,0.042238576980883784,-0.0180412498680646,1.10910359397882,28.10664889379381,7,0.7789117070494553,0.669573168974675,35.58876404494382,19.550561797752806,30.786516853932582,37,11.891329386926209
ALL_H4,BREAK_EXT_LE_1_2ATR,Bから1.2ATR以上伸びた飛び乗りを除外,1.0,48,470,52.76595744680851,18.31458102373037,0.038967193667511425,0.09042109162172743,1.1073454059068943,22.70921222532694,8,0.6825761606059095,0.650213957290435,30.34468085106383,34.25531914893617,29.574468085106382,41,14.985492617865775
XAUUSD_H4,BASELINE,B抜け即。除外なし,1.0,48,71,66.19718309859155,18.29825547412551,0.2577219080862748,0.4004036191874499,2.0738451478095326,4.528362217347215,6,0.7762925413661803,0.530082111752668,32.098591549295776,42.25352112676056,18.30985915492958,7,2.660854227245627
ALL_H4,A_ROOM_GE_1R,Aが上に残る場合、Aまで1R以上,2.0,48,347,48.99135446685879,17.868792213517345,0.051495078425122034,-0.009050745803642008,1.1366450932767633,22.217265644068746,11,0.820269867966601,0.6547468085084885,38.62536023054755,10.37463976945245,27.6657060518732,35,7.064356421854789
XAUUSD_H4,A_ROOM_GE_1R,Aが上に残る場合、Aまで1R以上,1.5,120,46,60.86956521739131,17.86628678583095,0.38839753882241196,0.5290580429001617,2.156884580094094,4.055229800933794,4,1.1077588525537465,0.6293080932264026,64.08695652173913,43.47826086956522,28.26086956521739,6,1.9772994754738706
XAUUSD_H4,A_ROOM_GE_1R,Aが上に残る場合、Aまで1R以上,1.5,48,46,69.56521739130434,17.863027315954813,0.38832668078162635,0.3784827463961923,2.733635657243606,3.1339723970507434,4,0.9620793599824774,0.5047048957568824,36.41304347826087,28.26086956521739,17.391304347826086,6,2.6625067972188474
XAUUSD_H4,D1_CLOSE_GT_EMA20,D1終値がEMA20より上,2.0,48,32,65.625,17.83097425123399,0.5572179453510622,0.5334539540593867,3.5161106288734274,1.307483869592096,3,1.1387176644461636,0.5789344217084179,40.0,28.125,15.625,5,3.763388030369053
ALL_H4,A_ROOM_GE_0_5R,Aが上に残る場合、Aまで0.5R以上,1.5,48,409,49.63325183374083,17.79025301921296,0.04349695114721996,-0.006143089167356492,1.117942935455166,21.640961410380616,7,0.7663532479191877,0.6477121703690332,36.479217603911984,17.6039119804401,27.628361858190708,38,11.556876281355716
