period,candidate,max_recovery_to_drop,symbol,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak
Research_2015_2024,Current_060_110,1.1,GBPJPY,29,51.724137931034484,10.901910304546249,0.37592794153607756,1.7721214738345874,3.0192329644351554,3
Research_2015_2024,Current_060_110,1.1,SILVER,21,33.33333333333333,-2.128449227297344,-0.10135472510939733,0.8387071812532405,5.252521191642872,5
Research_2015_2024,Current_060_110,1.1,USDJPY,24,54.166666666666664,15.599334438997012,0.6499722682915422,2.6315981697159243,2.4716617406275807,3
Research_2015_2024,Current_060_110,1.1,XAUUSD,14,64.28571428571429,12.827961199677985,0.9162829428341418,4.524569590630542,1.0075409827278374,1
Research_2015_2024,Robust_075_105_width7,1.1,AUDJPY,19,52.63157894736842,6.519177505191556,0.34311460553639767,1.7172995356696972,6.069439523076552,6
Research_2015_2024,Robust_075_105_width7,1.1,CHFJPY,10,70.0,9.91465744546356,0.9914657445463559,4.270656947617312,1.0145802012489362,1
Research_2015_2024,Robust_075_105_width7,1.1,EURJPY,15,33.33333333333333,-1.8397597908255476,-0.12265065272170318,0.8172153768048955,5.029671298567468,6
Research_2015_2024,Robust_075_105_width7,1.1,GBPJPY,25,60.0,14.940256350923605,0.5976102540369442,2.482009834116245,3.0192329644351554,3
Research_2015_2024,Robust_075_105_width7,1.1,SILVER,16,37.5,1.542773006662576,0.096423312916411,1.1715471264115498,3.7259748717801786,5
Research_2015_2024,Robust_075_105_width7,1.1,USDJPY,21,57.14285714285714,15.512962546470714,0.7387125022128911,3.027764060142352,2.0140506045202393,2
Research_2015_2024,Robust_075_105_width7,1.1,XAUUSD,12,66.66666666666666,13.013855238431281,1.0844879365359401,5.944396202764348,1.0072534745502768,1
Research_2015_2024,Strict_075_100_width7,1.1,AUDJPY,14,57.14285714285714,7.377865384911534,0.5269903846365381,2.2176080710104715,5.052309794164242,5
Research_2015_2024,Strict_075_100_width7,1.1,CHFJPY,9,66.66666666666666,8.870528463027354,0.985614273669706,3.9262186521544566,1.0145802012489362,1
Research_2015_2024,Strict_075_100_width7,1.1,EURJPY,10,40.0,0.12313058872154681,0.01231305887215468,1.0203838176706528,3.0177000600920554,4
Research_2015_2024,Strict_075_100_width7,1.1,GBPJPY,23,65.21739130434783,16.954819283790197,0.7371660558169651,3.1018766699975697,2.014147141155764,2
Research_2015_2024,Strict_075_100_width7,1.1,SILVER,12,33.33333333333333,-0.1902256086540639,-0.015852134054505324,0.9724895350541816,3.156403218697627,4
Research_2015_2024,Strict_075_100_width7,1.1,USDJPY,15,60.0,12.554169936782008,0.8369446624521338,3.7163407356354488,2.0140506045202393,3
Research_2015_2024,Strict_075_100_width7,1.1,XAUUSD,9,66.66666666666666,10.297334753192384,1.1441483059102648,7.3427059203828255,1.0072534745502768,1
Research_2015_2024,Current_060_110,1.15,AUDJPY,20,55.00000000000001,7.6512896842072315,0.3825644842103616,1.8418648722765414,6.069439523076552,6
Research_2015_2024,Current_060_110,1.15,CHFJPY,13,61.53846153846154,8.571369664011243,0.6593361280008648,2.697882599012325,2.014121466559713,2
Research_2015_2024,Current_060_110,1.15,EURJPY,22,36.36363636363637,-1.6537702155339944,-0.07517137343336339,0.882623984951652,7.043033345833235,8
Research_2015_2024,Current_060_110,1.15,GBPJPY,29,51.724137931034484,10.901910304546249,0.37592794153607756,1.7721214738345874,3.0192329644351554,3
Research_2015_2024,Current_060_110,1.15,SILVER,23,34.78260869565217,-1.1614087121768137,-0.05049603096420929,0.9182321637470555,4.522613346336529,5
