symbol,timeframe,rr,max_hold_bars,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,target_hit_pct,stop_hit_pct,oos_trades,oos_total_r
GBPJPY,H1,2.0,48,197,43.65482233502538,16.538049321387323,0.0839494889410524,-0.2227048533674038,1.1730359407139728,8.470764951742863,6,1.0403100846956206,0.8233850306298941,27.04060913705584,22.84263959390863,42.63959390862944,35,-5.126763904237062
XAUUSD,H4,1.0,48,107,59.813084112149525,15.862233842666747,0.14824517609968924,0.9052018693393088,1.3995403473053367,12.13910577820922,5,0.8774699769021599,0.7270547852748203,18.411214953271028,49.532710280373834,33.64485981308411,9,4.9095831140188775
XAUUSD,H4,1.5,48,107,52.336448598130836,14.579829002605603,0.13626008413650095,0.14440408521644893,1.3113819792426036,13.139105778209233,5,1.000004725291324,0.8132524301638794,22.925233644859812,31.775700934579437,39.25233644859813,9,7.013725015805104
CHFJPY,H4,2.0,48,141,43.97163120567376,13.478324256576503,0.09559095217430144,-0.3435142991612408,1.1917858171380402,19.47561612654375,10,1.0268169114973824,0.8135557983713515,25.617021276595743,21.98581560283688,43.97163120567376,12,6.495091630697737
USDJPY,H4,1.5,120,124,49.193548387096776,13.470580152576156,0.10863371090787223,-0.10956224339624801,1.2257481077147523,7.381419722853561,6,0.9858176380518264,0.8786899393328661,43.943548387096776,34.67741935483871,44.354838709677416,17,3.3315219157354594
GBPJPY,H1,1.0,120,197,56.34517766497462,12.805010032502762,0.06500005092640997,0.6605487356240801,1.1493451347495436,8.621687976666948,5,0.8396759624232947,0.7542796993696952,31.0253807106599,49.746192893401016,41.11675126903553,35,-2.920528582871249
CHFJPY,H4,2.0,120,141,42.5531914893617,12.538402081540273,0.08892483745773243,-1.009279923111988,1.157871009087718,27.108065209698196,10,1.130092139397075,0.892456388542118,43.02836879432624,29.078014184397162,53.90070921985816,12,7.834236147204239
USDJPY,H4,1.0,120,124,56.451612903225815,11.693068902557169,0.09429894276255782,0.6392602896058854,1.2291162420660944,7.426544106394574,6,0.8188043021047318,0.8039075863502724,33.99193548387097,48.38709677419355,37.903225806451616,17,5.112210464425204
GBPJPY,H1,1.5,48,197,46.7005076142132,11.350062686273954,0.05761453140240586,-0.0984382943785504,1.1259905067900484,8.1722754631545,6,0.9209654235857092,0.7877628608154629,24.634517766497463,29.949238578680205,40.10152284263959,35,-4.401275483823892
AUDJPY,H4,2.0,120,111,40.54054054054054,11.048446251754836,0.09953555181761113,-1.0061181549658982,1.1711982815064335,13.572001586578054,7,1.124402242876157,0.953437155031057,42.666666666666664,32.432432432432435,56.75675675675676,11,3.843187313652405
USDJPY,H4,2.0,120,124,43.54838709677419,10.005759923869944,0.08069161228927374,-0.8737495219824054,1.1497735671287603,9.569291889680152,11,1.1258433825221803,0.9239189428504362,48.79032258064516,26.61290322580645,50.0,17,5.626801717202025
SILVER,H4,2.0,120,121,42.14876033057851,7.724905715451624,0.06384219599546796,-1.0077307329132266,1.107475279505832,15.577409655307893,8,1.3706726481369897,0.9303864378710065,45.78512396694215,30.57851239669421,50.413223140495866,2,-1.1773130374372867
CHFJPY,H4,1.5,48,141,46.09929078014184,7.649823914635917,0.05425407031656679,-0.18095850068368113,1.1138521498295408,22.259889913856405,10,0.9140229793109848,0.7859394299590717,24.092198581560282,29.078014184397162,41.843971631205676,12,4.495091630697736
CHFJPY,H4,1.5,120,141,45.39007092198582,6.648983262985507,0.047155909666563876,-1.0054356683039316,1.0882720083595148,28.635216394818528,10,0.9722885170808062,0.8560306233181796,37.95035460992908,36.17021276595745,51.06382978723404,12,4.834236147204234
AUDJPY,H4,1.5,120,111,45.04504504504504,5.42859550244561,0.04890626578779829,-1.0049665368492922,1.091339326200386,12.31105756258159,7,0.9657107914901205,0.892671848855943,36.9009009009009,37.83783783783784,52.25225225225225,11,1.3431873136524268
SILVER,H4,2.0,48,121,44.62809917355372,5.245334035113178,0.04334986805878659,-0.15299432660195986,1.084614005050816,13.17838933295,7,1.222815652131555,0.8069621202399234,26.60330578512397,22.31404958677686,40.49586776859504,2,-1.0089551538845194
AUDJPY,H4,1.5,48,111,44.14414414414414,4.870931110766998,0.04388226225916214,-0.223459305831187,1.0928509955609034,12.164837547251818,7,0.8864164010082612,0.8225858773329129,24.98198198198198,31.53153153153153,43.24324324324324,11,4.653178636132189
USDJPY,H4,1.0,48,124,53.2258064516129,4.509032783658733,0.03636316761015107,0.09829089583704126,1.0917127373131748,8.56565280896102,6,0.7501171094142484,0.7774189940060846,21.725806451612904,39.516129032258064,34.67741935483871,17,4.665120646136203
USDJPY,H1,2.0,120,226,40.707964601769916,4.243630228216494,0.018777124903612805,-1.0064989848061359,1.0335272445078787,18.084695976304214,12,1.0774219004670174,0.9164869667175823,49.2212389380531,25.663716814159294,52.21238938053098,33,-6.658380573931215
