symbol,entry_time,signal_time,v_start_time,v_low_time,context_time,drop_bars,recovery_bars_signal,drop_atr,drop_speed,recovery_speed_signal,speed_ratio_signal,shelf_bars,shelf_range_atr,shelf_hold_actual,breakout_atr,body_ratio,close_location,pre_adx14,pre_ema50_slope_20_atr,pre_close_ema50_stretch_atr,pre_range60_atr,signal_adx14,signal_ema50_slope_20_atr,signal_range60_atr,entry,stop,target,risk,risk_atr_entry,r_after_cost,mfe_r,mae_r,mfe_atr_trade,mae_atr_trade,bars_held,exit_time,exit_reason
EURJPY,2022-06-24 16:00:00,2022-06-24 12:00:00,2022-06-15 04:00:00,2022-06-16 04:00:00,2022-06-16 20:00:00,6,38,4.22639319831584,0.7043988663859733,0.1810567774810969,0.2570372925357426,6,1.7055852735824366,0.9779005524861845,0.05781644995197625,0.5925925925926413,0.8333333333333772,25.336176383690376,0.020286669474370276,0.37130096750143393,8.924917156999129,19.422217253981454,1.3301167937159677,9.207269654847513,142.62,141.21703884433734,144.69944173349404,1.4029611556626662,2.027855836022395,-1.0089097263666467,1.161828318211769,1.2117227858650508,2.35602033554182,2.457199122957758,26,2022-07-01 00:00:00,SL
USDJPY,2023-08-01 12:00:00,2023-08-01 08:00:00,2023-07-27 12:00:00,2023-07-28 04:00:00,2023-07-28 16:00:00,4,14,3.474580016025961,0.8686450040064903,0.5250418044099244,0.604437718502093,6,1.2585183642349946,1.2092666462105,0.1945391050542013,0.7038043478261361,0.9755434782609069,22.35541742786168,0.42482673615726496,0.9370710780240807,8.514956581935913,27.514943653495887,0.7324549856057864,7.364053353627287,142.973,141.83493847275102,144.68009229087352,1.1380615272489933,1.7030574692892002,-1.0087868711493688,0.80399871016798,1.2512504516712772,1.369256008650461,2.1309514276702544,18,2023-08-04 12:00:00,SL
EURJPY,2023-08-07 16:00:00,2023-08-07 12:00:00,2023-07-21 04:00:00,2023-07-28 00:00:00,2023-07-31 00:00:00,29,39,7.282930560677551,0.25113553657508797,0.271972474302932,1.0829708850129773,6,1.5801752696929776,0.6646525679758312,0.3357872448097963,0.9516129032258049,0.9677419354839005,17.539610546082162,0.7395312066285394,2.8132451937807206,8.053454211355499,12.533227090874883,0.25084013617094764,12.029084240538054,156.77,155.67343176175714,158.4148523573643,1.0965682382428668,2.1659625145027652,1.4886008006031448,1.6232459941136546,0.4012518187696651,3.515889975066952,0.8690963983311517,15,2023-08-10 04:00:00,TP
USDJPY,2023-10-25 20:00:00,2023-10-25 16:00:00,2023-10-12 16:00:00,2023-10-17 08:00:00,2023-10-18 08:00:00,17,39,4.282549531030406,0.25191467829590625,0.18125000617607215,0.7194896597615906,6,1.185276026731116,0.9237132352941186,0.49341807447621067,0.6153846153845145,1.0,21.085484645709553,-0.018328579585077494,2.4217583834284837,6.037440366660114,29.259542553794972,0.7873392379287166,7.068750240866813,150.054,149.69738638531956,150.59642042202063,0.35661361468044106,1.9126043813875448,1.492989611453095,2.0246002123250046,0.0336498650247932,3.8722592366509576,0.06435887927951899,2,2023-10-26 04:00:00,TP
USDJPY,2024-02-05 16:00:00,2024-02-05 12:00:00,2024-01-30 16:00:00,2024-02-01 16:00:00,2024-02-02 12:00:00,12,12,3.41811497619876,0.28484291468323003,0.5023237255881012,1.7635113941546647,6,1.267110754404914,1.1320197044334979,0.10930348360681698,0.9147609147609204,0.997920997920988,21.296010107616,0.567745512251143,0.13390288619783058,5.460591557947817,30.465251850805245,-0.07623130257566331,6.029908845642535,148.874,148.0704906702465,150.07926399463025,0.8035093297534956,1.6264142380117108,-1.0124454062071173,0.022401731172832562,1.091462124365166,0.03643449453560566,1.775169539318015,5,2024-02-06 12:00:00,SL
AUDJPY,2024-03-25 16:00:00,2024-03-25 12:00:00,2024-03-13 16:00:00,2024-03-15 04:00:00,2024-03-15 20:00:00,9,40,2.8124556016012683,0.31249506684458533,0.1524082005479322,0.48771394085312103,6,1.5035946377844338,1.742402315484789,0.3028567398380665,0.5517241379310108,0.7586206896551522,16.3914844680164,-0.9573447370896554,0.8467999337770605,5.189202067367478,21.94288855900821,2.1376493624851443,11.248455619633523,98.981,98.40183481228992,99.84474778156512,0.5791651877100747,2.0635774185598583,-1.021582788926613,0.45410187901635557,1.3692121295055484,0.9370743832637521,2.825475231665906,16,2024-03-28 08:00:00,SL
USDJPY,2024-06-19 20:00:00,2024-06-19 16:00:00,2024-06-11 16:00:00,2024-06-12 12:00:00,2024-06-13 00:00:00,5,32,3.578568476647693,0.7157136953295387,0.24089269816825662,0.3365769018257245,6,1.170921469577299,1.1186239620403438,0.1917888613963452,0.5167785234899175,0.7583892617449588,22.186816935424183,0.6221322328391259,1.2853466005510013,7.7789493344545715,8.138424168073659,1.7556666736093247,10.551752093662543,158.005,157.52769954325683,158.72595068511475,0.47730045674316557,1.6059808972403675,1.4895244181535077,1.621620069843111,0.48606699767907,2.604290854749627,0.7806143130515645,4,2024-06-20 12:00:00,TP
USDJPY,2024-09-24 08:00:00,2024-09-24 04:00:00,2024-09-12 04:00:00,2024-09-16 04:00:00,2024-09-17 16:00:00,13,37,5.33449966364548,0.41034612797272924,0.1848635991358179,0.45050650300787914,6,1.6665021254335362,1.034025374855823,0.14308351582005793,0.7319698600645913,0.7556512378902009,20.67714013159482,-1.5248315405510449,-0.876858346745691,9.599024835552445,14.414912338377581,1.2141839777109742,7.158384129703228,144.453,142.98378240551435,146.6543263917285,1.4692175944856558,2.060988420820469,-1.0068063437556993,0.12387545635383067,1.0658734321434724,0.2553058811690964,2.1967528017078686,3,2024-09-24 20:00:00,SL
GBPJPY,2024-10-09 12:00:00,2024-10-09 08:00:00,2024-10-02 20:00:00,2024-10-04 04:00:00,2024-10-04 16:00:00,8,19,3.4756373896708816,0.4344546737088602,0.219474514573778,0.5051724100472074,6,1.3209366746707645,0.5352941176470559,0.49211366311262694,0.7540983606557339,0.9508196721311468,19.38965287705253,0.4116395756754544,2.843177796126357,7.326155391579577,9.130493423505712,1.645491133690715,8.249379036914403,194.92,193.3369551668224,197.3195672497664,1.5830448331775813,2.0500999782277534,1.5031584702437202,1.7940110984092519,0.8654208467678272,3.677902113789155,1.7741992591165665,57,2024-10-23 00:00:00,TP
AUDJPY,2025-03-17 08:00:00,2025-03-17 04:00:00,2025-03-13 00:00:00,2025-03-13 16:00:00,2025-03-14 04:00:00,4,10,2.8485708016720257,0.7121427004180064,0.4322160983188194,0.6069234411377404,6,1.4607748979928965,0.7809388335704164,0.21899590727733925,0.760869565217379,0.7717391304347708,18.705524055868718,-0.7430656831676675,0.06334622164641943,5.464553884696792,17.484369887478657,0.2942030006589603,6.981397000127534,94.332,93.52811678006755,95.53282482989867,0.8038832199324446,1.934583902133475,1.4782306688757012,1.6805923627981019,0.21271746412913367,3.2512469311176684,0.4115197818068769,5,2025-03-18 04:00:00,TP
EURJPY,2025-06-03 04:00:00,2025-06-03 00:00:00,2025-05-21 20:00:00,2025-05-23 12:00:00,2025-05-26 04:00:00,10,41,4.6870955733250765,0.46870955733250763,0.14172407434511927,0.3023707797888548,6,1.3910871736218995,0.755374032674123,0.1763009786014067,0.613445378151277,0.6235294117647228,13.72192440888234,-0.8088691823745264,-0.6273261774527004,6.900627569040841,15.045307102424177,0.5528596945588025,7.679960437704342,163.483,162.73148384175303,164.61277423737047,0.7515161582469716,1.8149730703246179,1.486693566212464,1.5821349773416988,0.915482644584627,2.871532377493833,1.6615763462706614,14,2025-06-05 12:00:00,TP
USDJPY,2025-07-07 04:00:00,2025-07-07 00:00:00,2025-06-27 12:00:00,2025-07-01 12:00:00,2025-07-02 08:00:00,13,22,4.6303203387314635,0.356178487594728,0.24471794088751664,0.6870654725390519,6,1.127247636715835,0.6628420123565822,0.5023875276715715,0.5544871794871895,0.9775641025640863,20.012138439331352,-0.6026182806147403,-0.5263442888519801,8.46673609673501,15.113562927100588,-0.22705023895805548,12.384727361257266,144.83,144.0809776124362,145.9610335813457,0.7490223875638264,1.8721368430789092,1.496662316051498,1.8811186733452967,0.06408353181020453,3.521711574573449,0.11997314093650316,3,2025-07-07 16:00:00,TP
USDJPY,2025-09-24 08:00:00,2025-09-24 04:00:00,2025-09-12 12:00:00,2025-09-17 16:00:00,2025-09-18 08:00:00,20,28,6.186181381057796,0.30930906905288985,0.27207970166067186,0.8796370002786694,6,1.389189449010081,0.7634118101119268,0.34506632994688224,0.5827586206897096,0.7793103448276044,23.011545797957616,-0.391837032936816,0.6125403807703764,6.703857003952453,12.220704510251855,0.9113335763161517,8.61178469996645,148.041,147.37495818692463,149.04256271961304,0.6660418130753669,1.9812810692160063,1.4887394457033218,2.7025330312052493,0.03903658822853572,5.354477533657911,0.07734245326397822,7,2025-09-25 12:00:00,TP
EURJPY,2026-03-24 20:00:00,2026-03-24 16:00:00,2026-03-11 00:00:00,2026-03-16 04:00:00,2026-03-17 16:00:00,20,40,5.419327114770988,0.27096635573854944,0.13463530844825283,0.4968709420816805,6,1.1262092926996417,0.7938377888536541,0.19928806414029943,0.6376404494382228,0.9044943820224934,13.816850602362667,0.10426580433667795,1.7618797436517957,6.570495307109132,15.213835361212693,0.9343747383574795,5.71215207099728,184.194,183.51211596744267,185.21182604883603,0.6818840325573206,1.5801319629826651,-1.0183315628511038,0.6760680379493417,1.4826568033986174,1.0682767159147322,2.3427934051838606,22,2026-03-30 08:00:00,SL
