label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r,family,shelf_bars,shelf_range,shelf_hold,breakout_buffer,body,close_location,adx_max,range60_max,ema_slope_mode,rr,stop_buffer,max_hold,entry_mode,target_basis,robust_min_trades
SHELFGRID_B6_R2.1_H0.5,36,58.333333333333336,15.95534718540427,0.44320408848345194,1.4743143578215587,2.0446729846745586,4.6967592812006504,4,1.3083158424120815,0.7943400057629186,12.63888888888889,5,4.931994433991882,entry_shelf,6,2.1,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R2.1_H0.6,34,55.88235294117647,12.977149470212034,0.38168086677094215,1.4519914947439512,1.8498908936568639,3.6748682322978254,3,1.277378066047628,0.7940180338282884,11.735294117647058,5,4.931994433991882,entry_shelf,6,2.1,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R2.4_H0.4,38,57.89473684210527,16.429515291355717,0.43235566556199256,1.4731519451976753,2.007779225193228,5.72639798644018,5,1.2956920470028686,0.8006242119115167,12.5,5,4.931994433991882,entry_shelf,6,2.4,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R2.4_H0.5,36,58.333333333333336,15.95534718540427,0.44320408848345194,1.4743143578215587,2.0446729846745586,4.6967592812006504,4,1.3083158424120815,0.7943400057629186,12.63888888888889,5,4.931994433991882,entry_shelf,6,2.4,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B6_R2.4_H0.6,34,55.88235294117647,12.977149470212034,0.38168086677094215,1.4519914947439512,1.8498908936568639,3.6748682322978254,3,1.277378066047628,0.7940180338282884,11.735294117647058,5,4.931994433991882,entry_shelf,6,2.4,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B7_R1.2_H0.4,2,100.0,3.013821159959557,1.5069105799797784,1.5069105799797784,inf,0.0,0,2.0372122926813545,0.0584880295253679,2.5,0,0.0,entry_shelf,7,1.2,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B7_R1.2_H0.5,2,100.0,3.013821159959557,1.5069105799797784,1.5069105799797784,inf,0.0,0,2.0372122926813545,0.0584880295253679,2.5,0,0.0,entry_shelf,7,1.2,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B7_R1.2_H0.6,2,100.0,3.013821159959557,1.5069105799797784,1.5069105799797784,inf,0.0,0,2.0372122926813545,0.0584880295253679,2.5,0,0.0,entry_shelf,7,1.2,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B7_R1.5_H0.4,13,69.23076923076923,9.310851121445149,0.7162193170342422,1.4850886868742845,3.2730905719289156,4.096119721944946,4,1.3549278704598016,0.6188477890467077,6.0,2,2.975433011915786,entry_shelf,7,1.5,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B7_R1.5_H0.5,11,72.72727272727273,8.834358190245936,0.8031234718405397,1.4850886868742845,3.8809433817194927,3.0664810167054184,3,1.4040398335881603,0.579830200020499,6.181818181818182,2,2.975433011915786,entry_shelf,7,1.5,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B7_R1.5_H0.6,11,72.72727272727273,8.834358190245936,0.8031234718405397,1.4850886868742845,3.8809433817194927,3.0664810167054184,3,1.4040398335881603,0.579830200020499,6.181818181818182,2,2.975433011915786,entry_shelf,7,1.5,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B7_R1.8_H0.4,20,70.0,14.648440859139493,0.7324220429569747,1.4850597914901105,3.3832908037634177,3.076731453819046,3,1.4049003077356648,0.6250763817292236,9.4,3,4.472095327967284,entry_shelf,7,1.8,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
SHELFGRID_B7_R1.8_H0.5,18,72.22222222222221,14.171947927940282,0.7873304404411268,1.4850597914901105,3.7697600408562213,2.047092748579518,2,1.4404656671225355,0.6019243654001535,9.88888888888889,3,4.472095327967284,entry_shelf,7,1.8,0.5,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B7_R1.8_H0.6,18,72.22222222222221,14.171947927940282,0.7873304404411268,1.4850597914901105,3.7697600408562213,2.047092748579518,2,1.4404656671225355,0.6019243654001535,9.88888888888889,3,4.472095327967284,entry_shelf,7,1.8,0.6,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,False
SHELFGRID_B7_R2.1_H0.4,22,68.18181818181817,15.058373278826926,0.6844715126739511,1.4785952085017926,3.1007189994780604,4.09862250272187,4,1.363730263906851,0.705222567894356,9.136363636363637,3,4.472095327967284,entry_shelf,7,2.1,0.4,0.05,0.4,0.6,26.0,16.0,standard,1.5,0.25,120,next_open,signal,True
