feature,bucket,label,trades,win_rate,total_r_after_cost,avg_r_after_cost,median_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_mfe_r,avg_mae_r,avg_bars_held,oos_trades,oos_total_r
drop_speed,"(0.25, 0.291]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.908049400318722,0.6564499333687469,1.4850886868742845,2.931124416405507,2.0307769690582207,2,1.5146054991778661,0.5841606437067787,11.222222222222221,1,-1.0183315628511038
drop_speed,"(0.291, 0.347]",CURRENT_PRECALM_SHELF6_RR15,8,75.0,6.872307742396544,0.859038467799568,1.4826043202243953,4.366802439784656,1.0215827889266125,1,1.7727562423365204,0.5990865023048113,15.375,1,1.4887394457033218
drop_speed,"(0.347, 0.464]",CURRENT_PRECALM_SHELF6_RR15,8,50.0,1.9243190708860225,0.2405398838607528,0.23820300436465658,1.4734206165150863,4.064713288261921,4,1.0041640562837528,0.9664152331218504,14.75,1,1.496662316051498
drop_speed,"(0.464, 0.869]",CURRENT_PRECALM_SHELF6_RR15,9,44.44444444444444,0.8407385521155482,0.09341539467950535,-1.0087868711493688,1.1653087111149738,2.5939966950640727,3,1.0387220882260593,0.8668235190666009,11.11111111111111,2,2.9649242350881653
recovery_speed_signal,"(0.134, 0.181]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.937803763703233,0.6597559737448037,1.4850886868742845,2.947571788831194,2.0304925152932602,2,1.5079912646308244,0.6282371489722927,12.11111111111111,2,0.46836200336136025
recovery_speed_signal,"(0.181, 0.23]",CURRENT_PRECALM_SHELF6_RR15,8,62.5,4.382585147322315,0.5478231434152894,1.477684037552256,2.435904093476842,2.0453370182083255,2,1.301691935903262,0.6404498407829022,16.5,0,0.0
recovery_speed_signal,"(0.23, 0.323]",CURRENT_PRECALM_SHELF6_RR15,8,87.5,9.364268348684062,1.1705335435855078,1.4891319319284149,10.183235498341796,1.0197134060620525,1,1.699800235344367,0.3969774135733781,11.5,2,2.9854017617548196
recovery_speed_signal,"(0.323, 0.525]",CURRENT_PRECALM_SHELF6_RR15,9,22.22222222222222,-4.139242493992771,-0.4599158326658635,-1.014261934100237,0.4195003537582039,7.130482371161772,7,0.8457168804376736,1.2921465525303146,12.11111111111111,1,1.4782306688757012
speed_ratio_signal,"(0.256, 0.49]",CURRENT_PRECALM_SHELF6_RR15,9,33.33333333333333,-1.6539717780557164,-0.1837746420061907,-1.0089097263666467,0.7289614702034807,2.5991266763859047,3,0.8607108557619667,0.941874302838482,10.555555555555555,1,1.486693566212464
speed_ratio_signal,"(0.49, 0.636]",CURRENT_PRECALM_SHELF6_RR15,8,75.0,6.940783021223604,0.8675978776529505,1.4807215106803568,4.4239652231498505,1.0183315628511043,1,1.5593606053301565,0.6187377765069533,20.5,2,0.4598991060245974
speed_ratio_signal,"(0.636, 0.874]",CURRENT_PRECALM_SHELF6_RR15,8,87.5,9.461389434875077,1.1826736793593846,1.4896984712515051,10.209246325404129,1.0273793425174658,1,1.7152429455001372,0.24910874965582236,7.0,1,1.496662316051498
speed_ratio_signal,"(0.874, 1.764]",CURRENT_PRECALM_SHELF6_RR15,9,44.44444444444444,0.7972140876738734,0.08857934307487482,-1.0124454062071173,1.1564908935816602,3.0624824831619213,3,1.2502316185663849,1.1292478237250188,14.11111111111111,1,1.4887394457033218
mfe_r,"(0.0214, 0.542]",CURRENT_PRECALM_SHELF6_RR15,9,0.0,-9.16691450790341,-1.0185460564337123,-1.0197134060620525,0.0,8.14752623977751,9,0.24270413328836696,1.3316249334974597,7.666666666666667,0,0.0
mfe_r,"(0.542, 1.59]",CURRENT_PRECALM_SHELF6_RR15,8,37.5,-0.6260591252921393,-0.0782573906615174,-1.0088482987580076,0.8768630015815108,4.0659171465777,4,1.2621390452352808,0.9974706447737947,18.75,2,0.46836200336136025
mfe_r,"(1.59, 1.882]",CURRENT_PRECALM_SHELF6_RR15,8,100.0,11.947610178490816,1.493451272311352,1.4930933671025028,inf,0.0,0,1.6895231853197408,0.3066144512643743,13.875,2,2.974892984927199
mfe_r,"(1.882, 2.93]",CURRENT_PRECALM_SHELF6_RR15,9,100.0,13.39077822042157,1.4878642467135077,1.4887394457033218,inf,0.0,0,2.1552972923957823,0.35172957539902455,12.444444444444445,1,1.4887394457033218
mae_r,"(0.0167, 0.13]",CURRENT_PRECALM_SHELF6_RR15,9,100.0,13.435052104193153,1.4927835671325724,1.4887394457033218,inf,0.0,0,1.882945438829199,0.06022681737267561,5.666666666666667,2,2.9854017617548196
mae_r,"(0.13, 0.868]",CURRENT_PRECALM_SHELF6_RR15,8,100.0,11.96064231378109,1.4950802892226362,1.4890626093783261,inf,0.0,0,1.890020085683842,0.42476136516844937,18.875,1,1.4782306688757012
mae_r,"(0.868, 1.182]",CURRENT_PRECALM_SHELF6_RR15,8,37.5,-0.6766002673303815,-0.08457503341629768,-1.0096258749814084,0.8667449686373737,5.077483832405191,5,0.8351431491450876,0.9955737489853678,10.5,1,1.486693566212464
mae_r,"(1.182, 2.743]",CURRENT_PRECALM_SHELF6_RR15,9,0.0,-9.173679384927022,-1.0192977094363358,-1.0196144197923238,0.0,8.154291116801124,9,0.7163884275003651,1.519794342087677,17.333333333333332,1,-1.0183315628511038
mfe_atr_trade,"(0.0354, 1.032]",CURRENT_PRECALM_SHELF6_RR15,9,0.0,-9.16691450790341,-1.0185460564337123,-1.0197134060620525,0.0,8.14752623977751,9,0.24270413328836696,1.3316249334974597,7.666666666666667,0,0.0
mfe_atr_trade,"(1.032, 2.99]",CURRENT_PRECALM_SHELF6_RR15,8,37.5,-0.6358712041651826,-0.07948390052064783,-1.0088482987580076,0.874933104081641,4.0659171465777,4,1.2739485550964695,1.0607577173622653,17.625,2,0.46836200336136025
mfe_atr_trade,"(2.99, 3.52]",CURRENT_PRECALM_SHELF6_RR15,8,100.0,11.924839803507702,1.4906049754384627,1.4857480089620998,inf,0.0,0,1.7433070542189422,0.2310657947736391,12.125,1,1.4782306688757012
mfe_atr_trade,"(3.52, 6.059]",CURRENT_PRECALM_SHELF6_RR15,9,100.0,13.42336067427773,1.4914845193641921,1.496662316051498,inf,0.0,0,2.0969920668309907,0.36262876108992664,15.0,2,2.9854017617548196
mae_atr_trade,"(0.037399999999999996, 0.216]",CURRENT_PRECALM_SHELF6_RR15,9,100.0,13.435052104193153,1.4927835671325724,1.4887394457033218,inf,0.0,0,1.882945438829199,0.06022681737267561,5.666666666666667,2,2.9854017617548196
mae_atr_trade,"(0.216, 1.718]",CURRENT_PRECALM_SHELF6_RR15,8,100.0,11.944177409749834,1.4930221762187292,1.4876471834078044,inf,0.0,0,1.863535570550398,0.4310190898955494,13.5,2,2.9649242350881653
mae_atr_trade,"(1.718, 2.274]",CURRENT_PRECALM_SHELF6_RR15,8,37.5,-0.6546603003482572,-0.08183253754353215,-1.007796607452534,0.870926820101163,5.072008769454323,5,0.9585620195244674,1.0093425858835363,17.125,0,0.0
mae_atr_trade,"(2.274, 5.821]",CURRENT_PRECALM_SHELF6_RR15,9,0.0,-9.17915444787789,-1.01990604976421,-1.0196144197923238,0.0,8.15976617975199,9,0.6302245561706444,1.501992953976327,16.22222222222222,1,-1.0183315628511038
bars_held,"(0.999, 5.0]",CURRENT_PRECALM_SHELF6_RR15,11,63.63636363636363,6.373908654619026,0.5794462413290024,1.4782306688757012,2.5688089140715573,2.0436450104059847,2,1.1989993228592808,0.6301434120360866,3.3636363636363638,2,2.974892984927199
bars_held,"(5.0, 11.0]",CURRENT_PRECALM_SHELF6_RR15,8,75.0,6.972816896216953,0.8716021120271191,1.4869140662888032,4.415299727760457,2.041641276617702,2,1.6234187975075502,0.48912269686093923,9.125,1,1.4887394457033218
bars_held,"(11.0, 17.5]",CURRENT_PRECALM_SHELF6_RR15,6,50.0,1.4189171162664151,0.23648618604440252,0.23349008007520577,1.463338563936124,2.0407936819902934,2,1.0002641870411657,0.8741892518395923,14.166666666666666,1,1.486693566212464
bars_held,"(17.5, 57.0]",CURRENT_PRECALM_SHELF6_RR15,9,44.44444444444444,0.7797720986144439,0.08664134429049376,-1.0087868711493688,1.1533701719131768,4.0659171465777,4,1.4463758468708923,1.054797414450188,27.444444444444443,1,-1.0183315628511038
risk_atr_entry,"(1.4980000000000002, 1.827]",CURRENT_PRECALM_SHELF6_RR15,9,66.66666666666666,5.889326760792974,0.6543696400881083,1.4764691947454684,2.9375565279756573,2.0212322773564857,2,1.3544344080405566,0.6908599982046582,12.444444444444445,2,0.46836200336136025
risk_atr_entry,"(1.827, 1.987]",CURRENT_PRECALM_SHELF6_RR15,8,75.0,6.891724477538788,0.8614655596923485,1.4869140662888032,4.352029755127256,2.0559854717868253,2,1.6310830847217601,0.4640358894694264,8.875,3,4.463632430630521
risk_atr_entry,"(1.987, 2.108]",CURRENT_PRECALM_SHELF6_RR15,8,37.5,-0.5583129965196942,-0.06978912456496178,-1.007858035061173,0.8900053060176687,5.07581753542928,5,1.109015576116948,0.8829454362132959,16.875,0,0.0
risk_atr_entry,"(2.108, 2.182]",CURRENT_PRECALM_SHELF6_RR15,9,55.55555555555556,3.322676523904771,0.3691862804338635,1.401180790569046,1.8144221482258132,3.060408101782617,3,1.2316235240580933,0.9543645287855566,13.777777777777779,0,0.0
