filter,research_events,research_wr,research_pf,research_avg_r,research_total_r,oos_events,oos_wr,oos_pf,oos_avg_r,oos_total_r,score
long + sym=XAU/EUR/USD + w3<=1.2 + preATR<=5,35,45.714285714285715,2.675280174230923,0.656562217504113,22.979677612643957,8,37.5,1.2,0.125,1.0,4.656842391735037
long + sym=XAU/EUR/USD + w3<=1.2,40,42.5,2.253393625981922,0.5381002165069434,21.524008660277737,8,37.5,1.2,0.125,1.0,4.116493842488865
long + sym=XAU/EUR/USD + w3<=1.2 + w3<=1.3,40,42.5,2.253393625981922,0.5381002165069434,21.524008660277737,8,37.5,1.2,0.125,1.0,4.116493842488865
long + w3<=1.2 + w2<=0.618 + preATR<=5,39,38.46153846153847,2.0746511514014765,0.4776918135057474,18.62998072672415,8,37.5,1.2,0.125,1.0,3.877342964907224
long + w3<=1.2 + w2<=0.618,46,39.130434782608695,1.966916720767064,0.4484778418853076,20.62998072672415,8,37.5,1.2,0.125,1.0,3.7403945626523716
long + w3<=1.2 + w3<=1.3 + w2<=0.618,46,39.130434782608695,1.966916720767064,0.4484778418853076,20.62998072672415,8,37.5,1.2,0.125,1.0,3.7403945626523716
sym=XAU/EUR/USD + w3<=1.2,71,33.80281690140845,1.5490638522408438,0.27973322395068706,19.86105890049878,8,37.5,1.2,0.125,1.0,3.153797076191531
sym=XAU/EUR/USD + w3<=1.2 + w3<=1.3,71,33.80281690140845,1.5490638522408438,0.27973322395068706,19.86105890049878,8,37.5,1.2,0.125,1.0,3.153797076191531
sym=XAU/EUR/USD + w3<=1.2 + preATR<=5,63,33.33333333333333,1.5067197984708263,0.2631477641022646,16.57830913844267,8,37.5,1.2,0.125,1.0,3.0948675625730906
sym=XAU/EUR/USD + w3<=1.2 + w3<=1.3 + preATR<=5,63,33.33333333333333,1.5067197984708263,0.2631477641022646,16.57830913844267,8,37.5,1.2,0.125,1.0,3.0948675625730906
long + w2<=0.618,150,28.666666666666668,1.4095069876788546,0.2021105924467105,30.316588867006576,21,28.57142857142857,1.1959747774342186,0.1119855871052678,2.351697329210624,2.919577944665052
long + w2<=0.618 + early<=0.05 + preATR<=5,52,28.846153846153843,1.30513643904668,0.16133045584277683,8.389183703824395,8,25.0,1.1903341214670975,0.11895882591693596,0.9516706073354877,2.7757598422734904
