symbol,strategy,family,signal_time,period,rr,max_hold,signal_kind,shelf_high,shelf_low,shelf_range_atr,sharp_drop_atr,signal_range_atr,body_ratio,close_location,lower_wick_ratio,d1_ema50_prev,stop,entry_time,entry,target,exit_time,exit,exit_reason,bars_held,risk,r_clean,r_after_cost,mfe_r,mae_r
EURJPY,CAP_DEFAULT_RR2,capitulation,2016-03-22 08:00:00,DEV_2015_2021,2.0,120,capitulation,,,,4.09653482740646,2.03754350054249,0.2842105263157994,0.6842105263157785,0.6842105263157785,126.62629207133118,124.55343807141455,2016-03-22 12:00:00,125.33,126.8831238571709,2016-03-28 12:00:00,126.8831238571709,target,26,0.7765619285854513,2.0,1.9839034086788698,2.189136419675689,0.3863181917074702
XAUUSD,CAP_DEFAULT_RR2,capitulation,2016-05-27 00:00:00,DEV_2015_2021,2.0,120,capitulation,,,,7.191567502426539,1.904405098786751,0.33484044865662926,0.5799495696026508,0.5799495696026508,1249.9171030517984,1210.0292109315756,2016-05-27 04:00:00,1218.199,1234.538578136849,2016-05-27 16:00:00,1210.0292109315756,stop,4,8.169789068424507,-1.0,-1.042840763337802,0.6526484289059036,1.4100731247179608
CHFJPY,CAP_DEFAULT_RR2,capitulation,2016-06-01 04:00:00,DEV_2015_2021,2.0,120,capitulation,,,,4.979057006079755,2.5661100656649154,0.336594911937384,0.5410958904109533,0.5410958904109533,112.27483043862493,110.25143295359048,2016-06-01 08:00:00,110.907,112.21813409281903,2016-06-02 12:00:00,110.25143295359048,stop,8,0.6555670464095158,-1.0,-1.0305079398202648,0.1266079502540316,1.9387795755768358
EURJPY,CAP_DEFAULT_RR2,capitulation,2016-06-01 04:00:00,DEV_2015_2021,2.0,120,capitulation,,,,4.787401441709567,2.5474246203592346,0.25862068965516755,0.6293103448275837,0.6293103448275837,123.69859534565485,121.87615953630882,2016-06-01 08:00:00,122.71,124.37768092738234,2016-06-02 12:00:00,121.87615953630882,stop,8,0.8338404636911747,-1.0,-1.0149908772052807,0.10793431587812254,1.9907884928630692
EURJPY,CAP_DEFAULT_RR2,capitulation,2016-06-16 12:00:00,DEV_2015_2021,2.0,120,capitulation,,,,7.28883590750371,1.8935944831865192,0.4523809523809502,0.507936507936512,0.507936507936512,122.44274553416342,115.31364970546919,2016-06-16 16:00:00,116.13,117.76270058906161,2016-06-16 20:00:00,117.76270058906161,target,2,0.8163502945308068,2.0,1.9846879457461666,2.3641811767940437,0.08574750382153697
USDJPY,CAP_DEFAULT_RR2,capitulation,2016-06-23 20:00:00,DEV_2015_2021,2.0,120,capitulation,,,,5.29636278978549,5.29636278978549,0.2602991340855398,0.5085279454211509,0.5085279454211509,107.81639172067858,102.81811239829767,2016-06-24 00:00:00,104.936,109.17177520340468,2016-06-24 00:00:00,102.81811239829767,stop,1,2.1178876017023356,-1.0,-1.0047216858873687,0.3630976447389735,2.8240403292377483
USDJPY,CAP_DEFAULT_RR2,capitulation,2016-07-28 20:00:00,DEV_2015_2021,2.0,120,capitulation,,,,5.051772135832403,3.0394604094189033,0.25752343364577757,0.7286630488406527,0.7286630488406527,105.26724111600053,103.18727632811743,2016-07-29 00:00:00,104.832,108.12144734376511,2016-07-29 00:00:00,103.18727632811743,stop,1,1.6447236718825593,-1.0,-1.0060800486859565,0.47789182671660685,1.2962663798470733
SILVER,CAP_DEFAULT_RR2,capitulation,2016-08-21 20:00:00,DEV_2015_2021,2.0,120,capitulation,,,,7.07529232015687,1.9273197717989996,0.17368421052631347,0.7631578947368418,0.5894736842105284,19.422338220789506,18.653708750364075,2016-08-22 00:00:00,18.993,19.671582499271846,2016-08-24 12:00:00,18.653708750364075,stop,16,0.3392912496359237,-1.0,-1.1031562117725018,0.34778379969015394,1.3262941513607307
GBPJPY,CAP_DEFAULT_RR2,capitulation,2016-09-08 12:00:00,DEV_2015_2021,2.0,120,capitulation,,,,6.461256404196691,1.9172867668239415,0.4399999999999977,1.0,0.5600000000000023,136.1706851587594,134.87960740337547,2016-09-08 16:00:00,135.99,138.21078519324908,2016-09-13 12:00:00,134.87960740337547,stop,19,1.1103925966245356,-1.0,-1.0180116474666523,0.9996464344000997,1.3778910312001569
USDJPY,CAP_DEFAULT_RR2,capitulation,2016-09-21 00:00:00,DEV_2015_2021,2.0,120,capitulation,,,,4.3565226055556945,2.2564552982621966,0.38242574257426865,0.8985148514851573,0.5160891089108887,102.48959164594716,101.1054790597201,2016-09-21 04:00:00,101.921,103.55204188055983,2016-09-21 04:00:00,101.1054790597201,stop,1,0.8155209402799102,-1.0,-1.0122621008315968,1.0582193017677672,1.114624965593172
