symbol,side,signal_dt,r_clean,r_after_cost,exit_reason,year,period,group
EURJPY,long,2024-04-19 00:00:00,2.0,1.96,TP,2024,IS_2015_2024,fx
EURJPY,long,2024-07-12 08:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
EURJPY,long,2024-07-17 20:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
EURJPY,long,2024-09-11 12:00:00,-1.0,-1.04,SL,2024,IS_2015_2024,fx
EURJPY,long,2025-07-22 12:00:00,2.0,1.96,TP,2025,OOS_2025_2026,fx
EURJPY,long,2025-10-17 04:00:00,2.0,1.96,TP,2025,OOS_2025_2026,fx
EURJPY,long,2025-11-05 00:00:00,2.0,1.96,TP,2025,OOS_2025_2026,fx
EURJPY,long,2026-03-03 12:00:00,-1.0,-1.04,SL,2026,OOS_2025_2026,fx
EURJPY,short,2015-02-11 20:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
EURJPY,short,2015-03-18 20:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
EURJPY,short,2015-06-18 16:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
EURJPY,short,2015-07-31 12:00:00,2.0,1.96,TP,2015,IS_2015_2024,fx
EURJPY,short,2015-10-05 08:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,short,2015-12-02 08:00:00,-1.0,-1.04,SL,2015,IS_2015_2024,fx
EURJPY,short,2016-03-29 08:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
EURJPY,short,2016-07-12 04:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
EURJPY,short,2016-12-30 00:00:00,-1.0,-1.04,SL,2016,IS_2015_2024,fx
EURJPY,short,2017-05-04 08:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
EURJPY,short,2017-07-25 12:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
EURJPY,short,2017-09-07 12:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
EURJPY,short,2017-10-19 04:00:00,-1.0,-1.04,SL,2017,IS_2015_2024,fx
EURJPY,short,2017-11-02 12:00:00,2.0,1.96,TP,2017,IS_2015_2024,fx
EURJPY,short,2018-05-10 12:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
EURJPY,short,2018-09-18 04:00:00,-1.0,-1.04,SL,2018,IS_2015_2024,fx
