timeframe,family,strategy,period,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,max_losing_streak,avg_hold_bars,avg_fwd_4_atr,avg_fwd_8_atr,avg_fwd_16_atr,avg_fwd_24_atr,avg_mfe_16_atr,avg_mae_16_atr,hit_1atr_first_16
D1,RSI 70/30否定,RSI_70_30_REJECT_6_Q,OOS_2025_2026,30,46.666666666666664,4.365172645175784,0.1455057548391928,1.2695272045736798,4.072292162431462,4,3.7,0.13618146273413673,0.1386032347836411,-1.8851139830137087,-2.573776128026163,1.9029790624772156,-3.5079027184501865,50.0
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,OOS_2025_2026,22,45.45454545454545,3.2616849527716183,0.14825840694416448,1.2826643808288203,5.063585627713229,4,4.2727272727272725,-0.7487527117052338,-0.7261938731995109,-0.9662224625357392,-0.8411269246493244,1.8038665963350191,-2.8424401929672674,50.0
D1,RSI 70/30否定,RSI_70_30_REJECT_6,OOS_2025_2026,46,43.47826086956522,2.4895889320206646,0.05412149852218836,1.0946506901059085,4.640867557765199,4,3.8043478260869565,0.057866123040252335,-0.21860588008898904,-1.6788390213708906,-2.2873088071796372,1.8369048196743638,-3.4238556716655824,47.82608695652174
H4,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,OOS_2025_2026,153,42.48366013071895,0.9460756126105476,0.006183500736016651,1.0103567025184432,21.539276926176367,11,4.137254901960785,0.05332877122129676,-0.01839674977720237,-0.26462596162042207,-0.5576450284206711,1.8706395903972945,-2.0205704131931417,52.28758169934641
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6_Q,Research_2015_2024,247,40.89068825910931,-0.6668326578819865,-0.0026997273598460994,0.9955216386859767,20.345733647143,9,3.8785425101214575,-0.05902771795004481,0.03581448932533164,0.028077322667240556,0.17556451871949472,2.147397950852744,-2.1656946888779434,49.797570850202426
H4,EMA200クロス否定,EMA200_CROSS_FAIL_6,OOS_2025_2026,218,41.74311926605505,-1.381662217034867,-0.006337900078141592,0.9894526566295949,24.18929306776826,8,4.279816513761468,-0.0723954319918601,-0.08410875508383166,-0.2880064479451069,-0.4004233157587638,1.7905019996525426,-2.0165041842258216,51.8348623853211
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,OOS_2025_2026,66,37.878787878787875,-4.529923655441187,-0.06863520690062404,0.8890005994968083,19.737785751253462,13,3.393939393939394,0.12062844695449867,-0.10632185036847235,-0.3171154994103353,0.003692742137293214,2.0722022915492038,-2.5044528829716897,45.45454545454545
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,OOS_2025_2026,52,36.53846153846153,-5.327860165326665,-0.1024588493332051,0.8370696769355237,13.099023640015181,8,3.3846153846153846,0.10433645267505297,-0.07412368276793528,-0.055206923920738366,0.726827072186626,2.19394456389447,-2.3113452778810886,44.230769230769226
D1,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,Research_2015_2024,391,39.38618925831202,-8.949413834304917,-0.022888526430447358,0.9632876521285605,25.13979841995969,13,3.547314578005115,0.02669509435372307,0.11816960804491483,-0.0620302990322339,-0.003361232543685543,2.228135780026439,-2.2515007493500234,49.36061381074169
D1,EMA200クロス否定,EMA200_CROSS_FAIL_6,Research_2015_2024,356,40.168539325842694,-10.71280981931218,-0.03009216241379826,0.9508497985602795,23.429226111099965,8,3.851123595505618,-0.056818325597554356,0.10404098554353941,-0.10970231894633418,-0.09140009149570547,2.1522433002273846,-2.201263916921755,48.87640449438202
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,Research_2015_2024,1499,42.428285523682455,-10.967499986637801,-0.00731654435399453,0.9880753367328962,65.49427023433826,11,3.496330887258172,0.07178161540775747,0.004588368192610831,-0.01751187818264175,0.07356435014277687,2.2751593565821153,-2.2213508350564326,50.166777851901266
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6_Q,OOS_2025_2026,158,37.9746835443038,-13.810289118609221,-0.08740689315575456,0.8626008728442368,25.507482473170136,8,3.892405063291139,0.0549609314385668,0.12786070807522637,0.6029724299539354,0.28092243450199383,2.832267167449815,-2.2413729468570267,51.89873417721519
H4,Bollinger外側否定,BB_OUTER_REJECT_12,OOS_2025_2026,731,40.62927496580027,-20.55666717166113,-0.02812129572046666,0.9542108632196918,52.49486558941304,15,3.60328317373461,0.12028811345677551,-0.07151627183464358,-0.23163161749006897,-0.1812813399752043,2.3178948084693847,-2.4933325965663427,51.70998632010944
H4,Bollinger外側否定,BB_OUTER_REJECT_6,OOS_2025_2026,728,40.38461538461539,-24.981133697957155,-0.03431474409060049,0.9443555446867462,52.49486558941304,15,3.5961538461538463,0.11576775523325591,-0.07654078067931967,-0.24775956613784433,-0.19873934099548118,2.309567932914989,-2.501220717528577,51.51098901098901
H4,Bollinger外側否定,BB_OUTER_REJECT_3,OOS_2025_2026,722,40.30470914127424,-26.15257188836943,-0.03622239873735378,0.9413416229696183,55.88126686933947,15,3.598337950138504,0.11382749436295882,-0.07222134406571369,-0.250432147087041,-0.20950998425349932,2.308040198037267,-2.509235754985663,51.38504155124654
H4,MACDクロス否定,MACD_SIGNAL_CROSS_FAIL_6,OOS_2025_2026,201,35.82089552238806,-27.983998180019075,-0.13922387154238347,0.7889696712023188,43.31836021614467,10,3.537313432835821,-0.05137649742608445,-0.07066999402993888,-0.21819623595427756,-1.0730654151880445,2.00600681222757,-2.300667090888177,50.24875621890548
