family,direction,lookback,pre_bars,trigger_atr,move_atr,wick_ratio,wick_max,close_location,range_atr,body_min,body_max,h4,rr,max_hold,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,worst_year_r,worst_2y_r,is_trades,is_r,oos_trades,oos_r,score
wick_sweep,short,24,12,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.2,24,106,41.509433962264154,-18.13228144442234,-0.1710592589096447,0.730404577087355,21.50106517577356,6,-4.711965000930388,-7.399867041546423,98,-16.226229550360152,8,-1.9060518940621882,-68.20060756873528
wick_sweep,long,48,12,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,68,45.588235294117645,-9.949170030203575,-0.14631132397358199,0.7429419445612327,11.802120480331782,6,-3.3009806047663686,-4.619975621822405,60,-6.237629788460071,8,-3.7115402417435055,-68.75235694269958
wick_sweep,long,48,6,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,68,45.588235294117645,-9.949170030203575,-0.14631132397358199,0.7429419445612327,11.802120480331782,6,-3.3009806047663686,-4.619975621822405,60,-6.237629788460071,8,-3.7115402417435055,-68.75235694269958
wick_sweep,long,48,12,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,68,45.588235294117645,-9.949170030203575,-0.14631132397358199,0.7429419445612327,11.802120480331782,6,-3.3009806047663686,-4.619975621822405,60,-6.237629788460071,8,-3.7115402417435055,-68.75235694269958
wick_sweep,long,24,6,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,12,118,46.61016949152542,-9.577949122189413,-0.08116906035753739,0.8300707769941661,13.151246430904347,7,-4.344188117400052,-6.778899765069013,108,-5.862565030605178,10,-3.7153840915842364,-68.82465668758726
wick_sweep,long,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,align,1.0,12,125,48.0,-10.188202695653143,-0.08150562156522514,0.8311434705881128,14.025655636047993,6,-4.454480463461226,-6.227378822471827,113,-6.312145429373811,12,-3.876057266279331,-68.97894878437886
wick_sweep,short,24,12,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,align,1.2,12,79,41.77215189873418,-16.59117622690021,-0.2100148889481039,0.6487182171917673,18.69796747387706,6,-3.4030896711309393,-6.754844591977461,73,-14.618045263811752,6,-1.9731309630884573,-68.99423664533902
wick_sweep,long,48,6,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,65,44.61538461538462,-10.564110405126971,-0.16252477546349187,0.7183176334473725,11.378074472603073,6,-3.3009806047663686,-4.619975621822405,57,-6.852570163383465,8,-3.7115402417435055,-70.25308605817386
wick_sweep,long,48,6,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,81,45.67901234567901,-10.85500259698567,-0.13401237774056382,0.7602398637367407,12.60077794542458,6,-4.35902884880397,-5.024287866524013,71,-7.017225392167374,10,-3.8377772048182948,-70.5060579299402
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.65,1.0,0.0,0.65,not_oppose,1.0,24,139,46.76258992805755,-21.450441104001722,-0.15431972017267426,0.7341457571967995,30.5507842754909,7,-5.823113378936068,-10.453821206943356,127,-20.63284665490489,12,-0.8175944490968353,-70.59483631365599
wick_sweep,short,24,6,0.05,1.2,0.65,1.0,0.65,1.0,0.0,0.65,align,1.2,12,79,43.037974683544306,-13.135695198056679,-0.16627462276021113,0.7201327734140066,22.32786838831678,15,-4.662317139172973,-9.227895617979792,74,-12.231914631496394,5,-0.9037805665602836,-71.08465027405296
wick_sweep,long,24,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,align,1.0,24,124,49.193548387096776,-11.731701738853346,-0.0946104978939786,0.8204676850449941,14.304674833790866,6,-4.454480463461226,-5.905191901452822,112,-7.774024808917293,12,-3.9576769299360497,-71.11912747975151
wick_sweep,long,48,6,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,85,45.88235294117647,-11.353495610672585,-0.13357053659614807,0.7614221083505086,14.138257341763603,6,-4.35902884880397,-5.024287866524013,75,-7.51571840585429,10,-3.8377772048182948,-71.71108913610168
wick_sweep,long,48,12,0.05,0.8,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,85,45.88235294117647,-11.353495610672585,-0.13357053659614807,0.7614221083505086,14.138257341763603,6,-4.35902884880397,-5.024287866524013,75,-7.51571840585429,10,-3.8377772048182948,-71.71108913610168
wick_sweep,long,48,12,0.05,1.2,0.55,1.0,0.75,1.0,0.0,0.65,not_oppose,1.0,24,85,45.88235294117647,-11.353495610672585,-0.13357053659614807,0.7614221083505086,14.138257341763603,6,-4.35902884880397,-5.024287866524013,75,-7.51571840585429,10,-3.8377772048182948,-71.71108913610168
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.65,1.0,0.0,0.65,align,1.2,24,105,43.80952380952381,-13.497001608096408,-0.12854287245806104,0.790845181858727,25.280473616984104,7,-5.629576656062577,-10.287018984340218,97,-11.62133506984298,8,-1.8756665382534283,-71.76561805786919
wick_sweep,short,24,6,0.05,1.2,0.55,1.0,0.65,1.0,0.0,0.65,not_oppose,1.0,12,139,46.76258992805755,-21.295050380041253,-0.15320180129526081,0.7180196749745033,29.13966087452223,7,-5.908691375549269,-11.731804754485339,127,-20.477455930944416,12,-0.8175944490968353,-72.08864798681999
wick_sweep,short,24,6,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,align,1.2,12,59,37.28813559322034,-17.20709299480536,-0.2916456439797519,0.5455135058221064,18.904463485875343,9,-4.4599312287463695,-7.9047361400420755,54,-16.303312428245082,5,-0.9037805665602836,-72.42342536304874
wick_sweep,long,48,12,0.05,1.2,0.65,1.0,0.75,1.0,0.0,0.65,align,1.0,24,44,40.909090909090914,-9.843088790960294,-0.22370656343091577,0.6317559729713921,9.717029628592714,5,-3.3009806047663686,-4.472862667413388,38,-6.217329941226572,6,-3.62575884973372,-72.42512649294045
wick_sweep,long,48,6,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,align,1.0,24,44,40.909090909090914,-9.843088790960294,-0.22370656343091577,0.6317559729713921,9.717029628592714,5,-3.3009806047663686,-4.472862667413388,38,-6.217329941226572,6,-3.62575884973372,-72.42512649294045
wick_sweep,long,48,12,0.05,0.8,0.65,1.0,0.75,1.0,0.0,0.65,align,1.0,24,44,40.909090909090914,-9.843088790960294,-0.22370656343091577,0.6317559729713921,9.717029628592714,5,-3.3009806047663686,-4.472862667413388,38,-6.217329941226572,6,-3.62575884973372,-72.42512649294045
