signal_i,signal_time,entry_hour,atr,rsi14,bb_z,range_atr,body_ratio,ema20_dist_atr,ema100_slope_atr,h4_slope_atr,family,direction,lookback,move_6_atr,move_12_atr,trigger_atr,wick_ratio,close_location,h4_align,h4_oppose,h4_neutral,h4_context,stop_anchor,range_width_atr,entry_i,entry_time,entry,stop,target,risk,risk_atr,exit_i,exit_time,exit,exit_reason,bars_held,r_after_cost,sample,year
34490,2019-07-19 09:00:00,10,0.12487292551565268,54.65184625322662,0.9718063222248561,1.5295549392413863,0.06282722513089628,0.4490448161547695,-0.46307131261371637,-0.19972596310680185,failed_sweep,short,48,1.7377666063633468,2.3624016077288874,0.1201221156472412,0.8062827225131194,0.8062827225131194,False,False,True,H4中立,109.6,999.0,34491,2019-07-19 10:00:00,109.446,109.61873093882734,109.30781524893813,0.17273093882734258,1.3832537206449202,34493,2019-07-19 12:00:00,109.61873093882734,SL,2,-1.1157870161291819,IS_2014_2024,2019
38252,2020-02-27 14:00:00,15,0.15228202265557228,62.24630435627819,1.4996876460070223,1.3133526631200447,0.24000000000000568,1.065346716115597,0.002060729205754769,0.22218031451560308,failed_sweep,short,48,2.0422633911516868,2.3968686101941072,0.26923729593958445,0.6249999999999911,0.8649999999999968,False,True,True,H4逆,113.554,999.0,38253,2020-02-27 15:00:00,113.381,113.57684230339834,113.22432615728133,0.19584230339833653,1.286050053598827,38259,2020-02-27 21:00:00,113.22432615728133,TP,6,0.6978770181265422,IS_2014_2024,2020
38603,2020-03-19 04:00:00,5,0.4189760347827269,65.10641044399617,2.015096434802276,1.276922677158496,0.11775700934579648,1.529522956992751,-0.0751409066762735,-0.0661242739191516,failed_sweep,short,48,3.200660392653307,4.329603245542943,0.18855493737482062,0.6934579439252371,0.8112149532710335,False,False,True,H4中立,113.022,999.0,38604,2020-03-19 05:00:00,112.588,113.08484640521742,112.19052287582605,0.4968464052174255,1.185858769881864,38605,2020-03-19 06:00:00,112.19052287582605,TP,1,0.7597461110919131,IS_2014_2024,2020
38638,2020-03-20 15:00:00,16,0.4109837028651285,60.65107614032574,1.9252484660873261,1.1022334872209345,0.1081677704194399,1.1084055529439754,0.3189449479580995,0.07317503791177257,failed_sweep,short,48,2.4672511170905422,2.036577105527417,0.3017151267447897,0.6953642384105865,0.8035320088300264,False,True,True,H4逆,113.146,999.0,38639,2020-03-20 16:00:00,112.778,113.20764755542977,112.43428195565619,0.4296475554297672,1.045412634210373,38640,2020-03-20 17:00:00,112.43428195565619,TP,1,0.7534502180979435,IS_2014_2024,2020
38972,2020-04-09 13:00:00,14,0.2013212650110491,56.01777510666326,1.3737968457922076,1.6739413989948242,0.2136498516320535,0.7063249616624672,0.6510367432557457,0.01911853006699547,failed_sweep,short,48,1.5696305106301587,1.9421693976468215,0.21358896188957685,0.5756676557863523,0.7893175074184058,False,False,True,H4中立,112.519,999.0,38973,2020-04-09 14:00:00,112.252,112.54919818975166,112.01424144819866,0.29719818975166845,1.4762384377793243,38983,2020-04-10 00:00:00,112.01424144819866,TP,10,0.7327048390950102,IS_2014_2024,2020
40341,2020-06-29 14:00:00,15,0.13945083922406895,60.90926522293264,1.0783462115836666,1.6636687257738392,0.0517241379310366,0.9993321154301354,0.9412739926663817,0.338871221279031,failed_sweep,short,48,2.6604357640608263,3.549638014043364,0.3298653508000328,0.9051724137931404,0.956896551724177,False,True,True,H4逆,113.608,999.0,40342,2020-06-29 15:00:00,113.386,113.62891762588362,113.1916658992931,0.24291762588362076,1.7419588669043566,40343,2020-06-29 16:00:00,113.1916658992931,TP,1,0.7176675635320426,IS_2014_2024,2020
41604,2020-09-10 06:00:00,7,0.12461388489883564,68.27873096218208,0.74876029756829,1.1234703108217494,0.2428571428570834,1.65358834667601,0.5995342267540971,-0.2357329261805686,failed_sweep,short,48,1.4043378885271582,1.853726012855835,0.4493881243286769,0.7428571428571341,0.9857142857142176,False,False,True,H4中立,116.609,999.0,41605,2020-09-10 07:00:00,116.47,116.62769208273482,116.34384633381214,0.15769208273482604,1.2654455228873094,41606,2020-09-10 08:00:00,116.62769208273482,SL,1,-1.1268294492225213,IS_2014_2024,2020
41988,2020-10-04 23:00:00,0,0.20441405633251136,64.32001209544259,2.2329476688263528,1.6583986741526338,0.04424778761062132,1.7660770421474001,-0.0982714769436517,-0.24982681349912703,failed_sweep,short,48,3.854920811894617,4.740378511073447,0.29841392071769673,0.8466076696164988,0.8908554572271201,False,False,True,H4中立,115.231,999.0,41989,2020-10-05 00:00:00,114.928,115.26166210844987,114.6610703132401,0.33366210844987165,1.6322855406142822,41997,2020-10-05 08:00:00,115.26166210844987,SL,8,-1.0599408787918,IS_2014_2024,2020
45322,2021-04-20 07:00:00,8,0.13485448855610724,67.76237886299944,2.1623651681154676,1.1048946282422651,0.16778523489936598,1.906444407661788,0.3463325202071918,0.33819712711938954,failed_sweep,short,48,2.8400982725959447,3.411084087190924,0.11123100284318459,0.617449664429518,0.785234899328884,False,True,True,H4逆,118.644,999.0,45323,2021-04-20 08:00:00,118.527,118.66422817328342,118.41721746137327,0.1372281732834182,1.0176018221768226,45324,2021-04-20 09:00:00,118.41721746137327,TP,1,0.654257332721999,IS_2014_2024,2021
49238,2021-12-03 12:00:00,13,0.14888279967537857,66.15445361501284,1.985526607570609,1.2224380546096107,0.1483516483516522,1.246723814582278,0.05528603860210878,-0.18770207022434304,failed_sweep,short,48,2.639660194843803,2.794144124821913,0.577635564266063,0.6868131868131787,0.8351648351648309,False,False,True,H4中立,123.36,999.0,49239,2021-12-03 13:00:00,123.207,123.38233241995131,123.06673406403894,0.17533241995131732,1.177653968985061,49239,2021-12-03 13:00:00,123.06673406403894,TP,0,0.685930964703713,IS_2014_2024,2021
