extra_groups,bb_lo,bb_hi,slope_min,macd_hist_pos,body_min,close_min,adx_mode,rsi_mode,width_mode,trigger_mode,positive_symbols,positive_years,positive_windows,worst_window_total_r,all_trades,all_win_rate,all_total_r,all_avg_r,all_median_r,all_pf,all_max_dd_r,all_max_losing_streak,train_trades,train_win_rate,train_total_r,train_avg_r,train_median_r,train_pf,train_max_dd_r,train_max_losing_streak,test_trades,test_win_rate,test_total_r,test_avg_r,test_median_r,test_pf,test_max_dd_r,test_max_losing_streak,score
close,0.75,1.1,-0.02,True,,0.75,none,none,none,all,7,9,5,2.6374956154767086,150,51.33333333333333,60.78179882946345,0.405211992196423,0.15326351032857716,1.9079576852278715,6.306242780659676,7,88,45.45454545454545,21.956396456998615,0.24950450519316608,-0.31230469546038286,1.5056096920644073,6.306242780659676,7,62,59.67741935483871,38.82540237246483,0.6262161672978198,0.8640095960428269,2.6508913554971762,4.922940418947871,5,119.29706139604849
close,0.75,1.05,0.0,True,,0.75,none,none,none,all,7,9,5,1.915118202171303,108,54.629629629629626,56.572408397016346,0.5238185962686699,0.5664433750791378,2.2823358103960905,4.617236844874942,6,61,47.540983606557376,21.341129118086968,0.34985457570634376,-0.2799700689991615,1.744296852421069,4.617236844874942,6,47,63.829787234042556,35.2312792789294,0.7496016867857319,1.648857047281676,3.2812549931759274,3.0355015194464237,3,119.18985192445209
close,0.7,1.05,-0.02,True,,0.75,none,none,none,all,7,9,5,3.790755902263147,141,51.77304964539007,60.95818979070515,0.43232758716812164,0.1853333594102788,1.9858245933550767,5.2598154863016235,6,83,48.19277108433735,27.79106819299302,0.33483214690353036,-0.1337934440297054,1.7250584879010937,5.2598154863016235,6,58,56.896551724137936,33.16712159771213,0.571846924098485,0.7231041758706447,2.411048254786901,4.922940418947871,5,118.78192528786288
width,0.5,1.05,0.0,False,,,none,none,bb_width_le_7,all,7,9,5,0.8096328720222157,138,52.17391304347826,62.921267884878944,0.4559512165570938,0.2794096295403485,2.045649538272507,9.879125325231065,11,80,45.0,22.40069464710203,0.28000868308877536,-0.31230469546038286,1.5575587156281867,9.879125325231065,11,58,62.06896551724138,40.520573237776915,0.6986305730651192,0.9145579211080597,3.026236317344803,5.22516112353777,3,118.77675141928435
width,0.55,1.05,0.0,False,,,none,none,bb_width_le_7,all,7,9,5,0.8096328720222157,138,52.17391304347826,62.921267884878944,0.4559512165570938,0.2794096295403485,2.045649538272507,9.879125325231065,11,80,45.0,22.40069464710203,0.28000868308877536,-0.31230469546038286,1.5575587156281867,9.879125325231065,11,58,62.06896551724138,40.520573237776915,0.6986305730651192,0.9145579211080597,3.026236317344803,5.22516112353777,3,118.77675141928435
width,0.6,1.05,0.0,False,,,none,none,bb_width_le_7,all,7,9,5,0.8096328720222157,138,52.17391304347826,62.921267884878944,0.4559512165570938,0.2794096295403485,2.045649538272507,9.879125325231065,11,80,45.0,22.40069464710203,0.28000868308877536,-0.31230469546038286,1.5575587156281867,9.879125325231065,11,58,62.06896551724138,40.520573237776915,0.6986305730651192,0.9145579211080597,3.026236317344803,5.22516112353777,3,118.77675141928435
width,0.7,1.0,0.0,True,,,none,none,bb_width_le_7,all,7,10,5,5.0182997073070394,98,54.08163265306123,54.696981099241405,0.5581324601963409,0.7231041758706447,2.4104768884435988,4.681046795309928,6,59,45.76271186440678,20.88600456237388,0.35400007732837085,-0.2799700689991615,1.7488142210693165,4.681046795309928,6,39,66.66666666666666,33.81097653686753,0.8669481163299366,1.9771017464348235,4.105638456945345,3.0315280322296516,3,118.76380294786233
,0.7,1.05,0.0,False,,,none,none,none,all,7,9,5,0.9044226465874903,138,52.17391304347826,63.16814390753435,0.45774017324300253,0.2794096295403485,2.053737771883704,9.78433555066579,11,81,45.67901234567901,23.6027670265497,0.29139218551295926,-0.2883405508644905,1.588867928238836,9.78433555066579,11,57,61.40350877192983,39.56537688098466,0.6941294189646431,0.8830285519156242,2.9916986072315837,6.2305857587198386,3,118.66032115896411
width,0.75,1.05,-0.02,True,,,none,none,bb_width_ge_3,all,7,9,5,4.899659289077501,146,50.68493150684932,60.31859148776152,0.41314103758740767,0.11758313058155714,1.9357497444618363,6.600941557311684,5,85,45.88235294117647,23.611540239034003,0.2777828263415765,-0.2799700689991615,1.5828495253144423,6.600941557311684,5,61,57.377049180327866,36.70705124872753,0.60175493850373,0.8449906401700296,2.5326759464565387,4.922940418947871,5,118.59364168939086
close,0.7,1.2,-0.02,True,,0.75,none,none,none,all,7,9,5,4.780830267303905,181,51.38121546961326,63.650654637582534,0.35166107534575985,0.1139725999162388,1.7844090587865669,8.373238344698159,7,112,47.32142857142857,24.847176833011307,0.22184979315188666,-0.20688175651443344,1.463802582917605,7.092348507129918,7,69,57.971014492753625,38.80347780457124,0.5623692435445107,0.7443295263116875,2.4073519803405987,6.266361409305211,5,118.40124582625437
width,0.7,1.05,-0.02,True,,,none,none,bb_width_3_7,all,6,10,5,4.019869296624618,141,51.06382978723404,60.112071771077325,0.42632675014948457,0.1211936612468755,1.9671593755511214,5.5974827121377855,5,82,46.34146341463415,23.035557010896145,0.2809214269621481,-0.2119446889996599,1.5890737844183083,5.5974827121377855,5,59,57.6271186440678,37.076514760181176,0.6284155044098504,0.8830285519156242,2.608629107450073,4.258804785293588,4,118.3911900376207
width,0.75,1.0,0.0,False,,,none,none,bb_width_2_5_7,all,7,10,5,2.5885467177207198,97,54.63917525773196,55.01540721712057,0.5671691465682532,0.7901784127205201,2.456423687083,5.735031024066212,7,57,45.614035087719294,20.416378716556427,0.35818208274660396,-0.2799700689991615,1.7593903198899947,5.735031024066212,7,40,67.5,34.599028500564145,0.8649757125141037,1.9758483507859412,4.1774027543093455,3.03365448125356,3,118.3669272210786
close,0.75,1.05,-0.02,False,,0.75,none,none,none,all,7,9,5,2.6781812181783744,146,51.369863013698634,61.55269740951376,0.4215938178733819,0.15326351032857716,1.948567505633207,6.563441905631056,6,87,47.12643678160919,27.590926235637532,0.3171370831682475,-0.2799700689991615,1.6666193822993307,6.563441905631056,6,59,57.6271186440678,33.96177117387623,0.5756232402351903,0.7901784127205201,2.4451303882473403,4.922940418947871,5,118.219030076634
close,0.75,1.2,-0.02,False,,0.75,none,none,none,all,7,8,5,3.712345589108714,186,51.075268817204304,64.24516225639115,0.3454040981526406,0.10039284536717011,1.7630052312432332,8.484544306162679,7,116,46.55172413793103,24.647034875655823,0.21247443858323986,-0.28415530993182603,1.4352089061029856,8.484544306162679,7,70,58.57142857142858,39.59812738073533,0.5656875340105046,0.7672539695161038,2.4364058255930985,6.268487858329119,5,118.04574279015249
adx,0.75,1.05,0.0,True,,,adx_le_35,none,none,all,7,8,5,0.27269619743380935,120,52.5,57.828947749720115,0.4819078979143343,0.2794096295403485,2.1216986170640406,7.436667715076839,8,67,43.28358208955223,16.03096146960835,0.2392680816359455,-0.4518742602335683,1.4618217306750385,7.436667715076839,8,53,64.15094339622641,41.797986280111765,0.7886412505681465,1.733086098247245,3.4817186649878002,4.2133773442402545,3,118.00928210866485
