sample,timeframe,filter,target_model,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_planned_rr,median_planned_rr,avg_hold_bars,tp_rate
OOS_2025_2026,M30,context,fixed_2R,38,42.10526315789473,3.919285849328279,0.10313910129811261,1.1958298777862522,6.397840670385455,5,2.0,2.0,48.76315789473684,26.31578947368421
OOS_2025_2026,M30,basic_role,fixed_2R,123,40.65040650406504,3.4094761379539698,0.02771931819474772,1.0530041624508886,15.894969155109756,9,2.0,2.0,55.67479674796748,21.951219512195124
IS_2014_2024,M5,basic_role,half_wave,155,50.967741935483865,3.1176218265422277,0.020113689203498243,1.0377217366939284,10.020317801504978,7,1.2730832542504773,1.061402503475061,30.2,50.32258064516129
OOS_2025_2026,H4,observe_loose,fixed_1_5R,31,45.16129032258064,3.053102785588622,0.09848718663189103,1.2028303586294766,5.829531230507164,4,1.5000000000000009,1.5,29.70967741935484,35.483870967741936
IS_2014_2024,M30,strict_synapse,fixed_2R,60,43.333333333333336,2.7969820870060302,0.04661636811676717,1.0932446977373647,4.946224467789698,5,2.0,2.0,59.416666666666664,16.666666666666664
OOS_2025_2026,H4,basic_role,fixed_1_5R,25,48.0,2.0408011745796597,0.0816320469831864,1.1560288584575928,6.626385579548892,4,1.5000000000000002,1.5,28.08,36.0
IS_2014_2024,M30,diag_break,fixed_2R,548,40.14598540145985,1.8872570880086776,0.0034438997956362733,1.0061584274869946,46.078379900862835,11,2.0,2.0,49.855839416058394,22.445255474452555
IS_2014_2024,H4,basic_role,half_wave,1,100.0,0.8434662680858015,0.8434662680858015,inf,0.0,0,0.855861069968021,0.855861069968021,5.0,100.0
OOS_2025_2026,H1,diag_break,fixed_2R,39,35.8974358974359,0.8193014682743793,0.021007729955753316,1.0373720274300897,6.241350602639375,7,2.0,2.0,49.30769230769231,28.205128205128204
IS_2014_2024,M5,strict_synapse,fixed_2R,137,42.33576642335766,0.5292226193519927,0.0038629388273868077,1.0081041595186855,10.436783951987776,9,2.0,2.0,91.32846715328468,16.78832116788321
OOS_2025_2026,H4,observe_loose,half_wave,1,100.0,0.51278900928271,0.51278900928271,inf,0.0,0,0.5222587970810896,0.5222587970810896,1.0,100.0
OOS_2025_2026,M5,diag_break,half_wave,4,50.0,0.33986361369486096,0.08496590342371524,1.160773538297677,1.0525578366946347,1,1.468006259508406,1.4849804704021579,48.75,50.0
OOS_2025_2026,M30,basic_role,half_wave,2,50.0,0.2139074219978916,0.1069537109989458,1.2051359944858369,1.0427590854254514,1,1.0859464739766003,1.0859464739766003,39.0,50.0
IS_2014_2024,M30,strict_synapse,fixed_1_5R,61,44.26229508196721,0.21139408568990548,0.0034654768145886143,1.0070456393714502,5.841237966402409,5,1.5000000000000029,1.5,53.19672131147541,26.229508196721312
IS_2014_2024,H1,strict_synapse,fixed_2R,38,42.10526315789473,0.12223730921752263,0.003216771295197964,1.0061963767448405,6.766021534005893,7,2.0,2.0,57.23684210526316,21.052631578947366
IS_2014_2024,H1,observe_loose,half_wave,49,55.10204081632652,0.10813696597724998,0.002206876856678571,1.0049801812303731,4.567444796818382,4,0.8163439834378106,0.7089812593764864,13.938775510204081,55.10204081632652
OOS_2025_2026,H4,diag_break,fixed_1_5R,16,43.75,0.05154254046821405,0.003221408779263378,1.005689225197135,4.0252338498641365,4,1.4999999999999982,1.5,31.5,31.25
OOS_2025_2026,M15,context,fixed_1_5R,62,43.54838709677419,0.023125978466243424,0.00037299965268134555,1.0006752631716034,14.308346138123186,10,1.5000000000000004,1.5,53.096774193548384,35.483870967741936
IS_2014_2024,M15,diag_break,half_wave,10,40.0,-0.10863529681215134,-0.010863529681215133,0.9813044270157888,3.7906715422042496,4,1.7225317395507105,1.3540720595873634,31.6,40.0
IS_2014_2024,H4,observe_loose,fixed_2R,231,38.961038961038966,-0.1261528849976452,-0.0005461163852711914,0.9990055434597144,24.85379290796,8,2.0,2.0,33.23809523809524,19.913419913419915
OOS_2025_2026,M5,strict_synapse,fixed_2R,13,46.15384615384615,-0.2532490800311241,-0.019480698463932626,0.9647531975350732,5.689088177184563,4,2.0,2.0,72.53846153846153,23.076923076923077
OOS_2025_2026,H4,context,fixed_2R,5,40.0,-0.27801355312188214,-0.055602710624376425,0.9078491709838289,2.01185753866004,2,2.0,2.0,44.4,20.0
OOS_2025_2026,M30,strict_synapse,fixed_1_5R,11,36.36363636363637,-0.69204293858956,-0.06291299441723273,0.8679133958246074,3.5923150137650643,5,1.4999999999999891,1.5,46.72727272727273,27.27272727272727
OOS_2025_2026,H4,context,fixed_1_5R,5,40.0,-0.7780135531218941,-0.15560271062437883,0.7421183496238821,2.01185753866004,2,1.4999999999999942,1.4999999999999925,40.8,20.0
OOS_2025_2026,M5,basic_role,half_wave,9,44.44444444444444,-0.9167533206623295,-0.10186148007359216,0.8264003459661897,2.151157919734545,2,1.12657898288096,1.0343650757218348,20.555555555555557,44.44444444444444
IS_2014_2024,M15,context,half_wave,5,20.0,-0.9231197631211838,-0.18462395262423675,0.7405187088583592,2.5072532883132554,4,2.062622704198122,1.4530396424151577,36.0,20.0
OOS_2025_2026,H4,strict_synapse,fixed_1_5R,1,0.0,-1.006765292518867,-1.006765292518867,0.0,0.0,1,1.5000000000000095,1.5000000000000095,3.0,0.0
OOS_2025_2026,H4,strict_synapse,fixed_2R,1,0.0,-1.006765292518867,-1.006765292518867,0.0,0.0,1,2.0,2.0,3.0,0.0
IS_2014_2024,H1,diag_break,half_wave,1,0.0,-1.0163327858581395,-1.0163327858581395,0.0,0.0,1,1.4830169559203814,1.4830169559203814,21.0,0.0
OOS_2025_2026,M15,context,half_wave,1,0.0,-1.0227682396006643,-1.0227682396006643,0.0,0.0,1,1.3364956645601882,1.3364956645601882,103.0,0.0
OOS_2025_2026,M15,diag_break,half_wave,1,0.0,-1.0227682396006643,-1.0227682396006643,0.0,0.0,1,1.3364956645601882,1.3364956645601882,103.0,0.0
OOS_2025_2026,H4,diag_break,fixed_2R,16,37.5,-1.0339548819212039,-0.06462218012007524,0.8972789591542671,5.898820585929804,5,2.0,2.0,36.8125,18.75
IS_2014_2024,M30,context,half_wave,1,0.0,-1.0608180100279403,-1.0608180100279403,0.0,0.0,1,1.0156607674675378,1.0156607674675378,3.0,0.0
IS_2014_2024,M30,diag_break,half_wave,1,0.0,-1.0608180100279403,-1.0608180100279403,0.0,0.0,1,1.0156607674675378,1.0156607674675378,3.0,0.0
OOS_2025_2026,M5,context,half_wave,1,0.0,-1.0613697243545845,-1.0613697243545845,0.0,0.0,1,1.4912843018177322,1.4912843018177322,114.0,0.0
OOS_2025_2026,M5,strict_synapse,half_wave,1,0.0,-1.064126977102418,-1.064126977102418,0.0,0.0,1,1.2119998672367565,1.2119998672367565,22.0,0.0
IS_2014_2024,H1,strict_synapse,fixed_1_5R,38,44.73684210526316,-1.285474338758838,-0.033828272072601,0.9312909957830328,7.0007355071538315,7,1.4999999999999993,1.5,53.05263157894737,26.31578947368421
OOS_2025_2026,H1,observe_loose,half_wave,8,50.0,-1.5078121184868107,-0.18847651481085134,0.6292942186013815,2.3683851590306073,2,0.6825818600130833,0.6360298492608082,14.375,50.0
