trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_after_cost_r,early_exit_rate,symbol,rule_name,rule_desc,early_exit_bars
62,38.70967741935484,28.98323933393766,0.4674716021602848,1.74842267178879,6.833753107331699,14.516129032258066,SILVER,break005,終値の抜け幅がATR0.05以上,1
437,33.40961098398169,174.85548070730363,0.4001269581402829,1.6894512637467727,10.04201911756968,18.76430205949657,ALL,break005,終値の抜け幅がATR0.05以上,1
68,39.705882352941174,45.43682856559755,0.6681886553764346,2.3333278702450175,4.136243264053036,23.52941176470588,XAUUSD,break005,終値の抜け幅がATR0.05以上,3
62,33.87096774193548,27.927746764316343,0.4504475284567152,1.812642591458743,8.731898609238087,22.58064516129032,USDJPY,break005,終値の抜け幅がATR0.05以上,3
55,25.454545454545453,8.422386516015685,0.15313430029119426,1.2540407256243216,9.758534540220882,30.909090909090907,EURJPY,break005,終値の抜け幅がATR0.05以上,3
59,33.89830508474576,34.725348253624574,0.5885652246377047,2.407043611969255,6.6375915428926895,37.28813559322034,GBPJPY,break005,終値の抜け幅がATR0.05以上,3
58,27.586206896551722,15.161505161014137,0.2614052613967955,1.4749875193902924,8.573861890102481,32.758620689655174,CHFJPY,break005,終値の抜け幅がATR0.05以上,3
74,22.972972972972975,8.348118657437368,0.11281241428969416,1.1994105429241708,11.615376553375771,33.78378378378378,AUDJPY,break005,終値の抜け幅がATR0.05以上,3
62,37.096774193548384,28.19497659047761,0.45475768694318724,1.7698503778566477,8.673335558782075,24.193548387096776,SILVER,break005,終値の抜け幅がATR0.05以上,3
438,31.506849315068493,168.21691050848324,0.38405687330703936,1.7107193456569667,11.615376553375782,29.22374429223744,ALL,break005,終値の抜け幅がATR0.05以上,3
68,39.705882352941174,47.488556002312095,0.6983611176810602,2.482811033467983,4.136243264053036,29.411764705882355,XAUUSD,break005,終値の抜け幅がATR0.05以上,6
62,32.25806451612903,28.658986027747595,0.46224171012496124,1.9346733752921437,7.8793300663075385,35.483870967741936,USDJPY,break005,終値の抜け幅がATR0.05以上,6
55,23.636363636363637,6.8277338847623295,0.1241406160865878,1.214904827698689,9.631443456086222,40.0,EURJPY,break005,終値の抜け幅がATR0.05以上,6
59,30.508474576271187,29.82758834475752,0.5055523448263987,2.262361240520819,6.6375915428926895,44.06779661016949,GBPJPY,break005,終値の抜け幅がATR0.05以上,6
58,27.586206896551722,18.52291346727187,0.31936057702192877,1.6485979903953094,7.819571453918861,41.37931034482759,CHFJPY,break005,終値の抜け幅がATR0.05以上,6
74,21.62162162162162,8.151491096110597,0.11015528508257563,1.2085265599922688,11.113058325559766,41.891891891891895,AUDJPY,break005,終値の抜け幅がATR0.05以上,6
62,32.25806451612903,19.858304212745495,0.32029522923783055,1.543477095620509,10.725192545946548,33.87096774193548,SILVER,break005,終値の抜け幅がATR0.05以上,6
438,29.68036529680365,159.3355730357075,0.3637798471134875,1.7168363155412436,11.113058325559791,37.89954337899543,ALL,break005,終値の抜け幅がATR0.05以上,6
65,44.61538461538462,47.700142745923166,0.7338483499372794,2.2671735366835257,5.159583885748383,0.0,XAUUSD,break010,終値の抜け幅がATR0.10以上,0
58,34.48275862068966,20.05001002394254,0.3456898279990093,1.511296147676451,10.390223406263107,0.0,USDJPY,break010,終値の抜け幅がATR0.10以上,0
55,30.909090909090907,11.422076454743726,0.20767411735897684,1.292308669702712,9.391596867582713,0.0,EURJPY,break010,終値の抜け幅がATR0.10以上,0
54,42.592592592592595,36.26294981865276,0.6715361077528288,2.1320864018766232,5.138838222162811,0.0,GBPJPY,break010,終値の抜け幅がATR0.10以上,0
54,35.18518518518518,19.03373671481323,0.3524766058298746,1.5160518888579944,7.2643794083387,0.0,CHFJPY,break010,終値の抜け幅がATR0.10以上,0
68,26.47058823529412,1.3687605043752626,0.02012883094669504,1.0264428396976406,13.787314675275798,0.0,AUDJPY,break010,終値の抜け幅がATR0.10以上,0
58,41.37931034482759,27.788925222145956,0.4791194003818268,1.6955760880338375,5.204045744156874,0.0,SILVER,break010,終値の抜け幅がATR0.10以上,0
412,36.407766990291265,163.62660148459665,0.39715194535096277,1.5916459102417722,13.787314675275809,0.0,ALL,break010,終値の抜け幅がATR0.10以上,0
65,41.53846153846154,44.3801701121721,0.6827718478795708,2.26515707050879,6.5825399552799695,12.307692307692308,XAUUSD,break010,終値の抜け幅がATR0.10以上,1
58,32.758620689655174,21.648717373294776,0.3732537478154272,1.624348509524244,9.624225801990356,17.24137931034483,USDJPY,break010,終値の抜け幅がATR0.10以上,1
55,30.909090909090907,15.73667192771536,0.2861213077766429,1.4527131875274257,9.391596867582715,14.545454545454545,EURJPY,break010,終値の抜け幅がATR0.10以上,1
54,35.18518518518518,31.182645117129255,0.5774563910579492,2.234805805139738,6.22130375759072,27.77777777777778,GBPJPY,break010,終値の抜け幅がATR0.10以上,1
54,29.629629629629626,13.402457626106413,0.24819365974271135,1.3974320708876158,10.196353846813977,18.51851851851852,CHFJPY,break010,終値の抜け幅がATR0.10以上,1
68,25.0,6.441900310538697,0.09473382809615731,1.1471682190913535,9.805306471293658,19.11764705882353,AUDJPY,break010,終値の抜け幅がATR0.10以上,1
58,37.93103448275862,24.155251689454964,0.41646985671474074,1.6383314094981947,6.833753107331699,12.068965517241379,SILVER,break010,終値の抜け幅がATR0.10以上,1
412,33.25242718446602,156.94781415641154,0.3809412964961445,1.6403341571894667,11.237090149404594,17.233009708737864,ALL,break010,終値の抜け幅がATR0.10以上,1
65,40.0,44.54060959422598,0.6852401476034765,2.391795173022378,5.3377521042549745,24.615384615384617,XAUUSD,break010,終値の抜け幅がATR0.10以上,3
58,32.758620689655174,23.254672495894905,0.4009426292395673,1.7032350478123695,8.985240045934525,22.413793103448278,USDJPY,break010,終値の抜け幅がATR0.10以上,3
