anon_id,doc_id,trade_no,currency,side,timeframe,entry_datetime_jst,entry_price,exit_datetime_jst,exit_price,pips,result,image_path,confidence,note
T-06614E39,D-4173E867,4,AUDJPY,sell,1H,2024-10-08 22:06,100.522,2024-10-09 14:01,100.203,31.9,win,chart_pattern_work/extracted_images/D-4173E867_trade04_img006.png,high,
T-0DA89E2F,D-43570A72,2,GBPJPY,buy,1H,2024-09-21 03:16,191.659,2024-09-23 22:45,191.277,-38.2,loss,chart_pattern_work/extracted_images/D-43570A72_trade02_img004.png,high,
T-0DA89E2F,D-43570A72,4,GBPJPY,buy,1H,2024-10-03 09:32,194.900,2024-10-03 14:05,194.183,-71.7,loss,chart_pattern_work/extracted_images/D-43570A72_trade04_img011.png,medium,決済日表記2024/6/2は誤記(当日決済と推定)
T-229592CF,D-C04EAEF6,1,GBPJPY,buy,1H,2025-01-15 07:17,193.133,2025-01-16 06:41,191.569,-156.4,loss,chart_pattern_work/extracted_images/D-C04EAEF6_trade01_img001.png,high,
T-0AFD7973,D-D50D7C66,1,XAUUSD,buy,1H,2024-12-10 19:40,2674.5,2024-12-12 23:05,2697.80,23,win,chart_pattern_work/extracted_images/D-D50D7C66_trade01_img001.png,high,
T-226EA9DE,D-46524F3C,2,XAUUSD,buy,1H,2024-10-24 14:00,2727.4,2024-10-31 16:00,2779.50,521,win,chart_pattern_work/extracted_images/D-46524F3C_trade02_img003.png,high,
T-BB1229AC,D-4C7E6392,6,GBPJPY,buy,1H,2024-10-07 19:46,194.157,2024-10-10 21:00,194.62,168,win,chart_pattern_work/extracted_images/D-4C7E6392_trade06_img009.png,high,
T-C3FDDE26,D-7A09B042,5,XAUUSD,buy,1H,2025-01-10 23:58,2683.21,2025-01-13 21:18,2670.8,-124.1,loss,chart_pattern_work/extracted_images/D-7A09B042_trade05_img007.png,medium,価格はカンマ小数表記を正規化
T-37A4026E,D-CC65C7F6,7,GBPJPY,buy,1H,2024-10-29 17:50,199.277,2024-10-31 15:00,197.50,-177,loss,chart_pattern_work/extracted_images/D-CC65C7F6_trade07_img015.png,high,
T-04FE2BE2,D-5AF3DA73,1,USDJPY,buy,1H,2024-12-16 11:36,153.924,2024-12-19 20:52,156.764,284,win,chart_pattern_work/extracted_images/D-5AF3DA73_trade01_img001.png,high,
T-23C38107,D-2621524B,2,EURJPY,sell,1H,2024-09-17 09:04,156.64,2024-09-17 14:05,156.60,4.82,win,chart_pattern_work/extracted_images/D-2621524B_trade02_img004.png,high,
