zone_type,currency,side_mode,price_lo,price_hi,price_mid,loss_count,student_count,start_jst,end_jst,avg_loss_pips,psychology
FEAR_STOP,XAUUSD,buy,2903.2,2903.2,2903.2,1,1,2025-02-19 16:07:00,2025-02-26 00:31:00,-310.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2915.0,2915.0,2915.0,1,1,2025-02-20 16:15:00,2025-02-26 00:24:00,-33.634,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2925.44,2925.44,2925.44,1,1,2025-02-19 17:30:00,2025-02-26 21:30:00,-139.6,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2936.44,2936.44,2936.44,1,1,2025-02-20 15:24:00,2025-02-20 22:48:00,-100.4,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,2940.0,2940.0,2940.0,1,1,2025-02-24 23:05:00,2025-02-24 23:30:00,-15.4,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,3845.0,3845.0,3845.0,1,1,2025-10-01 16:45:00,2025-10-02 23:15:00,-333.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,sell,4115.0,4115.0,4115.0,1,1,2025-11-21 16:03:00,2025-11-25 03:46:00,-86.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4150.0,4150.0,4150.0,1,1,2025-11-13 14:00:00,2025-11-14 01:00:00,-600.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4160.67,4160.67,4160.67,1,1,2025-11-13 13:30:00,2025-11-14 02:00:00,-503.4,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4210.12,4210.12,4210.12,1,1,2025-12-01 08:00:00,2025-12-02 10:05:00,-314.6,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4259.23,4259.23,4259.23,1,1,2025-12-12 17:34:00,2025-12-13 17:34:00,-37.43,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4350.51,4350.51,4350.51,1,1,2025-12-22 11:00:00,2025-12-30 00:05:00,-339.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,sell,4367.5,4367.5,4367.5,1,1,2025-12-31 14:53:00,2026-01-02 12:11:00,-846.8,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4417.13,4417.13,4417.13,1,1,2026-01-06 06:51:00,2026-01-08 14:43:00,-314.8,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4438.12,4438.12,4438.12,1,1,2025-12-23 22:25:00,2025-12-24 00:02:00,-5156.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4488.94,4488.94,4488.94,1,1,2025-12-24 09:37:00,2025-12-24 14:59:00,-2448.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4557.52,4557.52,4557.52,1,1,2026-01-12 17:03:00,2026-01-17 00:31:00,-320.2,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4560.0,4560.0,4560.0,1,1,2026-01-13 23:00:00,2026-01-17 00:00:00,-750.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4591.49,4591.49,4591.49,1,1,2026-01-12 22:18:00,2026-01-15 10:34:00,-18.0,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,4880.211,4880.211,4880.211,1,1,2026-02-27 22:00:00,2026-03-18 21:00:00,-3422.21,損切集中・恐怖の出口
FEAR_STOP,XAUUSD,buy,5039.57,5039.57,5039.57,1,1,2026-01-26 18:51:00,2026-01-27 04:03:00,-405.0,損切集中・恐怖の出口
