prox_yen,prox_half,ext_atr,swing_len,big_mult,fwd_bars,strict_f1,wick_atr,sweep_lb,revenge_bars,stop_count,stop_long,stop_short,adverse_rate,sweep_down_n,sweep_down_up_edge,sweep_up_n,sweep_up_dn_edge,avg_fwd_up_after_sweep_dn,avg_fwd_dn_after_sweep_up,revenge_after_stop_n,revenge_fwd_up_rate,chain_stop_sweep_up,chain_n,score_edge,symbol
0.15,0.1,0.6,36,0.95,24,False,0.55,12,72,1636,891,745,0.5079462102689487,52,0.5769230769230769,41,0.5853658536585366,122.33846153846133,76.89024390243904,879,0.5005688282138794,0.2222222222222222,9,0.39957264957264954,GBPJPY
0.15,0.1,0.6,36,0.95,24,False,0.55,20,72,1636,891,745,0.5079462102689487,39,0.5128205128205128,35,0.5714285714285714,126.22307692307662,77.0685714285714,879,0.5005688282138794,0.14285714285714285,7,0.3278388278388278,GBPJPY
0.15,0.1,0.6,36,0.95,24,False,0.55,32,72,1636,891,745,0.5079462102689487,32,0.5625,28,0.5357142857142857,137.57499999999982,78.54285714285712,879,0.5005688282138794,0.0,6,0.28125,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.25,12,72,2083,1158,925,0.501200192030725,148,0.6148648648648649,154,0.4090909090909091,145.35405405405407,103.22077922077925,1142,0.521891418563923,0.2894736842105263,38,0.4521692745376956,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.25,20,72,2083,1158,925,0.501200192030725,116,0.5948275862068966,128,0.421875,148.45086206896548,106.67968750000006,1142,0.521891418563923,0.21428571428571427,28,0.40455665024630544,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.25,32,72,2083,1158,925,0.501200192030725,86,0.627906976744186,99,0.41414141414141414,157.7302325581396,109.88787878787879,1142,0.521891418563923,0.2,20,0.413953488372093,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.4,12,72,2083,1158,925,0.501200192030725,90,0.5888888888888889,94,0.43617021276595747,144.53,106.69042553191498,1142,0.521891418563923,0.2857142857142857,21,0.4373015873015873,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.4,20,72,2083,1158,925,0.501200192030725,67,0.5671641791044776,79,0.45569620253164556,155.5283582089551,108.53037974683555,1142,0.521891418563923,0.2,15,0.3835820895522388,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.4,32,72,2083,1158,925,0.501200192030725,49,0.5714285714285714,58,0.46551724137931033,165.3163265306123,114.62413793103448,1142,0.521891418563923,0.09090909090909091,11,0.33116883116883117,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.55,12,72,2083,1158,925,0.501200192030725,52,0.6153846153846154,41,0.5609756097560976,155.1826923076923,132.51951219512202,1142,0.521891418563923,0.3,10,0.45769230769230773,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.55,20,72,2083,1158,925,0.501200192030725,39,0.5897435897435898,35,0.5714285714285714,159.83589743589735,131.86571428571435,1142,0.521891418563923,0.14285714285714285,7,0.36630036630036633,GBPJPY
0.15,0.1,0.6,36,0.95,48,True,0.55,32,72,2083,1158,925,0.501200192030725,32,0.625,28,0.6071428571428571,175.05312500000008,141.41071428571428,1142,0.521891418563923,0.0,6,0.3125,GBPJPY
0.15,0.1,0.6,36,0.95,48,False,0.25,12,72,1636,891,745,0.5061124694376528,148,0.6148648648648649,154,0.4090909090909091,145.35405405405407,103.22077922077925,879,0.5164960182025028,0.29411764705882354,34,0.45449125596184425,GBPJPY
0.15,0.1,0.6,36,0.95,48,False,0.25,20,72,1636,891,745,0.5061124694376528,116,0.5948275862068966,128,0.421875,148.45086206896548,106.67968750000006,879,0.5164960182025028,0.24,25,0.4174137931034483,GBPJPY
