strategy,excluded_symbols,trades,win_rate,total_r_after_cost,avg_r_after_cost,pf_after_cost,max_dd_r,research_trades,research_total_r,oos_trades,oos_total_r
SHELF6_PRECALM_BREAK_RR15,"GBPJPY,USDJPY,XAUUSD",34,52.94117647058824,9.904495672232443,0.2913086962421307,1.5918967279485368,7.462016791228452,30,6.478604907226458,4,3.425890765005984
SHELF6_DON20_PRECALM_RR15,XAUUSD,19,52.63157894736842,5.468196817886845,0.2877998325203603,1.5887578826151911,5.221300516422955,18,3.9899661490111438,1,1.4782306688757012
SHELF6_AFTER_DORMANT60_RR15,"CHFJPY,GBPJPY,XAUUSD",19,52.63157894736842,5.406656966559701,0.28456089297682635,1.5875239994259311,3.5712443359653667,16,5.994870369580318,3,-0.588213403020617
SHELF6_BREAK_RR15,"CHFJPY,GBPJPY,SILVER",88,52.27272727272727,25.0515686888434,0.28467691691867497,1.584499939306697,8.704940710700512,75,18.205058391346842,13,6.8465102974965575
SHELF6_EMA_UP_RR15,"CHFJPY,SILVER,XAUUSD",77,51.94805194805194,21.708131132539513,0.2819237809420716,1.5812851437647903,8.938418612487705,68,20.85055884948588,9,0.8575722830536305
SHELF6_PRECALM_BREAK_RR15,"USDJPY,XAUUSD",38,52.63157894736842,10.873184818789735,0.28613644259972987,1.5791632622174452,7.684991001283924,34,7.44729405378375,4,3.425890765005984
SHELF6_AFTER_DORMANT60_RR15,"GBPJPY,SILVER,XAUUSD",21,52.38095238095239,5.899872768301968,0.2809463223000937,1.5786288849303174,3.1407773220457527,19,5.424513754447513,2,0.47535901385445545
SHELF6_PRECALM_OVERHEAD_ROOM_RR15,"CHFJPY,EURJPY,SILVER",25,52.0,7.054827451043616,0.28219309804174464,1.5767082245936652,5.091035615344783,21,3.6011660934160084,4,3.453661357627608
SHELF6_PRECALM_BREAK_RR15,"GBPJPY,USDJPY",38,52.63157894736842,10.783618085780438,0.2837794233100115,1.5743157387046696,7.462016791228452,33,8.367698393777369,5,2.415919692003071
SHELF6_DON55_BREAK_RR15,"EURJPY,USDJPY",27,51.85185185185185,7.486524137663503,0.2772786717653149,1.5730405631652284,6.14624005390963,26,5.993007861605926,1,1.4935162760575778
SHELF6_DON55_BREAK_RR15,"AUDJPY,SILVER,XAUUSD",31,51.61290322580645,8.540106527215785,0.27548730732954146,1.5710003391830663,6.837955719755563,30,9.550832606265024,1,-1.0107260790492378
SHELF6_DON55_BREAK_RR15,"CHFJPY,XAUUSD",29,51.724137931034484,7.8989998963385855,0.27237930677029604,1.567989437962467,4.015754526230074,28,8.909725975387824,1,-1.0107260790492378
SHELF6_OVERHEAD_ROOM_RR15,"CHFJPY,USDJPY,XAUUSD",69,52.17391304347826,19.18130740945536,0.2779899624558748,1.5670932065075909,5.627626078176011,58,17.981673843244142,11,1.1996335662112183
SHELF6_PRECALM_BREAK_RR15,USDJPY,42,52.38095238095239,11.752307232337733,0.2798168388651841,1.564555219751927,7.462016791228454,37,9.33638754033466,5,2.415919692003071
SHELF6_AFTER_DORMANT60_RR15,"GBPJPY,XAUUSD",23,52.17391304347826,6.290069827398595,0.27348129684341715,1.5586271756417571,3.1407773220457527,20,6.878283230419213,3,-0.588213403020617
SHELF6_PRECALM_BREAK_RR15,"CHFJPY,EURJPY,USDJPY",19,52.63157894736842,5.238419175998305,0.2757062724209634,1.551474848263295,3.0731142662222304,17,4.770159580125517,2,0.468259595872788
SHELF6_DON55_BREAK_RR15,"SILVER,USDJPY",33,51.515151515151516,8.840747824921673,0.26790144924005066,1.5486825678511094,7.469957713356268,32,7.3472315488640945,1,1.4935162760575778
SHELF6_EMA_UP_RR15,"CHFJPY,EURJPY,XAUUSD",64,51.5625,17.12390892576096,0.267561076965015,1.5442423486878618,6.454432973172472,56,17.879778682906203,8,-0.75586975714524
SHELF6_DON20_EMA_RR15,"AUDJPY,USDJPY,XAUUSD",31,51.61290322580645,8.203939022438107,0.264643194272197,1.5431528817220588,7.565687850554158,30,9.219644580508456,1,-1.0157055580703498
