label,trades,win_rate,total_r,avg_r,pf,max_dd_r,worst_year_r,worst_2y_r,oos_trades,oos_r,bb_z,high_bb_excess_atr,move_atr
bbz2.7_highEx-999.0_move0.8,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,-999.0,0.8
bbz2.7_highEx-999.0_move1.2,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,-999.0,1.2
bbz2.7_highEx-999.0_move1.6,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,-999.0,1.6
bbz2.7_highEx-999.0_move2.0,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,-999.0,2.0
bbz2.7_highEx0.0_move0.8,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,0.0,0.8
bbz2.7_highEx0.0_move1.2,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,0.0,1.2
bbz2.7_highEx0.0_move1.6,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,0.0,1.6
bbz2.7_highEx0.0_move2.0,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,0.0,2.0
bbz2.7_highEx0.3_move0.8,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,0.3,0.8
bbz2.7_highEx0.3_move1.2,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,0.3,1.2
bbz2.7_highEx0.3_move1.6,1,100.0,0.7126264612991644,0.7126264612991644,inf,0.0,0.7126264612991644,0.7126264612991644,0,0.0,2.7,0.3,1.6
