time,open,high,low,close,D1 V Trigger,D1 V Low,D1 V Start,Trade SL,Trade TP,D1 V Context,H4 Confirm Entry,V Context,Initial Shelf Long,Initial Shelf Skip,Watching Shelf High,Watching Shelf Low,Active SL,Active TP
1719882000,173.395,173.552,173.295,173.474,,,,,,0,0,0,0,0,,,,
1719896400,173.474,173.602,173.124,173.238,,,,,,0,0,0,0,0,,,,
1719910800,173.238,173.418,173.086,173.336,,,,,,0,0,0,0,0,,,,
1719925200,173.334,173.49,173.203,173.408,,,,,,0,0,0,0,0,,,,
1719939600,173.408,173.529,173.39,173.512,,,,,,0,0,0,0,0,,,,
1719954000,173.467,173.694,173.435,173.649,,,,,,0,0,0,0,0,,,,
1719968400,173.65,173.752,173.566,173.724,,,,,,0,0,0,0,0,,,,
1719982800,173.722,174.191,173.658,174.12,,,,,,0,0,0,0,0,,,,
1719997200,174.118,174.399,174.04,174.358,,,,,,0,0,0,0,0,,,,
1720011600,174.358,174.52,173.858,174.388,,,,,,0,0,0,0,0,,,,
1720026000,174.392,174.474,174.122,174.452,,,,,,0,0,0,0,0,,,,
1720040400,174.32,174.438,174.158,174.238,,,,,,0,0,0,0,0,,,,
1720054800,174.238,174.276,173.946,174.204,,,,,,0,0,0,0,0,,,,
1720069200,174.206,174.277,174.036,174.182,,,,,,0,0,0,0,0,,,,
1720083600,174.18,174.228,173.802,173.985,,,,,,0,0,0,0,0,,,,
1720098000,173.985,174.268,173.918,174.219,,,,,,0,0,0,0,0,,,,
1720112400,174.218,174.392,174.185,174.362,,,,,,0,0,0,0,0,,,,
1720126800,174.378,174.473,173.978,174.201,,,,,,0,0,0,0,0,,,,
1720141200,174.199,174.266,173.716,173.851,,,,,,0,0,0,0,0,,,,
1720155600,173.852,174.162,173.764,174.05,,,,,,0,0,0,0,0,,,,
1720170000,174.05,174.383,173.775,174.298,,,,,,0,0,0,0,0,,,,
1720184400,174.3,174.502,173.952,174.17,,,,,,0,0,0,0,0,,,,
1720198800,174.17,174.333,174.104,174.296,,,,,,0,0,0,0,0,,,,
1720386000,173.723,174.129,173.689,173.81,,,,,,0,0,0,0,0,,,,
1720400400,173.814,173.943,173.513,173.846,,,,,,0,0,0,0,0,,,,
1720414800,173.846,174.634,173.683,174.598,,,,,,0,0,0,0,0,,,,
1720429200,174.596,174.628,174.202,174.252,,,,,,0,0,0,0,0,,,,
1720443600,174.255,174.344,173.923,174.111,,,,,,0,0,0,0,0,,,,
1720458000,174.11,174.138,173.986,174.092,,,,,,0,0,0,0,0,,,,
1720472400,174.07,174.246,174.038,174.199,,,,,,0,0,0,0,0,,,,
1720486800,174.2,174.455,174.171,174.32,,,,,,0,0,0,0,0,,,,
1720501200,174.322,174.337,174.02,174.302,,,,,,0,0,0,0,0,,,,
1720515600,174.304,174.394,174.158,174.276,,,,,,0,0,0,0,0,,,,
1720530000,174.276,174.592,174.212,174.389,,,,,,0,0,0,0,0,,,,
1720544400,174.389,174.46,174.326,174.436,,,,,,0,0,0,0,0,,,,
1720558800,174.461,174.652,174.404,174.578,,,,,,0,0,0,0,0,,,,
1720573200,174.58,174.752,174.566,174.66,,,,,,0,0,0,0,0,,,,
1720587600,174.658,174.77,174.6,174.682,,,,,,0,0,0,0,0,,,,
1720602000,174.681,174.903,174.678,174.805,,,,,,0,0,0,0,0,,,,
1720616400,174.806,175.142,174.758,175.063,,,,,,0,0,0,0,0,,,,
1720630800,175.062,175.164,175.014,175.132,,,,,,0,0,0,0,0,,,,
1720645200,175.046,175.114,174.98,175.07,,,,,,0,0,0,0,0,,,,
1720659600,175.072,175.245,175.065,175.222,,,,,,0,0,0,0,0,,,,
1720674000,175.22,175.314,175.11,175.228,,,,,,0,0,0,0,0,,,,
1720688400,175.226,175.428,172.548,172.734,,,,,,0,0,0,0,0,,,,
1720702800,172.731,172.967,171.553,172.324,,,,,,0,0,0,0,0,,,,
1720717200,172.328,172.716,172.279,172.693,,,,,,0,0,0,0,0,,,,
1720731600,172.671,173.284,171.506,172.926,,,,,,0,0,0,0,0,,,,
1720746000,172.928,173.194,172.529,172.962,,,,,,0,0,0,0,0,,,,
1720760400,172.965,173.271,172.738,173.22,,,,,,0,0,0,0,0,,,,
1720774800,173.223,173.431,172.618,172.962,,,,,,0,0,0,0,0,,,,
1720789200,172.96,172.968,171.458,172.168,,,,,,0,0,0,0,0,,,,
1720803600,172.168,172.344,172.106,172.216,,,,,,0,0,0,0,0,,,,
1720990800,172.088,172.444,171.993,172.164,,,,,,0,0,0,0,0,,,,
1721005200,172.166,172.276,171.984,172.115,,,,,,0,0,0,0,0,,,,
1721019600,172.116,172.313,171.876,172.158,,,,,,0,0,0,0,0,,,,
1721034000,172.156,172.565,172.09,172.298,,,,,,0,0,0,0,0,,,,
1721048400,172.304,172.474,171.554,172.01,,,,,,0,0,0,0,0,,,,
1721062800,172.01,172.361,171.971,172.25,,,,,,0,0,0,0,0,,,,
1721077200,172.21,172.518,172.171,172.487,,,,,,0,0,0,0,0,,,,
1721091600,172.486,172.89,172.483,172.802,,,,,,0,0,0,0,0,,,,
1721106000,172.804,172.924,172.51,172.74,,,,,,0,0,0,0,0,,,,
1721120400,172.74,172.808,172.46,172.736,,,,,,0,0,0,0,0,,,,
1721134800,172.736,172.767,172.482,172.634,,,,,,0,0,0,0,0,,,,
1721149200,172.634,172.688,172.533,172.644,,,,,,0,0,0,0,0,,,,
1721163600,172.575,172.774,172.534,172.714,,,,,,0,0,0,0,0,,,,
1721178000,172.711,172.836,172.507,172.507,,,,,,0,0,0,0,0,,,,
1721192400,172.506,172.546,170.746,170.961,,,,,,0,0,0,0,0,,,,
1721206800,170.954,171.424,170.832,171.319,,,,,,0,0,0,0,0,,,,
1721221200,171.319,171.383,170.702,170.84,,,,,,0,0,0,0,0,,,,
1721235600,170.839,171.07,170.696,170.896,,,,,,0,0,0,0,0,,,,
1721250000,170.844,170.958,169.994,170.332,,,,,,0,0,0,0,0,,,,
1721264400,170.334,171.191,170.303,170.944,,,,,,0,0,0,0,0,,,,
1721278800,170.942,171.168,170.408,171.03,,,,,,0,0,0,0,0,,,,
1721293200,171.029,171.11,170.8,170.962,,,,,,0,0,0,0,0,,,,
1721307600,170.96,171.558,170.674,171.542,,,,,,0,0,0,0,0,,,,
1721322000,171.54,171.576,171.344,171.469,,,,,,0,0,0,0,0,,,,
1721336400,171.481,171.515,171.177,171.238,,,,,,0,0,0,0,0,,,,
1721350800,171.24,171.54,171.228,171.454,,,,,,0,0,0,0,0,,,,
1721365200,171.452,171.878,170.914,171.09,,,,,,0,0,0,0,0,,,,
1721379600,171.09,171.72,170.971,171.694,,,,,,0,0,0,0,0,,,,
1721394000,171.693,171.726,171.252,171.347,,,,,,0,0,0,0,0,,,,
1721408400,171.346,171.44,171.223,171.41,,,,,,0,0,0,0,0,,,,
1721595600,171.396,171.582,171.316,171.502,,,,,,0,0,0,0,0,,,,
1721610000,171.504,171.664,171.382,171.417,,,,,,0,0,0,0,0,,,,
1721624400,171.414,171.414,170.062,170.724,,,,,,0,0,0,0,0,,,,
1721638800,170.726,170.976,170.448,170.558,,,,,,0,0,0,0,0,,,,
1721653200,170.56,171.01,170.44,170.998,,,,,,0,0,0,0,0,,,,
1721667600,171.002,171.153,170.97,171.042,,,,,,0,0,0,0,0,,,,
1721682000,170.977,171.096,170.552,170.594,,,,,,0,0,0,0,0,,,,
1721696400,170.596,170.858,170.162,170.233,,,,,,0,0,0,0,0,,,,
1721710800,170.228,170.506,169.5,169.706,,,,,,0,0,0,0,0,,,,
1721725200,169.707,169.751,169.334,169.39,,,,,,0,0,0,0,0,,,,
1721739600,169.394,169.498,169.019,169.082,,,,,,0,0,0,0,0,,,,
1721754000,169.082,169.12,168.834,168.892,,,,,,0,0,0,0,0,,,,
1721768400,168.854,169.207,168.811,169.025,,,,,,0,0,0,0,0,,,,
1721782800,169.024,169.076,167.632,167.706,,,,,,0,0,0,0,0,,,,
1721797200,167.707,168.05,167.32,167.796,,,,,,0,0,0,0,0,,,,
1721811600,167.796,167.895,166.93,167.017,,,,,,0,0,0,0,0,,,,
1721826000,167.017,167.148,166.143,166.534,,,,,,0,0,0,0,0,,,,
