symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason,year,month,yearmonth
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-03-03 13:00:00,2017-03-03 14:00:00,86.665,86.20125,2017-03-06 00:00:00,86.20125,initial_stop,0.4637500000000045,-1.0,0.0819407008086174,-1.0415094339622628,2.4166666666666665,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,3,2017-03
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-04-11 12:00:00,2017-04-11 13:00:00,1260.478,1255.0708035714283,2017-04-13 05:00:00,1284.978,one_swing_break,5.407196428571524,4.530998702126385,5.080266708057629,-0.019788443311322,1.6666666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,4,2017-04
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-04-28 07:00:00,2017-04-28 08:00:00,112.017,111.64930357142858,2017-05-03 21:00:00,113.259,one_swing_break,0.3676964285714206,3.377786411539107,4.340537127871504,-0.4079452187848917,5.541666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,4,2017-04
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-06-04 22:00:00,2017-06-04 23:00:00,1280.348,1271.6320892857143,2017-06-07 10:00:00,1289.641,one_swing_break,8.715910714285656,1.0662110139298004,1.8024507724994068,-0.298190296481593,2.4583333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,6,2017-06
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-06-06 05:00:00,2017-06-06 06:00:00,17.617,17.502285714285716,2017-06-08 13:00:00,17.502285714285716,initial_stop,0.1147142857142853,-1.0,1.0547945205479372,-2.240348692403507,2.2916666666666665,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,6,2017-06
CHFJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-06-26 07:00:00,2017-06-26 08:00:00,114.989,114.67332142857144,2017-06-26 10:00:00,114.67332142857144,initial_stop,0.3156785714285774,-1.0,0.3516234868197376,-1.1245616019911666,0.0833333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,6,2017-06
AUDJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-06-26 18:00:00,2017-06-26 19:00:00,84.878,84.44657142857143,2017-06-29 16:00:00,85.842,one_swing_break,0.4314285714285688,2.2344370860927256,3.845364238410633,-0.2572847682119318,2.875,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,6,2017-06
GBPJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-07-10 00:00:00,2017-07-10 01:00:00,147.04,146.67749999999998,2017-07-11 15:00:00,146.67749999999998,initial_stop,0.3625000000000113,-1.0,1.7655172413792957,-1.5172413793102502,1.5833333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,7,2017-07
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-07-25 00:00:00,2017-07-25 01:00:00,129.49,129.21107142857144,2017-07-26 05:00:00,130.2,one_swing_break,0.2789285714285654,2.5454545454545268,3.764404609475052,-0.8604353393086299,1.1666666666666667,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,7,2017-07
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-07-28 12:00:00,2017-07-28 13:00:00,1263.568,1256.9281607142857,2017-07-31 03:00:00,1267.388,one_swing_break,6.639839285714288,0.575315129722902,1.1387323811086096,-0.2046736286108358,2.5833333333333335,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,7,2017-07
XAGUSD,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-07-31 09:00:00,2017-07-31 10:00:00,16.75,16.657875,2017-08-01 12:00:00,16.657875,initial_stop,0.0921249999999993,-1.0,1.3134328358208904,-1.8887381275441055,1.0833333333333333,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,7,2017-07
EURJPY,SuddenReversalStagnation,急な揺り戻し＋高値停滞,V字/急な揺り戻し＋停滞,long,買い,2017-08-07 07:00:00,2017-08-07 08:00:00,130.82,130.3525,2017-08-08 11:00:00,130.3525,initial_stop,0.4675000000000011,-1.0,0.0427807486631233,-1.2406417112299095,1.125,0.78,SuddenReversalStagnation with short-mid alignment and momentum,2017,8,2017-08
