trades,win_rate,total_r,pf,max_dd_r,decline_bars,drop_atr_cap,spike_atr,use_down_d1,rr
24,54.166666666666664,8.028503065129179,1.7182494577819978,4.074917361074036,24,3.5,2.2,False,1.5
24,54.166666666666664,14.528503065129165,2.299755304850869,4.074917361074036,24,3.5,2.2,False,2.0
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,24,3.5,2.5,True,1.5
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,24,3.5,2.5,True,2.0
11,36.36363636363637,-1.2209375973439893,0.8286280143461621,5.636391148328422,24,3.5,2.5,False,1.5
11,36.36363636363637,0.7790624026560033,1.1093499546429266,5.136391148328422,24,3.5,2.5,False,2.0
3,33.33333333333333,-0.5369588708700017,0.7352603596054621,1.0048484513934666,24,3.5,3.0,False,1.5
3,33.33333333333333,-0.036958870870001714,0.9817779746004397,1.0048484513934666,24,3.5,3.0,False,2.0
36,33.33333333333333,-6.490441348986257,0.7328719745756284,13.313068099675824,24,4.0,1.5,True,1.5
36,30.555555555555557,-3.4904413489862693,0.8620719179634846,13.313068099675831,24,4.0,1.5,True,2.0
84,41.66666666666667,1.8956808734392048,1.0380029325321043,8.481839512792616,24,4.0,1.5,False,1.5
83,36.144578313253014,5.403889812487988,1.1001513205106734,9.007510258906047,24,4.0,1.5,False,2.0
22,40.909090909090914,0.26522920467996003,1.020189795555176,5.068277050565255,24,4.0,1.8,True,1.5
22,36.36363636363637,1.7652292046799531,1.124787181788453,5.155564917690283,24,4.0,1.8,True,2.0
46,47.82608695652174,8.203646809732758,1.336585360044428,6.106384934883272,24,4.0,1.8,False,1.5
46,43.47826086956522,13.203646809732753,1.4997551920674295,8.177574216713426,24,4.0,1.8,False,2.0
9,55.55555555555556,3.4173389557943556,1.8467560779535985,2.024237756537853,24,4.0,2.2,True,1.5
9,55.55555555555556,5.917338955794358,2.466211807182521,2.024237756537853,24,4.0,2.2,True,2.0
22,54.54545454545454,7.592703349950641,1.746861019902624,4.074917361074036,24,4.0,2.2,False,1.5
22,54.54545454545454,13.59270334995064,2.3370547773664763,4.074917361074036,24,4.0,2.2,False,2.0
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,24,4.0,2.5,True,1.5
2,0.0,-2.0115631603604642,0.0,1.0074740799574178,24,4.0,2.5,True,2.0
10,40.0,-0.20921496595269828,0.9657740866994045,4.62466851693713,24,4.0,2.5,False,1.5
10,40.0,1.7907850340472944,1.2929582644157684,4.12466851693713,24,4.0,2.5,False,2.0
3,33.33333333333333,-0.5369588708700017,0.7352603596054621,1.0048484513934666,24,4.0,3.0,False,1.5
3,33.33333333333333,-0.036958870870001714,0.9817779746004397,1.0048484513934666,24,4.0,3.0,False,2.0
36,30.555555555555557,-8.986108527376913,0.6449565033403372,14.325830026732486,36,2.5,1.5,True,1.5
36,27.77777777777778,-6.486108527376926,0.7535579736640746,14.325830026732492,36,2.5,1.5,True,2.0
73,39.726027397260275,-1.7471191125145447,0.9609326377995897,7.338835237671217,36,2.5,1.5,False,1.5
73,35.61643835616438,3.7528808874854604,1.0785726608556798,7.426407835993719,36,2.5,1.5,False,2.0
