base_strategy,filter,family,description,pass_rate,all_trades,all_win_rate,all_total_r,all_avg_r,all_pf,all_max_dd_r,all_max_ls,train_trades,train_win_rate,train_total_r,train_avg_r,train_pf,train_max_dd_r,train_max_ls,test_trades,test_win_rate,test_total_r,test_avg_r,test_pf,test_max_dd_r,test_max_ls,base_all_avg_r,base_test_avg_r,base_all_total_r,base_test_total_r,base_all_max_dd_r,base_test_max_dd_r,all_avg_r_delta,test_avg_r_delta,all_dd_delta,test_dd_delta,robust_score
T4_REBREAK_ONLY,EMA20_slope_pos,EMA,EMA20の傾きがプラス,89.72332015810277,227,43.17180616740088,25.5451308055829,0.11253361588362511,1.2163414566306863,15.173938971903068,11,142,38.732394366197184,-0.2641230735543214,-0.0018600216447487424,0.9966076951889171,15.173938971903068,11,85,50.588235294117645,25.80925387913722,0.3036382809310261,1.6417281630794294,9.354949194325354,9,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.06793545235953509,-0.033677397460102954,3.8330544387584844,-1.008054073668582,20.10917211038806
T4_REBREAK_ONLY,Combo_EMA_CloseLoc,Combo,EMA20>50 + 終値位置65%以上,64.03162055335969,162,46.913580246913575,32.9854364579222,0.20361380529581605,1.4134230471949634,8.081940204321569,8,98,42.857142857142854,10.555636664364282,0.10771057820779881,1.210010864454396,7.304194388259694,7,64,53.125,22.429799793557923,0.35046562177434254,1.7597187147073785,8.081940204321574,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.02314473705265585,0.013149943383213458,-3.2589443288230147,-2.2810630636723612,20.025841809477416
T4_REBREAK_ONLY,RSI_50_70,RSI,RSI14が50〜70,82.6086956521739,209,41.62679425837321,30.248769280787076,0.14473095349658888,1.266784862107332,13.337939504850134,10,128,37.5,5.610070862887668,0.04382867861630991,1.0773929282119337,13.337939504850134,10,81,48.148148148148145,24.63869841789941,0.3041814619493754,1.60249460877182,9.094706505053713,9,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.03573811474657132,-0.03313421644175368,1.9970549717055501,-1.2682967629402224,19.16095771702144
T4_REBREAK_ONLY,EMA20_gt_50,EMA,EMA20 > EMA50,66.00790513833992,167,46.10778443113773,30.850008103079347,0.1847305874435889,1.3677195249753413,8.081940204321569,8,102,42.15686274509804,9.44539121479237,0.09260187465482715,1.1770574370443678,7.304194388259694,7,65,52.307692307692314,21.404616888286977,0.3293017982813381,1.7006649558678453,8.081940204321576,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.004261519200428693,-0.008013880109790983,-3.2589443288230147,-2.2810630636723594,17.94246772955625
T4_REBREAK_ONLY,KC_pos_55_110,Keltner,KC位置が0.55〜1.10,82.21343873517787,208,42.78846153846153,34.8857562859874,0.1677199821441702,1.315980462832621,10.90561279259978,10,131,39.69465648854962,12.126062072834927,0.09256535933461776,1.1711935467057737,10.90561279259978,10,77,48.05194805194805,22.759694213152468,0.2955804443266554,1.575141814028057,9.091973926436404,9,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.012749086098990003,-0.04173523406447366,-0.43527174054480433,-1.2710293415575311,16.85395206510148
T4_REBREAK_ONLY,AroonUp_gt_Down,Aroon,Aroon Up > Down,79.44664031620553,201,44.27860696517413,25.44531264347504,0.12659359524116937,1.250587071900228,9.388439437351874,9,129,41.08527131782946,5.68345251425272,0.04405777142831566,1.0843271050155903,9.388439437351874,9,72,50.0,19.761860129222327,0.27447027957253234,1.5787611679115179,8.342792164937887,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.05387547300199083,-0.06284539881859674,-1.9524450957927098,-2.020211103056049,13.362496064589077
T4_REBREAK_ONLY,AroonUp_gt_70,Aroon,Aroon Up > 70,77.86561264822134,197,43.14720812182741,18.472960260227143,0.0937713718793256,1.1819228981698773,14.397642231719303,9,125,39.2,-1.288899868995181,-0.010311198951961448,0.980876202566174,14.397642231719303,9,72,50.0,19.761860129222327,0.27447027957253234,1.5787611679115179,8.342792164937887,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.08669769636383459,-0.06284539881859674,3.056757698574719,-2.020211103056049,13.362496064589077
T4_REBREAK_ONLY,Candle_Body70,Candle,実体比率70%以上,69.1699604743083,175,45.14285714285714,31.624725409881393,0.18071271662789368,1.3685227933685102,14.307220134873416,12,110,42.72727272727273,13.31031244002705,0.12100284036388227,1.243277650592055,14.307220134873416,12,65,49.23076923076923,18.31441296985434,0.28176019953622067,1.5888422808036045,9.356525077097148,9,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,0.00024364838473348027,-0.05555547885490841,2.966335601728833,-1.0064781908967877,11.51924521928606
T4_REBREAK_ONLY,ADX_ge_18,ADX,ADX14 >= 18,69.56521739130434,176,43.18181818181818,21.187501960679715,0.12038353386749838,1.2403094346243828,18.72309860402648,15,114,39.473684210526315,6.954436701494971,0.06100383071486817,1.1178011869634243,18.72309860402648,15,62,50.0,14.233065259184746,0.22956556869652817,1.488567949256398,8.34812882321559,8,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.06008553437566182,-0.10775010969460092,7.382214070881895,-2.0148744447783447,5.584463157043007
T4_REBREAK_ONLY,ATR_pctile_20_90,ATR,ATRが20〜90パーセンタイル,64.82213438735178,164,40.853658536585364,4.497182465231418,0.027421844300191574,1.049983652796912,14.715854467593658,10,103,37.86407766990291,-8.524553632884555,-0.08276265662994713,0.8550370510128706,13.771752862907407,10,61,45.90163934426229,13.021736098115975,0.2134710835756717,1.4177916493196159,7.778219096137827,7,0.1804690682431602,0.3373156783911291,45.65867426551953,31.70767376876613,11.340884533144584,10.363003267993935,-0.15304722394296863,-0.12384459481545737,3.3749699344490747,-2.584784171856109,3.995842035239736
