symbol,setup,method,method_family,direction,direction_ja,signal_time,entry_time,entry,stop,exit_time,exit,exit_reason,risk,r,max_favorable_r,max_adverse_r,hold_days,score,reason
XAUUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-25 14:00:00,2015-02-25 15:00:00,1205.172,1212.4050178571429,2015-02-26 06:00:00,1212.4050178571429,initial_stop,7.2330178571428405,-1.0,0.567259763633546,-1.0959464163594919,0.625,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-27 08:00:00,2015-02-27 09:00:00,16.424,16.674607142857145,2015-02-27 14:00:00,16.674607142857145,initial_stop,0.25060714285714525,-1.0,0.05985463873450362,-1.0494513324782637,0.20833333333333334,0.68,WideStagnation with short-mid alignment and momentum
XAUUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-02-27 08:00:00,2015-02-27 09:00:00,1205.209,1212.7276428571429,2015-02-27 14:00:00,1212.7276428571429,initial_stop,7.518642857142822,-1.0,0.10241209944803674,-1.6239632912474828,0.20833333333333334,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-27 09:00:00,2015-02-27 10:00:00,133.95,133.4582142857143,2015-02-27 14:00:00,133.4582142857143,initial_stop,0.4917857142856974,-1.0,0.5083514887436631,-1.0573710965867822,0.16666666666666666,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-02-27 15:00:00,2015-02-27 16:00:00,93.568,93.02373214285714,2015-03-02 07:00:00,93.02373214285714,initial_stop,0.5442678571428559,-1.0,0.1414744578234164,-1.060139768365103,2.625,0.68,WideStagnation with short-mid alignment and momentum
EURJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-03-02 08:00:00,2015-03-02 09:00:00,134.2,133.62017857142857,2015-03-04 00:00:00,133.62017857142857,initial_stop,0.5798214285714209,-1.0,0.6553741915614911,-1.0348013550970165,1.625,0.68,WideStagnation with short-mid alignment and momentum
AUDJPY,WideStagnation,値幅広めの高値停滞,高安値停滞,long,買い,2015-03-02 15:00:00,2015-03-02 16:00:00,93.485,92.95375,2015-03-09 01:00:00,92.95375,initial_stop,0.53125,-1.0,1.3383529411764679,-1.0484705882352983,6.375,0.68,WideStagnation with short-mid alignment and momentum
XAGUSD,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-03-03 01:00:00,2015-03-03 02:00:00,16.263,16.545303571428573,2015-03-03 03:00:00,16.545303571428573,initial_stop,0.2823035714285709,-1.0,0.6978303498007574,-1.0060092352457441,0.041666666666666664,0.68,WideStagnation with short-mid alignment and momentum
XAUUSD,SuddenReversalStagnation,急な揺り戻し＋安値停滞,V字/急な揺り戻し＋停滞,short,売り,2015-03-03 02:00:00,2015-03-03 03:00:00,1200.771,1210.8414107142858,2015-03-03 04:00:00,1210.8414107142858,initial_stop,10.0704107142858,-1.0,0.05183502588026819,-1.0039312483708502,0.041666666666666664,0.78,SuddenReversalStagnation with short-mid alignment and momentum
CHFJPY,WideStagnation,値幅広めの安値停滞,高安値停滞,short,売り,2015-03-03 05:00:00,2015-03-03 06:00:00,124.971,125.59603571428572,2015-03-04 07:00:00,124.582,one_swing_break,0.6250357142857155,0.6223644363179395,1.0719387463573518,-0.215987657848108,1.0416666666666667,0.68,WideStagnation with short-mid alignment and momentum
