sample,group,bucket,trades,win_rate,total_r,avg_r,pf,max_dd_r,max_losing_streak,avg_mfe_r,hit_1r_within_3_rate,hit_1r_within_6_rate,retest_mid_6_rate,giveback_1r_to_loss_rate
primary_L120_ADX30_RISK1_5_BBW3_8,bb_width_bucket,02_5-8ATR,8,75.0,9.502133317293245,1.1877666646616556,5.58787703654135,1.0635659197790943,1,1.8314296293119738,37.5,37.5,75.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,bb_width_bucket,01_3-5ATR,10,50.0,4.107540645852475,0.4107540645852475,1.736293361074675,5.5786740218018736,5,1.4263673310435299,40.0,70.0,30.0,20.0
primary_L120_ADX30_RISK1_5_BBW3_8,bb_pos_bucket,01_0-0.25,10,60.0,7.299681015944264,0.7299681015944264,2.7592024865191265,2.1032173672448664,2,1.451225920996095,20.0,30.0,80.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,bb_pos_bucket,02_0.25-0.50,8,62.5,6.309992947201455,0.7887491184001819,2.8026556809214744,1.2924493021215133,2,1.8003563918712675,62.5,87.5,12.5,25.0
primary_L120_ADX30_RISK1_5_BBW3_8,bars_after_break_bucket,00_<=12,11,54.54545454545454,6.22400251777109,0.5658184107064627,2.1911727689910054,2.2402947148595542,2,1.3196304566117567,18.181818181818183,27.27272727272727,81.81818181818183,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,bars_after_break_bucket,02_25-36,2,100.0,3.95608614592133,1.978043072960665,inf,0.0,0,2.231802936505172,100.0,100.0,0.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,bars_after_break_bucket,01_13-24,5,60.0,3.4295852994533007,0.6859170598906601,2.414431860402419,1.1322594416970484,1,1.9871138898382845,60.0,100.0,0.0,40.0
primary_L120_ADX30_RISK1_5_BBW3_8,support_age_bucket,02_60-119bars,6,83.33333333333334,8.705157026052875,1.450859504342146,9.184877743977502,1.0635659197790943,1,1.9380546311954303,66.66666666666666,66.66666666666666,50.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,support_age_bucket,00_<=24bars,8,62.5,6.099441951644101,0.7624302439555126,2.7903921447333384,3.4067631326390533,3,1.6990767261513646,25.0,62.5,37.5,12.5
primary_L120_ADX30_RISK1_5_BBW3_8,support_age_bucket,01_25-59bars,3,33.33333333333333,-0.155273567085485,-0.05175785569516167,0.9274365962033276,1.1322594416970484,1,1.1679472669039015,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333
primary_L120_ADX30_RISK1_5_BBW3_8,support_age_bucket,03_120-239bars,1,0.0,-1.0396514474657723,-1.0396514474657723,0.0,0.0,1,0.1903269478358883,0.0,0.0,100.0,0.0
primary_L120_ADX30_RISK1_5_BBW3_8,pre_break_regime,trend_continuation_break,8,62.5,6.099441951644101,0.7624302439555126,2.7903921447333384,3.4067631326390533,3,1.6990767261513646,25.0,62.5,37.5,12.5
